,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0550572445447819,0,0,0,0,0,0,0,0,0.435280695277118,0,0,0,0,0,0,0,-0.0910134961105556,0,0,0,0,0,0,0,0,0,-0.254389470762372,0,0.00610099571087328,0,0,0,-0.0699506926902884,0,-0.0552253788067732,0.0372669810329199,0,0,0.183584818669963,0,0
X2884.TT.EQUITY,0,0.254295528982723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332407716119865,0,0.114561781574268,0,0,0.479733815404045,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0336064534045084,-0.0822842897554459,0,0,0,0.113401654291773,0,0,0,-0.148363933315597,0
X2886.TT.EQUITY,0,0.534721774415543,0,0.300636688557174,0,0,-0.155462856383497,-0.607127490707372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197764169918196,0,0,0,0,0,0,0,0,0,0,0.0991669972066498,0,0,0,0,0.0264813993209235,0,0,0,0,0,0,0,0.33280504070658,0,0,0,0,0,0
X2891.TT.EQUITY,0,0.0425419216355541,0,0,0.789112263005983,-0.15376412540239,1.38777878078145e-17,0,0.0350951518170078,0,-0.173742345637076,0,0,-0.27505625036263,0,0,0,-1.73472347597681e-18,0,0,0.0763626210630244,0,0,0.0578077555015366,0,0,0,0,0,-0.0710469150223693,0,0,0,0,0,0,0,0,-0.0888805348418847,0,0,0,0,0,0,0,0,0.331636432878736,0.0270641236646845,0.0734528593448847,0.231852823444976,0.0805554046195111,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.0815241481617268,0,0,0,0,0,0,0,0,0.0501375354148613,0,0,0,0,0,0,0,0,0,0,0.155714946815328,0.0308941810936929,0,0,0.0437720753255116,0,0,0.227365651532107,0.0551704218379455,0,0.0864279554744444,0.147008778090002,0,0,0,0,0,0,0,0.059479765051971,0,0,0,0,0,0
X000776.CH.EQUITY,0,-0.0169814068267322,0,0,0.207608511188588,-0.0100510565070517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195583882537807,0,0,3.46944695195361e-18,0,0.321490886213846,0,0,0.0227113009219347,0.0281804611492411,0,0,0,0,0,0,0.362304241947944,0,0,0,0,0,0,0,-0.0551842092561181,0,0
X002736.CH.EQUITY,0,0.0498441196991088,0,0,0,0,0,0,0,0,0.0482491611061472,0,0,0.130394573819456,0,0,0,0,0,0,0,0,0,0.0900851435957214,0,0,0.134332294412016,0,0,0,0.0540220953582178,0,0.123527817542457,0.191803168589287,0.0422395052079056,0,0,0,0,0.228009626516244,0,0,0,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0.0235375130487013,0.00171070424771386,0,0,0,0,0,0,0,0,0,0,0.0142493681525054,0,0,0,0,0,0,-0.083723330107262,0,0.191119380312396,0.0201356018806768,0,0,0.135891331439612,0,0,0,0.196762002393114,0,0,0.147061773493187,0.0232589726611959,0.198555034055004,0,0,0.0252909481692372,0,0,0,0,0,0,0,-0.0494447644458013,0
X600030.CH.EQUITY,0.0372789463895889,0.00747168767239739,0,0.0460046581440279,0,0,0,0,0,0,0,0,0,0.00648049869114286,0,0,0,0,0,0,0,0,-0.0233260222891127,0,0,0,0.0928843873727585,0,0.0795940583991609,0,0,0,0,0.385121648824445,0,0.0153556344847631,0,0.0971752467245386,0.204341153800617,0,0.0144509769523147,0,0,0,0,0.172716625385128,-0.0347216261035221,0.0322728137891027,0.0509694553709275,0,0,0,-0.0651500676332012
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.0450613649955516,0,0,0,0,0,0,0,0,0,0,0,0,0.0284547757975089,0,0,0,0,0,0,0,-0.0242686094547622,0.0893506499830353,0.194843300115446,0,0,0,0,0.461879550506062,0,0.105345076751144,0.05888346659072,0,-0.000589009706557616,0,0,0,0,0,0.0102535240061934,0,0,0,0,0,0
X600999.CH.EQUITY,0,-0.0190348844747707,0,0,0,0,0,0.367611924307188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257468587222803,0,0,0.224223200774798,0,0,0,0,0.309749625641616,0,0,0,-0.0260152195569108,-0.222670229547566,0,0,0,0,0,0,0.00892040681523438,0,-0.102920062491616,0,0
X601066.CH.EQUITY,0,-0.00891304762970538,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498304852597914,0,0,0,0.150956183781807,0,0.467617958996789,0.225245741796231,0.0261424111489742,0,0,0,0,0,0.015747005511874,0,0.0341375583888952,0,-0.0191562704003192,0,-0.0626563574284742,0,0,0,0.0113559604387236,0,-0.0331551032341937,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912878765456105,0,0,-0.0960918658148429,0,0,0,0,0,0,0,0.0667149085271157,0.0573127607563113,0,0,0.0662946717189929,0,0,0.220612918619306,0,0.0782130598468953,0,0.136564829408535,0,0,0.198427630361071,0,0,0,0,0,0,0,-0.0720227351281437,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0128128472467112,0,0,0.070330832216837,0,0,0,0,0,2.71050543121376e-20,0,0,0,0.0472033691013104,0,0,0.0855040619985954,0,0.212928234928491,0,0.281212927969061,0,0,0.361061516462886,0,0,0,0.0313939174915999,0,0,0,0,0,0,0,0.0340801568522208,0,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653941139308687,0,0,0,0,0.220096420566556,0,0,0,0,0.0747413128959332,0,0.149594511802919,0,0,0,0.250378463618449,0.106148180327673,0,0,0,0,0,0,0.0712228265117327,0,0,0,0.334425103480114,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0.0378286459003271,0,0,0,0,0.016878367891348,0,0,0,0,0.0822052483500978,0.0691798995195614,0,0,0,0,0,0,0,0.446211119734336,0,0,0.0416254935285208,0.0278078197270697,0,0,0,0,0.199477535791727,0,0,0,0,0,0,0,0.0582783350716062,0,0,-0.0747241301018069,0,0,0,0,0,-0.0172290588188972
X600918.CH.Equity,0,-0.0438536506446393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114433739319254,0,0,0,0,0.482304897817612,0,-0.121207676714484,0,0,0.074911016506442,0,0,0.41456844870072,0,0,0,0,0,0,0.023279982981831,0,0,0,0,0.135344503176167,0.0173882181077926
X601696.CH.Equity,0,0,0,0,0,0,0,0.0281721220479773,0,0.185789065462027,0.0556293907982776,0,0,0,0,0,0,0,0,0,0,0,0.0366480897369807,-0.0770599568362771,0,0,0,0.0594681783883257,0,0.293009354680823,0,0,0,0,0,0,0.0601261044874389,0,0.201564169026618,0,0,0,0,0,0,0,0,0,-0.0450363790456508,0,0,0.0423462114254531,0
X388.HK.EQUITY,0,0,1.38777878078145e-17,0,0,0,0,0,-0.297078827222876,0,0.0129100950162789,0,0,0.109052540413256,0,-0.156887541590552,0,0,0,0,0,-0.075466433634906,0.247624777356323,0,0,-0.00602944578772675,-0.157929140032003,0,0,0.206989343219884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525969333543707,0.17516634081839,-0.319865487066867,0,0.259644623917118,0,-0.181498320310815,-0.0369070527565132
X601318.CH.EQUITY,0,0,0,0,0,0.124751813861085,0,0.155577603359305,0,0,0.237666451979816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884463634054223,0,0,0.0492567795898264,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.17093711320156,0.127783292051799,0,0,0,0,0.0595054494136207,0,0,0
X601319.CH.EQUITY,0.0394270488084649,-0.0549427922205138,0,0,0,0,0.176649837557791,0,0,0,0,0,0.150171528899904,0,0,0,0,0,0,0,0.0253995957497343,0,0,0,0,0,0,0.255269643132907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249344407726097,0,-0.0834414912172562,0,0,0,-0.066983730636845,0.0510029871037478,0
