,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601169.CH.EQUITY,0.028680407948625,0,0,0,0,0,0.105146725639093,0,0,0,0,0.148854060977546,0.283959241052031,0,0,0.219412866134616,0.0943548172027054,0,0,0.0111062642512934,0.12325761369751,0.0102953265959589,0,0,0,0,0.0216630859735615,0,0,0,0,0,0,0,0,0.0298797994248604,0,0,0,0,0,0,0,0,0,0,0,0,0.0132581375756243,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.18284320148843,0.0430835895567127,0,0,0,0,0.0163826594797215,0,0,0,0,0.0167342485592535,0.0426327894312013,0.00079397151378452,0,0,0,0.247004600403089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130985786729661,0,0,0.0677268005626515,0,0,0,0,0.200224282877442,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.20497633653315,0,0,0,0,0.210539612258802,0.14680844410096,0,0,0,0,0,0,0,0.170156552057247,0.071986929745471,0,0,0,0,0,0,0,0,0,0.0285906470386954,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318728600221226,0
X601328.CH.EQUITY,0,0,0,0,0,0.0301905322461784,0.0310830893585498,0,0,0,0,0,0,0,0.330225600567365,0,0.199094104235733,0.0463428058152248,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.146685232495626,0.0937939784280168,0.000438230745467024,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372287324042099,0.302927087421141,0,0.265317787489981,0,0.0206667486704437,0.0996861802312398,0,0,0,0,0,0.062858282010651,0,0,0,0,0.0628953478954316,0,0,0,0,0,0,0,0.0663703225660271,0,0,0,0,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0.222915033731551,0,0,0,0,0,0,0.152743803792376,0,0,0,0,0,0,0,0,0,0,0,0,0.252354036286073,0,0,0.0631502798177762,0,0,0,0,0,0.0157003057659467,0,0,0,0,0,0,0,0.214967681226052,0.00459109448004977,0,0,0,0,0.0896379526911586,0,0,0,0,0,0
X601818.CH.EQUITY,0.0502983440319989,0.00284989680207688,0,0.249365535412707,0.231302729627383,0,0,0.165717284563514,0,0,0,0,0,0,0,0.063069563364016,0,0,0,0,0,0,0,0,0,0,0.121963035695666,0,0,0,0,0,0.0366389541033628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555285813503497,0.046073777090801,0
X601838.CH.EQUITY,0,0,0,0,0,0,0,0.273970951151555,0,0,0,0,0,0,0,0.199328715113719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00305055364944468,0,0,0,0,0,0.0795134355601688,0,0,0.222732960186815,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.187599452752623,0
X601939.CH.EQUITY,0.0473195541365079,0,0,0,-1.38777878078145e-17,0,0,0,0,0.067768926131047,-6.93889390390723e-18,0,0.136577908092256,0,0,0,0,0,0,0,0,0.0155569643180994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600264627086853,0,0,0.208381754720546,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.190301482953127,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.309806735605559,0,0,0,0.0858599549651769,0,0.371066276090954,0,0,0,0,0,0,0,0,0,0,0,0.0235717823460267,0,0,0.161543072094096,0,0,0,0,0,0,0,0,0,0,0,0.0492081854216138,0,0,0,0,0.0305288092312865,0,0.00544347106109608
