,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402912719624138,0,0.460593788716804,0,0.0553613747079537,-0.0844179659859635,0,-0.015235845261546,0,0,0,0,0,0,0,0,0,-0.191196083277028,0,0,0,0.28069842084682,0,0,0.331679847764999,0,0,0.0842992347058999,0
X2891.TT.EQUITY,0,0.0621350790004149,0.0427435240550292,0,0,0.0475823933923512,0,0,0,0,0.088029359871579,0,0,0,0,0.437616133007483,-0.107352725272339,0,0,0.121107364908759,0,0,0,0.169473738283786,0.310124763878264,0,0.303971599966905,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0995345672626519,0,0,0,0,0.160301560427187,0,0,0,-0.0426173566447349,0,0,0,0,0,-0.0497943153398159,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225762492522246,0,0.351790479432834,0,0.105374087839641,0,0.279731149260472,0,0,0,0,0,0,0,0,0,0,-0.000461891060644797,0,0,0,0,0,0,0,0.0728646247506817,0,0,0.0639437140848499,0,-0.0981952667454413
X5880.TT.EQUITY,0,0,0,0,0,0,0,-0.0722948726642115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464072839258124,0,0.307735537835108,0,0,0.075180909666758,0,0,0,0,0,0.107942033136935,0.000662143741971247,0,0,0,0,0,0,0,0,0,0,0.0525084870827233,0,0,0.0271736163208131,0.27573913966206,0.0140344603773543,-0.00383908488560412,0
X000166.CH.EQUITY,0,-0.0371363194205157,0,0,0.189245527063505,0,0,0,0,0,0,0,0.00291289146441256,0,0,0,0,0,0,0,0,0,0,0,-0.007059737692074,0,0,0,0,0.0767849840001231,0.528899995301974,0.00632833335336238,0,0.00660244630538437,0.10617007066628,0,0,0,0,0,0,0,0.0291570031920018,0,0,0,0,0,0,0.0358766923739246,0.0272517193074185,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0143419081534305,0,0,0,0,0,0,0,0,0,0,0,0,0.105245878945833,0,0,0,0,0.136783862932554,0,0,0.158111882942148,0.333414268804552,0.11626057173658,0,0,0,0,0,0.17352155652237,0,0,0,0,0,0.0085015135183327,0,-0.0521852143016972,0,0,0,0
X002736.CH.EQUITY,0,0.0765071713587976,0,0,0,0,0,0,0.229833145552074,0,0,0,0,-0.0142782879780712,-0.100297766798643,0,0,0,-2.16840434497101e-19,0.0925622486762175,0,0,0,1.73472347597681e-18,0,0.00947297589366001,0.0876249553439576,0,0.390389289933478,0,0,0,0,0.111450837857993,0.173307298898588,-0.0521988077731506,0,0.070495558329373,0,0,0,0,0,0,0,0,-0.0490431979128761,0,0,0,0.172706097856008,0.13227237431377
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.0280630089191883,0,0,0,0,0,0,0,0,0,0,0,-0.10631748240442,0,0,0,0,0,0.0101830325943864,0,0,0.165568160885372,0.34535821236224,0,0,0,0.0859362751034876,0,0.158238916522241,0.0702184071360651,0,0,0,0,0,0,0,0,0,-0.0298265620419947,0,0,0,-0.0906770420359553,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378209040531894,0,0,0.0378688760810246,0,0,0,0,0,0,0.034220721492695,0.0796665012478173,0.192949602091728,0.0393911530970498,0,0,0,0,0,0.332834209643348,0.0336267760638775,0.186393886420837,0,0,0,0.0920043279277608,0,0,0,0,0.0496395091519396,0,0,0,0
X600837.CH.EQUITY,0,-0.0463944008567248,0,0,0,0,0,0,0,0,0,0.0492108502530406,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179814501375051,0,0,0.281532931130956,0,0,0,0.0142497979139373,0,0.093327746078175,0,0.153014471049442,0,0.278064540840664,0,0,0,0,0,0,0,0,0,0,0.0234351901348504,0,0
