,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,macro_return_add
X601336.CH.EQUITY,0,0,0,0.445321781072334,0,0,0,0,0,0,0,0,0,0,0.129862753822651,0,0,0,0,0.07685610591928,0,0,0,0,0,-0.17621366349873,0,0,0,0,0,0,0.024181268028741,0.204225355078286,0,0,0,0.189058081900445,0,0,0,0,0,0.00416461583704635,0,0,0,0,0,0,0.0975920682714696
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207650711339514,0,0,0,0,0,0,0.114963087462772,0,0,0,0.178263857739955,0,-0.0702057267406543,0,0,0,0,0,0,0.0547723059897711,0.178475665789104,0.0411358649433188,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0438094506723699,0,0
X601211.CH.EQUITY,0,0,0,0.0691871436801171,0,0,0,0,0,0.0829675190944608,0,0,0,0,0,0,0,0,0,0.288456888920127,-0.0900241105040073,0,0,0.104908531186684,0,0,0,-0.10841857058117,0.111145497059351,0,0,0,0.142002103559525,0,0,0,0,0,0,0.161706535510741,0,0,0,0,0,0,-0.0464788652886617,0,0,0,0
X267.HK.EQUITY,0.208222810445427,0,0,0,0,0.173241917100024,0,0,0,0,0.157417552153589,0,0,0,0,0,0,0,0,0,0.00143735699947496,0,0,0,0,-0.0652241535168291,0,0,0,0,0.16797136525988,0.126435635615551,0,0,0.0224721934735217,0,0,0,0,0,0.223369158155443,0,0,0,0,0,0.0776728664624018,0,-0.193217281716795,0.0949259374633674,-0.0072144020619484
X002736.CH.EQUITY,0.0764063720895582,0,8.67361737988404e-19,0.156278134621685,0,0,0,0,0,0.0502639661974187,0,0,8.67361737988404e-19,0,0,0,0.117460251597478,0,0,0,0,0,0,0,0.0878998071613779,0,0,-0.0303264605319493,0,0,0,0,0.0856898549850667,0,0,0,0,0,0,0.252507554055154,0,0,0,0,0,0,0,0,0.14708229922876,0.00124054352910308,-0.0445258829345082
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.175670589440574,0.0310069186518954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363351986101855,0,0,0,0,0,-0.0258800364797818,0,0.397229345389319,0.0910763875664945,0,0.220778008275399,0.0812692978895434,0,0.0814309443891225,0,0,0,0,0.00962278071704257,0,0,0,-4.33680868994202e-19,0.239871227164781,0,0.117256613588522
X12.HK.EQUITY,0,0,0,0,0,0,0,0.458954415891471,-0.0409174274828577,0,0,0,0,0,-0.0506806077995987,0.0768070175685012,0,0,0,0,0.411891030060059,0,0,0,0,-0.0262129939678096,0,0,0.0850109570529138,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0,0,-0.203608275343505,0,3.46944695195361e-18,0,0,-0.0677790336724606,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,-0.0295395028443189,-0.0638152938306669,0,0,0,-0.0791065739179146,0,0,0,0,0.21334919143254,0,0,0,0.79557774944414,0,0,0,0,0,-0.0651843655982672,-0.00955313882158626,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.15787663651479,0,-0.0682211082956053,0,0,0,0,0,0,-0.163791783116933,0,0,0,0,-0.0991755753047257,-0.0323517757734755
X601229.CH.EQUITY,0,0,-0.134444329394762,0,0,0.126510735239548,0,0,0,0,0,0,0,0,0.0782471572229723,0,0,0,0,0.350722507590676,0,0,0,0,0,0,0,0,0.314840887982068,0,0,0,0,0,0,0,0,0,0,0.1301434512015,0,0,0,0,-9.34224168262048e-05,0,0,0,0,-0.00349768849811238,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.161115739094941,0,0,0,0,0,0,0,-0.299517433111367,0,0,0,0,0,0.120774780407217,0,0,0.106591990426378,0,0,0,0,0,0.324139705886654,0,0.763083017748287,0.0569700321158458,0,0,0,-0.748325233219735,0,0.0621202402601063,0,0,0,0.321511404209249,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0541326063334201,0,0,0.203257756826321,0,0.131079143732452,0,0,-0.0844631273463574,0,0,-0.18435761276233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0071855685827703,0,0,0.157958459979768,0,0,0.717688809620312,-0.086348235709189
X000776.CH.EQUITY,0,0,0,0.0666631643799414,0.0287581881045633,0,0,0,0,0,0.210593904851679,0.027654166410645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101332622642616,0,0.360547523233633,0,0,0,0.200987244784081,0,0,0,0,0,0,0,0.116940130361488,0.105072947053755,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.289329634394526,0,0,0,0,0,0,0,0.340411907647192,0,0,-0.147853267470631,0,0,-0.231325463968677,0,0,0,0,-0.146910145724404,0,0,0,0,0,0.120705962319196,0,0,0.138580871436113,-0.0746716216203706,0.392488003223943,0.195459645778868,0.193796395613965,0,0,0,0,0,-0.0332837619326477
X601169.CH.EQUITY,0,0.0508398510137695,0,0,0.12691047652071,0,0.0454430936146049,0,0,-0.00704488769717191,0.0834593838856482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223799670303018,0,0,0,0,0,0,0.0163552487007295,0,0,0.252242797701044,0,0,0.0644326348729603,0,0,0,0,0.0298013375521059
X600918.CH.Equity,0,0,0,-0.0800986228647252,0,0,0,0,0,-0.0129341694797854,0,0,0.130618391857055,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.420686994173994,0,0,0,0,-0.0329756551911914,0.129286993866509,0,0,0.222578490238055,0,0,0,0,0,0,0.246661819062763,-0.0216571445647903,0,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.055972568468039,0,0,0.0875027076297457,-0.0852041937213167,0,0,0,0,-0.366141664322917,0,0,0,0,0,-0.0575148396099209,0,0.0187949823712536,0,0,0,0,0,0,0,0.134724564346048,0,0.236674208213599,0,0.145964296026506,0,0,0,-0.0613742644612297,0.528894278271989,0,0,0,0,0,0
macro_return_add,0,0,0,-0.107703748300037,0.279981737179747,0,0,0,0,-0.0584164904188206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915269065415948,0,0.165253424460256,0,-0.532850632525974,0,-0.0487452048221172,0,0,0,0,0,-0.169043922966648,-0.376136699566842,0.451125522324848,0,-0.215603052060779,0,0,0,0.0542746602046361,0,0,0.256454679589317,-0.566660177478476,0
