,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,-0.147091643605466,0,0,0,0,0,0,0.0103779788169693,0,0,0,0,0,0.472478621996449,0,0.0688642061249511,0,0,0,0,0,0,0,0.22522202043104,0,0,0,0,0,0,0,0,0,0,-0.0382620589684571,0,0.0296621160889832,0,0.248497216915166,0,0.0135104913953433,0,0,0,0,0,0,0,-0.0124392562150372
X601998.CH.EQUITY,0,0.0935288060206961,0,0,0.138766275819031,0,-0.00532306645585496,0.00827913966828001,0.0467912567130545,0,0.114836321150546,0,0.109214277195235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154609943902421,0,0,0,0,0,0,-0.0209969229622187,0,0,-0.0225893060913411,0,0.0684235519107344,0,0,0.428834384337946,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0855650212684516,0.0339309520191646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670295125936731,0,0,0,0,0,0,0,0,0.0317921001921495,0,0,0,0,0.0213695976536372,0,0,0,0,0,0,0.134395742243313,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812768551123365,0,0,0,0.135690399212704,0,0,0.126595622957295,0,0,0,0,0,0,0.193063756030279,0,0,0,0,0,0,0.256647724556136,0.234671748609842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.179316865606698,0,-0.0651860318523442,0,0,0,0,0,0,0,0,0.0336255646588647,0,0,0,0,0.147429038280339,0,0,0,0.433031828494818,0,0,-0.098834347304562,0,0,0,0.0278803106117992,0,0.14040403564664,0.0092632726731765,0,0,0,0,0,0,0.0100558868185569,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.149937990847368,0,0,0,0,0,0,0,0,0.474831313050721,2.16840434497101e-19,0.145916347034037,0,0,0,0,0,0,0.0555731217090421,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.15988555056832,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.144121624115378
X601818.CH.EQUITY,0,0.0180002444546421,0,0.0489001895701193,0.0775903766591091,0,0,0,0,0,0.279693922464296,0.356329308177441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712660517138638,0,0,0.146427616539561,0,0,0,0,0,0,0,0,0,0,0.0177084888475289,0,0,0,0,0,0,0,0,0,0.0389863032399429
X1113.HK.EQUITY,0,0,0,0,0.0544066189601134,0,0,0,0.0670914132337025,0.0185687589470268,0,0,0,0.130169533830525,0,0,0.0103136355348334,0.111307754975114,0,0,0,0,0.0104054310831649,0,0,0,0.319933056088213,0,-0.0133230214748886,0,0,0,0,0,0,0.290875628596673,-0.0121188617341086,0,0,0,0,0,-0.0865415528566721,0,0,0,0,0.0768762451889294,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0250356445813217,0,0,0,0,0,0,3.46944695195361e-18,0.0211835247250318,0.0523042589714195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317244725608388,0.079331468682133,0.0536465409835222,0.0745493415942463,0.0402440771482648,0,0,0,0,0,0.300606719786626,-0.0537046090027811
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.266902377669336,0.361123101293746,-0.0182008156799585,0,0,0,0.248829284224378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237227548284678,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.097177993794819,0,0,0,0.171446791219869,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0762538694799464,0,0,0,0.024371811323665,0.157769300395523,0,0,0,0,0,0,0,0,0,0,0,0.108802129017541,0.00898354244649971,0,0,0,0.11178388719361,0,0,0,0,0,0,0.027900472555092,0.246833258348638,0,0,0,0,0.155701997059334,0,0,0,0.17534253994457,0
X12.HK.EQUITY,0,0,0,0,0,-0.0872636816691217,0,0,0,0,0,0,0.171341630175217,0,0.312588296505343,0,0,0.367995239935934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142862166503015,0,0,0,0,0,0.193828252692951,-0.113062660713389,0,0,0,-0.0409335298704089,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0.0776530056849964,0.0167682331967849,0,0,0,0,0.124762853037724,0,0,0,0,0,0,0,0.250902636765216,0,0,0,0,0,0,0.104379486019127,0,0,0,0,0,0,0,0.141873960211477,0,0,0,0,-0.0398101008801481,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,-0.0544617144713596,0,0,0,0,0,0,0,0,0,0,0.0203011797177974,8.67361737988404e-19,0.124874570106687,0,0,0.11384655073395,0,0.178642559416565,0,0,0,0,0,0,-0.1118137270901,0,0,0,0,0,0.160174708011916,0,0,0.0652697354241821,0,0,0,0,0,0,0,0.114802871472984,0.192926489878073,0.0273199874933174,0,-0.168507143435992
X2882.TT.EQUITY,0,0,0,0,-0.0742567501563546,0,0,0,0,0,0,0,0,0,0.0915488336843646,0,-0.0277391132522414,0,0,0,0,0.125616757368006,0,0,0,0,0,-0.126555777240558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698075728535786,0,0.136103636435266,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0698566932910748,0,0,0,0,0,0,0,0,0,0,0,0.126955300909955,0,0,0.0189232780173721,0,0,-0.135995795927317,0,0,0,0,0.417648156470418,0,0.0294413828609777,0,0.0504662337564786,0,0,0,0,0.0191590883032413,-0.102246020257676,0,0,0,0,0,0,0.431987482549614,0
X300059.CH.EQUITY,0,0,0,0,-0.0747916243285931,0,0,0.136032383292158,0,-0.209558433755394,0,0,0,0,0,0.890426614114449,0,0,0,-0.0366827059521472,0,0,0.13047252083954,0,0,0,0,0,0,-0.0377323310454625,0,0,6.93889390390723e-18,0,0,0,-0.0192386499864298,0,0.017972403402923,-0.107555664885327,0,0,0,0,0.0532456939559738,0,0,-0.0538517294725064,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.24172857746627,0,0,0,0.00654274218589098,0,0,0,0,0,0.0995854584562985,0,0,0,0,0.213782348658042,0,0,0,0.0649907361365013,0,0.0397897053292678,0,0,0,0,0,0,0.0532643488985587,0,0,0,0,0,0.228537534819832,0,0,0,0.0195239859389251,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.124614118866918,0.141735793158808,0,0,0,0,0,0,0,0,0,0.315212883341964,0,0,0,0.179695079891708,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.0702545865793966,0
X600999.CH.EQUITY,0,0,0,0,0.110262338710465,0,0.0288864581386372,0,0,0,0,0,0,0,0,0,0,0.0141900948785348,0,0,0,0,0,0,0,0,0,0,0.00676028948269355,0,0,0,0.205032771956694,0,0.229930803929751,0,0,0.128268603338542,0,0,0,0,0,0,0.187690122599473,0,0,0,0,0.19009065519179,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.015938431241536,0,0,0,0,0,0,0,0.400684548003621,0,0,0,0,0,0,0.0857537756949534,0,0,0,0,0.00681322663045977,0,-0.0270347351725753,0,0,0,0,0.0249840991626383,0,0,0,0,0,0.204602989378074,0,0,0.140112709811141,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0313720349973985,0,0,0,0,0,0,0,0,0,0.0333616059421328,0,0,0,0,0,0.0581641258691278,0,0,0,0,0,0,0.150198515409123,0.120147242204076,0,0,0.11035420665012,0,-0.00919615085212675,0.104275979428329,0,-6.93889390390723e-18,0,0,0,0,0,0.483115284061858,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.233149640812183,0,0,0,0,0,0,-0.0436494495392903,0,0,0,0,0,0,0.0533462679009563,0,0,-0.10839621797617,0,0,0,0,0,0,0,0,0,-0.0466036263903285,0,0.0487874378435455,0,0,0.374145360829843,0,0,0,0,0,0,0,0,0,0.343447406338924,0,-0.0812513059194463
X600015.CH.EQUITY,0,0.150077233589321,0,0,0,0,0,0,0,0,0,0.247964848827358,0,0,0,0,0,0,0,0.0150877935128147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938703513931171,0,0.230850650162392,0,0,-0.0225346051551255,0,0,0,0,0,0,0.180298820580629,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,-0.115688286080564,-0.06087203059769,0,0,0,0,0.194301933374142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101670679926296,0,-0.00636664060051815,0,0,0.0204504534577133,-0.127862926488974,0.0920846472681717,0,0,0,0,0,0,0,0,0,0,0,0,0.541401815261534,0.276122444805879,0,0,-0.146620798735518
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605700565925299,0,0,0,0,0,0,0,0,0.0254212094351542,0.0525011467209172,0,0,0.0206668206947199,0,0,0,0.147158145331215,0,0.028288653288107,0,0,0,0,0.371369070660584,0,0,0.0261465069475309,0,0.21630393026615,0,0,0,0,0,0
macro_return_add,0,0,0,0,0,0.149865861352002,0,0.0886292943822701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212486642438709,0,0,0,0.0876311531719808,0,0,0.0248212522540654,0,0,0.244721539122977,0,0,0,0.155321513415189,0,0,0,0,0,-0.653533316632125,0,-0.369973348968237,0,0
