,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601211.CH.EQUITY,0,0,0,0,0,0,0.0591548606506177,0,0,0,0,0,0,0,0,0,0.0260506616619687,0,0.205028563361689,0,0,0,0,0,0,-0.0711703652559386,0,0,0.202482092315619,0,0,0,0,0.18132485860802,0,0,0,0,0,0,0,0.183568608596666,0,0,0,0.0472515451957359,0.111930349348689,3.46944695195361e-18,-0.0579847728814928,0,0
X601336.CH.EQUITY,0,0.104858595448503,0,0,0.159511064883085,0,0,0,0,-0.00945173256943055,0,0,-0.0244028226337844,0.0803537845941397,0,0.0263328413703896,0,0,0.162958413081531,0,0,0,0,0,0,-0.0581791625594531,0,0,0,0,0,0,0,0,0,0,0,0,0.181430771743072,0,0,0,0,0,0,0.00358906350017903,0,0.308221352587237,0.0332152927093804,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.206413351817126,0,0,0,0,0,0,0,0,0,0,0,0.396536319122883,0,0,0,0.0480758547497038,0,0.105170450274914,0,0.185057018518302,0,0,-0.26178560173767,0,0.155323354534245,0,0,0,0.334441065332773,0,0,0,0,0,0,0,0,0,0,0,0,0.252531757633789
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.773145611982388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244984768752999,-0.0141289504404942,0,3.46944695195361e-18,-0.0578295198409413,0,-0.105385029855514,0,0,0,0.0476054235867201,0,0,0,0.0218727056519435,0,0,0.0910833453105093,0.100020826010901,-0.0191178818525827
X12.HK.EQUITY,-0.0839029499386545,0,0,0,0,0,0,0,0.00837303634560642,0.0156984892111929,0.520278390809955,0,0,0,0,0,-0.0706110171162764,0,0,0,0.690908025348939,0,0,0,0,0.198391353508768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764217451667988,-0.216425147998663,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0.0534455310229351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185977285048008,0,0,0,0,0,0,0,0.0273690598185669,0,0,0,0,0,0,0.0373025382299978,0.258807595219075,0,0.276692350682969,0,0,0,0,0,0,0,0,0.0542421678899548,0,0.161179316585856,0,0,0
X2882.TT.EQUITY,0,0,0.0610483805464409,0,0,0,0,0,0.626147272921092,0.000461415382499962,0,0.583676155300076,0.0295617870438419,0,0,-0.46497333918648,0,0.213650231920726,0,0.259905482122343,0,0,-5.55111512312578e-17,0,0,-0.195771300461222,0,0,0,-0.0638354938550269,0,0,-0.567041991137401,0,0,0,0,0,0,0,0,0,0,-0.0970187435708692,0.348310868042478,0,0,0,0,0,0
X601229.CH.EQUITY,0.884986450616853,0,0,0,0,0.00349756838013813,0,0,0.489375459539994,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.270159328066714,0,0,0,0,-0.0772896269454706,0,0,0,0.254368317435282,0,0,0,0,-0.127163473611116,0,0,0,-0.217568577542653,0,0,0,0,0,0,0,0.0216795854829741
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.194972827850703,0,0,0,0,0,0,0,0,0.135134551333906,0,0,0.47923511838618,0,0,0,0,0,0.247672576033988,0.151321794232799,0,0,0,-0.0757881242895026,-0.196351647782333,0,0,0,0,0,0.146309271247678,0,0,0,0.23360764328487,0,0,0,0,0,0.133998161858409,0,0
X600918.CH.Equity,-0.00396873289711842,0,0,0,0,0,0,0,0,0,0,0.173780431106015,-0.0099023466540983,0,0,0,0,0,0,0,-0.057971061741897,0,0,0,0,0,0,0,0,0,0,-0.175287730674455,0.0205747332119045,0.211566378478734,0,-0.0443790020422848,0,0.0574431281067133,0,0,0,0,0.0303940204576743,0,0,0,0,0.333318828543306,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,-0.0533454145031919,-0.0233947610567902,0.0333855709921493,0,0.303740323424932,0,0,0.170852450963275,0,0,0,0,0,-0.0099494964601691,0,0,0,0,0,0,0,0.253327664841979,0,0,0,0,0,0,0,0.11109915539091,0,0,0.0460093621517073,0,0.0288022010434878,0,0,0,0,0,0.0298056592619202,0,0.137904762018397,-0.0143340388546674
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430140486672927,0,0,0.318157628351607,0,0,0.171012646163482,0,0,0,0,0,0,0,0,0,0,0,0.301836944494338,0,0.0280396183626059,0,0.00800007488505683,0,0,0,0.112378419611386,0,0.0541330524133851,0,0,0,0,0.11159038876686,0,-0.0613259465348452
X600606.CH.EQUITY,0,-0.16484190092539,3.46944695195361e-18,0,0,0,0,0,0.0157352151345422,0,0,0,0,0,0.0954668226727759,0.403536531764568,0,0,-0.0394056348852976,0,0.172841119983454,0.0422082134183623,0,0,0,0,0,0,0,-0.122982492004589,0,-0.145718760406462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163545098043942,0,0.302603941358467,0,0.0571278123090455,0.0415507570501634
X601169.CH.EQUITY,0,-0.0135566297867576,0,0,0,0,0.802891293081749,0,0,0,0,0,0,0,0,0.0569291114675366,0,-0.00776714005416339,0,0,0.0415382899572328,0,0,0.0480580869616999,0,0,0,0,0,0,0,-0.0813141024895486,0,-3.46944695195361e-18,0,-0.0191615079290504,0,0,0,0,0,0,0,0,0,0,0.0868419862383359,0,0,0,-0.00908710980099869
macro_return_add,0,0,-0.0384289153501396,0,0,0,0,-0.199186882428248,-0.133461782651863,0,0,0,0.0943589109351713,0,0,0,0,0,-0.0894049001748091,0,0,0,-0.046714427765788,0,0,-0.0941231472274909,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.09327240295698,0.350838159561007,0,0,0,0,0,-0.265203685772908,0,0,0,0,0,0
