,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X601998.CH.EQUITY,0,0.0152663743115735,0,0,0.275819115713663,0,-0.0700689148781841,0,0,0,0,0,0.0576525563949392,-0.0578874316240864,0,0,0,0,0,0.0102330766700139,0,0,0,0,0,0,0.0380872090802685,0,0,0,0.132053831071769,0,0,0,0,0,0,0,0,0.0651771333264428,0,0.0149074123874946,0,0,0,0.505302509911777,0,0,0,0.0269865114616066,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0855669814077537,0,0,0,0.322531580870436,0,0,0,0.442752380429385,0,0,0,0,0,0,0,0,0,0.215001921416338,0,0,0,0,0,0,0,0,0,0,0.0961906652892003,0,-0.0259083785212648,0,-0.0949006549295473,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,-0.0681446481090528,0,0,0,0,0,0.0427752366172998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174274841849138,0,0,0,0,0,0,0,-0.166135964560066,0,0.190044682432283,0,0,0.213512632373838,0.178936723946066,0,0,0,0,0,0.665755441267339,0,0,0.114974080380107
X267.HK.EQUITY,0,0,0,0,0,0,0,0.14689300658119,-0.257566185060518,-0.142230085826342,0,-0.0172095173644286,0,0,0,0,0,0,0,0,0.115198089327907,0.261986943153164,0,0,0,0.334762305191041,0,0,0,0,0,0,0,0,0,0.108783282707091,0.0863259189745381,0,0.056497156348402,0.0490438753872874,0.00605992374348933,0,0,0,0.26478816331897,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.00160916516709289,0.0809244493775768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481686298133051,0,0,0,0,0,0,0,0,0,0.0139439704368391,0,0,0,0,0,0.0439034668826038,0,0,0,0.290433980508558,-6.93889390390723e-18,0,0,0,0
X600048.CH.EQUITY,0,0,0,0.114482727415343,0,0,0,0,0,-0.0316653193306813,0,0,0,0.530306041327594,0,0,0,0,0,0,0,0.0992229224205871,0,0,0,0,0.0300578178434195,0,0.100695518961442,0,0,0,0.0681875888215538,-0.0933644698077097,0,0.0426017348309021,0,0,0,0,0,0.145551597910217,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.0941626015573259,0,0,0,0,0,0,0,0.478789063277803,6.93889390390723e-18,0,0,0,-0.0055886163788725,0,0,0.0272502529583092,0,0,0,0,0.452029169057838,0,0,0,0,0,0,-0.0184257502080215,0,0,0,0,0,0,0,0,0,0,-0.0621058001064668,0,0,0,0,0,0,0,0.0112696397520161
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0350315892053897,0,0,0,0.144203750851248,0.234564131365338,0,0,-1.38777878078145e-17,0,1.73472347597681e-18,0,0,0,0.110972234868159,0,0.040517285581014,0,0,0.222013360587315,0,0,0,0,0.233862955396751,0,-0.151365856490275,0,0,0,-0.144535045263528,0,0,0,-0.041925980477783,0,0,0.289635117591588,0,0,0.0212894373463627,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10565009375601,0.0486566907260649,0.0303363251703262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265748566319457,0,0.216462226074755,0.0777347688715073,0,0.138396387737758,0.0557912261136869,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.179336979533686,0.296206716230128,0,0,-0.0100890101351974,0,0,0,0.275509638566897,0.366156957127885,0,0,0,0,0,0,0,-0.0256533327292589,0.0580899727783249,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.239566292554915,0,0,0.311272873587645,0,0,0,0.104902163884534,0,0,0,0.0197675600489385,0,0,-0.0979721372440867,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,-0.0539879039178651,0.0105179567076821,0,0,0,0.0183247709085495,0,0,0,0.0401923775913417,0,0,0,0,0,0.0345084206566874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185328309183101,0,0,0.0611846144058255,0,0.151677152680775,0.0656122497373241,0.172022730821133,0.0438279181500719,0,0.309889030482941,0,0,-0.00986618353988006
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241140105582515,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189317773837896,0,0.173342722427614,0.0433684376355847,0,0,0,0,0,0,0,0,0,0.166222466892669,0,0,0.18271378954366,0,0.0890443735536069,0,0,0.0307018736926741,0,0,0
