,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X600837.CH.EQUITY,0,0.0541059632019612,0,0,0,0,0,0,0,0,0,0,-0.0229678510060649,0,0,0,0,0,0,0,0,0,0,-0.0974805073324691,0,0,0,0,0,0,0,0,0,-0.0521458605693047,0,0,0.107774110421712,0.474368483566418,0,0,0.219338066756311,0,0.137271645066319,0,0,-0.0391678359030696,-0.059679514308535,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0713500196353404,0,0,0,0.11093766884394,0,0,0,0,0,0,0,0,0,0,0,0,0.0394703648271604,0,0,0,0,0,0,0,0,0,0,0,0.134986190604158,0,0.650036191914015,0.10479533580347,0,0,0.0823704309725292,0,0,0,0,0,0,-0.0353723105078897,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0357484193187448,0,0,0,-0.091520577589802,0,0,0,0,0,0,0,0,0,0.0563960682857351,0,0,0,0,0,0,0,0,0.45846136967272,0,0.511896686407713,0,0,0,0.0591448551584998,0,0,0,0,0,0.0646801050137505,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725592801489358,0,0,0,0,0.16963399105879,0,0,0,0,0,0.146895155032649,0,0,0,0,0,0.0949207617550977,0,0,0,0,0.188982014160498,0,0,0,0,0,0,0.120837966762438,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207299103875013,0.0685965595171435,0,0,0,0.149599123807084,0.0807798718652931,0,0,0.0202754341161061,0.0281501934711749,0,0,0,0,0,0,0,0,0,0,0.161262028238378,0.0476639069430299,0,0.228602496685945,0,0,0,0,0,-0.0574044130342375,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.0161204046907049,0,0.0822569884786932,0,0,-0.054171721728005,0,0,0,0,0,0,0.0119094389675445,0,0,0,0,-0.0511245184197626,0.0978656687494148,0,0,0,0,0,0,0,0.0176036764645619,0,0,0,0,0,0.0991225025482328,0.33978308907555,0,0,0.387637993764663,0.28580798378309,0,0,0,0,0,-0.0339088591254094,-0.238262148714075,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168375945939842,0,0,0,0.108477207630073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196097286744553,0,0,0,0,0,0,0,0.25483245916555,0,0.173876371649415,0,0.160598611765285,0.133230603432975,0,0,0,0,0.154347179696987,0,0.0100959211178905
X601628.CH.EQUITY,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1710320998621,-0.0720052557965329,0,0,0,0,0,0,0,0,0.0605956994161234,0,0,0,0.280065033016276,0,0,0,0,0.300759097056034,0,0,0,0.127616653736972,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0851896584232822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182763484781008,0,0.426368022431896,-0.140802676922433,0,0,0.0820876082301795,0,0.178861030273371,0,0,0,0,-0.135018913550412,0,0,0,0,0,0,-0.0642542518582848,0,0,0,0,0,0,0,-0.272696955157472
X2881.TT.EQUITY,0,0,0,0,0,0,-0.0354182829508655,0,0,0.107656105406484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273276382346584,0.0109650161649795,0,0,0.141043616401542,0,0,0,0,0,0,0.0313959813991262,0,0,0,0,0,0,0,0.129444787565091,0.213776187272562,0.090182819789612,0,0,0
X2882.TT.EQUITY,0,0,-0.069641879054169,0,0,0,0,0,0,0.0317296591720755,0,0,0,0,0,-0.101513728084086,0,0,0,0,0,0,0.0795826835925742,0,0,0,0,0,0,0,0,0.392272313744372,0,0,0,0,0,0,0,0,0,0,0.00662756198177855,0,0.41408265799479,0,0.0971855498065977,0.149371214268853,0,0,-0.0508678843776906
X2883.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335524465589471,0,0,0,0,0,-0.120826249103433,0.0674037622346116,0,0.0474768289792972,0.0296264952408372,0,0.233875245936654,0.146278441334486,0,0.162088221792322,0,0.110935920253183,0,0,-0.211371400952891,0,0.0195035963501608,0,0,0.00401918114266804,-0.00846154223391334,0,0.0770525195254469,0,0,0.120528526430771,0,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.125021137940243,0,0,0.170024778958884,0,0,0,0.0880606110611649,0,0,0,0,0,0,0,0,0.122467217572196,0.409674002549412,0,0,0,0.203158838475716,0,-0.0306785090507702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0.108000193219504,0,0,0,0,0,0,0,0,0,0,-0.186709604664645,0,0,0.0386914967919928,0,0,0,0,0.0681413598075436,0,0,0.289258275624165,0,-0.144930971341555,-0.0324127398491141,0,0,0.05798542744663,0,0,0,0,0,0,0,0,0.0351466362674699,0.0741410772615142,0.039082138447375,0.16300429317631,0,0,0,0,0,0,0,0.0978001718567433,0
X267.HK.EQUITY,0,0.253610662393874,0,0,0,0,0,0,0,0,0,0,0,0,0.399055513448623,-0.212753364035964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201065924070368,0,0.253874370502913,0,0,0,0.0116033693714395,0,0,0.0273359289192816,0,0.052321659638668
macro_return_add,0,-0.0245476171958208,-0.246279958894367,0,0,0,0,0,0,0,0,0,0.201429131102647,0,0,0,0,0,0,0,0,0,0,0.0418125250297051,0.114078364012587,0.113453037529362,0.0563406434439985,0,0,0,0,0,0,0.045473860651191,0,0,0,0.126415183025008,0.0266389632225372,0,0,0.124997843051611,0,-0.168914671925684,0,0,0,0,0,0.107468265352475,0
