,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601211.CH.EQUITY,0,0.0197755234474721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11811514227704,0,0.499778939489015,0,0.259590248975301,0,0,0,0,0,0,0,0,0.0906886605923424,0,0,0.00199426310799546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156409080265065,0.641527416719298,0.0964901968526627,0,0,0,0,0,0,0.0112222705022623,0,0,0,0,-0.0753718429424134,0,0,0.0233596201626015,0,-0.0308972681624719,0,0,0,0,0,-0.022386161488498,0,0,-0.0124505248048489,0
X388.HK.EQUITY,0,0,0.217935382522225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404164379246932,0.126310345836867,0,0,0,0,0,0,0,0,0,0,0,-0.0756314526554377,0,0.0971477075136679,0,0,0,0,0,0.0117333088284522,0,0.184240552193203,0.123039164871064,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.00404222618269887,0,0,0,0,0,0,0.0445471018010313,0,0,0,0,0,0,0,0,0.0855399609391017,0,0,0,0,0,0.00280233446603725,0,0,0,0,0,0,0,0.251463897844838,0.314336261944024,0.0775648798972191,0,0,0.0244694583896037,0,0,0,0,0,0,0,0,0.0984066866292679,0,0.0654886830623538,0,0
X601319.CH.EQUITY,0,0,0,0,0,0.0322681873133727,0,0,0,0,0,0,0,0,0,0,0.14086389314344,0,-0.282432512109535,0.0132464575607444,0.159301969862028,0,0,0,0.226608186250953,0,0,0,0,0,0.305475902435335,0,0,0,0,0,0.212174666587626,0,0,-0.123298796777648,0,0,0,0,0,0,0.121533705876222,0.0182706362482993,0,-0.13356284251347
X601336.CH.EQUITY,0.0788897700743086,0.0324781561637092,0,0,0,0.121026040231509,0,0,0,0,0,0,0,0,0,0.121423799490998,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,6.93889390390723e-18,0.0744718954939193,0,0.301962319066524,0,0.116589396333839,0,0.0605090303852232,0,0,0.134238930336127,0,0,0,0,0.0638643132694005,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.0964430940520428,0.080058877754139,0,0,0,0,0.028486775527357,0,0,0,0,0.0325051774131859,0,0,0,0,0,0,0,0,0,0,0,0.0848949238287089,0,0.237914550154624,0,0.235924197491648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0489263010083332,0,0,0,0.186545263020262,0,0.0305530945877905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668035082068359,0,0,0,0.13410206636064,0.179528927654114,0.403095062683006,0,0,0,0.0730458193612515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00857426412971391,0,0,0,0,0,0,0.191141965575009,0,0,0,0,0,0,0,0,0.145104803509578,0,0,0,0,0,0,0,0,0,0,0,0,0.0509360845446379,0.0961086565335264,0,0,0.448559970662164,0.0372820557102015,0,0.0805716576778738,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,-0.0190907643514679,0,0,0,0,0,0,0,-0.0653344829003658,0,0,0,0.0111017508770861,0,0.00877000248814153,0,0,0,0,0,0,0,0,0,0.0744382464317112,0,0,0,0,0.924380430107265,0,0,0,0.0978896716462708,0,-0.183655021039377,-0.088062600946362,0,0,-0.0706148379176794,0,0,0,0.15556290629053
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.243182732306641,0,0,0,0.09186285182203,0,0,0,0.0644700805732131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12295887091524,0,0,0,0,0.884220733721105,0,0,-0.194855867934698,0,0,0,0,0,0,-0.0438355323009109,0,0,-0.166292563210977,-0.135367116566976,0.0447737561737137
X000002.CH.EQUITY,0,0,0,0,0,0.0724447534183307,0,0,-0.0688757145146765,0,0,0,0,0,0.027144357747111,0,0,0,0,0,0,0.0466224521790022,0.244501469417013,0,0,0,0,0,0,0,0,0,0,0,0,0.0466506930358555,0,0.0166126699672271,0.60319871219859,0,0.0776629323706184,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000400132171156333,0,0.143254752454343,0,0,0,0,0,0,0.157333359859691,0,0.0993228749910977,0.123200495898078,0,0,0,0,0,0,0,0,0,0,0,-0.110158112322162,0.193873941260091,0,0.195221864201539,0,0,0.04231455024819,0,0,0,0,0,0,-0.0857613931600395,0.110730869290647
X600048.CH.EQUITY,0,0,0,0,0,0,0.131742542679431,0,0,0,0.107633817689917,0,0,0.0179455030402877,0,0.352172662263583,0,0,0,0,0,0,0.168407700807536,0,0,0,0,-0.177223916795512,0,0,0,0,0,-0.0488108368275663,0,0.218466070729875,0.282968840423584,0,0,0,0,0,0.17336089071951,0,0,0,0,0,0,-0.0421427830668687
