,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X601658.CH.Equity,0,0.0261981574636902,0.30330810786939,0,0.0491809248277352,0.013522104728379,0,0,0,0,0,0,0,0,0,0,0.0254973475888529,0.0249774447509124,0.172784769518338,0,0,0,0,0,0,0,0,0,0.0878051972429779,0,0,0,0,0,0.0222356651928882,0,0.0204604806189083,0,-0.0614375294801888,0,0,0,0.0554347540726718,0,0.0724616492588415,0,0.0205325235644,0.0524070301209123,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0290873633055493,0,0,0,-0.0218852946317991,0.0810889286918674,0,0,0.334617217765692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222297444667927,0,-0.0288710873972034,0.0936322583364945,0.0926642090110936,0,0,0,0,0,0.253570597968232,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0233885259870221,0,0.60237604189978,0,0,0.0462134536038311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132548732735674,0,0,0,0.0155532373797034,0,0,0,0,0,0,0,-0.0191436065707276
X601166.CH.EQUITY,0,0,0.0186352537765575,0,0,0,0,0.333499648088403,0,0,0,0,0,0,0,0,0.144957953066658,0.0168597580599172,0.0840810445749707,0,0,0.0626267914677247,0,0.120635308229249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682794886529567,0,0.203746424083541,0,0.00123509669958654,0
X000002.CH.EQUITY,0,0,0,0.16520158798219,-0.205500969701839,0,0,0,0.262175760240051,0,0,0,0.382955178524145,0.160588169076823,0,0,0,0,0,0,0,0,0,0,-0.116706819156218,0,0,0,0,0,0,0,0.000840643801173197,0,0,0.073699227960978,-0.0361971190799162,0,0,0,0,0,0,0,0,0.0258957249312395,0,0,0,0,0.00386587500410091,0
X601328.CH.EQUITY,0,0,0,0.245433441979182,0,0,0,-1.0842021724855e-19,0,0,0,0.0537770467385332,0,0,0,0,0,0.0711013588184271,0,0,0,0.359294169772201,0,0,0,-0.0520735814131649,0,0,0,0,0.00998558222514544,0,0,0,0,0,0,0,0,0.0922817884728871,0,0,0,0,0.101973196205938,0,0,0,0.0114529532368207,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0.626936256776722,0,0,0,0,0,0,0,0.0231033088814904,0,0,0,0,0,0,0,0,0.0381161702762539,0,0.00374810077360428,0,0,0,0.0187504235046386,0.0379060639803151,-0.17281377266901,0,0,0,0,0,0.203464877797307,0,0,0.0776895933498925,0,0,0,0,0,0,0,0,0,0,0,-0.200372387056315
X600000.CH.EQUITY,0,0,0,0.138135543801062,0,0.362385166788402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329036568499138,0,0,0,0,0.110498186157272,0,0,0,0,0,0,0.0585509371726903,0,0,0,0,0,0.607150561556731,0,0,0,0,0,0,0.192926163550898,0,0,0,0
X601601.CH.EQUITY,0,0.179026469640096,0,0,0.296147031083215,0,-0.0310100503634617,0,0,0,0,0,0,0,0.164893979050721,0,0,0,0,0.155747311051099,0,0,0,0.0540039452672972,0,0.129265995787157,0,0,0,0.0681342722304486,0,0.00940958929085101,0,0,0.0292310467330025,0,0.0967253135217292,0,0,0,0,0,0,0,0.0451937247470677,0,0,0,0,0,-0.0445646101666183,0
X601319.CH.EQUITY,0,0,0,0.150550133114252,0,0,0,0,0,0,0,0,0,0,0.269450131883151,0,0,0,0.0917081584840719,0,0,0,-0.0502081427614589,0,0,0.0148990568364501,0,0,0.0350271178322863,0,0,0,0,0,0,0,0,0,0,0,0,-0.10299238056423,0.096276530261237,0,0.146563589717764,-0.0254145461607091,0.127902577893373,0,0,0,0,-0.115832138208532
