,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X688.HK.EQUITY,0,0,0,0.0597812865840706,0,0,0,0,0.156137382080004,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708638163186674,0,0,0,0,0,0,0,0,0,0,0,0,0.0650109036086962,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0804633572190587,0,0,0,0,0,0,0,0,0.0388811802423409,0,0.0246462080542893,0.039292562757185,0,0,0.323181949815121,0,0,0,0,0,0,0.0535459092056323,0,0,0.0597728298567143,0,0,0.193849630253467,0.00482145816768027,0,0,0,0,0,0,0,0,0,0.0552899642517047,0,0.0471524558485329,0,0,0,0.0659539829734508,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.431219127166106,0,0,0,0,0,0,0,0,0,0,0,0,0.0406214757148314,0.208476236954982,0,0,0,0,0,0,0,0,0,0,0.298634805224556,0,0,0,0,0,0,0.0320624759152422,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135297450901759,0,0.0336632779574766,0.13339150553904,0,0.3368032154493,0.0992717782887543,0,0,0.0490694352765334,0,0,0,0,0,0,0.234868775152366,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0851993467250154,0,0,0,0,0,0.122888550137539,0,0,-0.00993702891887446,0,0,0,0,0,-0.115508476589075,0,0.319003405103392,0,0,0,0,0,0,0.0408285939702629,0,-0.156194037451313,0.0320594714640736,0,0,0,0,0,0.111266483543821,0,0.130685068500898,0,0,0,0.350074424847511,0,0,0,-0.0067995108237814,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0196608221304826,0,0,0,0.0231995071778235,0,0.0386010554201083,0,0,0,0,0.0320320522848948,0,0,0.126194858548849,0.178636523290525,0,0,0,0,0,0,0.242752172675961,0,0,0.151335870427323,0,0,0,0.17644747032837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.257384044759913,0,0,0,0,0.123297861417808,0,0,0.277252470033393,0,0,0.132351327393119,0,0,0,0,0,0,0.0921607972286346,0.716786682695571,0,0.0398682610668756,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162530031967426,0,-0.17073986672497,0,0,-0.0775694203793119,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.139478474241405,0,0.196285238886362,-0.163289115127496,0,0,0,0.0975295751468167,0,0,0,0,0,0.0243778164257632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145364601737781,0,0,0,0.604388203514992,0,0,0,0,0,0,0,0,0.241566307478832,0,0,0,-0.124373965304687,0.097706962529094
X2007.HK.EQUITY,0,0,0,0.125043683852843,0,0,0,0,0,0,0,0.0190686808092526,0,0,0,0,0,0,0,0,0.0979154403539719,0.0937561412419213,0,0,0,0.247457120865133,0.154629409518531,0,0,0,0,0.0563414279923331,0,0,0,0,0,0,0,0,0,0.17365011518765,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,-0.0835258972209474,-0.090374390886285,0,0,0,0,0,0,0,0.525480282849446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848739890342474,0,-0.0706221449775155,0,0,0,0,0,0.0939876796539644,-0.100454491034118,0,0,0,0,0.414747309698566,0,0,0,-0.0244940772512693,0,0,0
X600048.CH.EQUITY,0,0,0,0.0386991702183516,0.223140513535881,0,0,-0.214152386962627,0,0,0,0,0.227386869736231,0.176410521640173,0,0.082670314952782,0,0,0.0320769512712625,0,0.0163662361826228,0,0,0,0,0,0,0,0,0.305734400444615,0,-0.103045210539147,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0
X1113.HK.EQUITY,0,0.158068257861478,0,0,0,0,0,0,0,0.0139636367832377,0,0,0,0.163466596422104,0,0,0,0,0.021509570406903,0,0,0,0,0,0,0,0,0,0,-0.0274798228134748,0,0,0,0,0,0.395773849100434,0,0,0,0,0,0,0.157812335641932,0,0,0,0,0,0,0,0,-0.0991971650891876
X12.HK.EQUITY,0,0,0.0245576306816228,0,0,0,0,0.193455632630402,0,0,0,0,0,0,0,0.325539306282715,0,0,0,0,0,0.183378923178314,0,0,0.0192583526598965,0.0175724297084282,0,0,0,0,0,0,0,0,0,0.166852068372781,0,0,0,0,0,0.0923686436505355,0.0183352138139082,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0.222153443774599,0,0,0,0,0.538904698701845,0,0,0,0,0,0,0,0.0131791704603386,0,0.175813098964996,0,0,0,0,0,0,0,-0.152162620354601,0,0,0,0,0.0845180252090566,0,0.0554290792250693,0,0,0,0,0,0,-0.136495905826926,-0.165106940631695,0.214633608922606,0,0,0,0,-0.068793791949418,0,0,0,0,0,0.0641629531201739
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0462870151060839,0,0,0,0,0,0,0,0,0,0,0,0,0.0206743620432724,0,0,0,0,0,0,0.222941294273184,0,0,0.0198931261346999,0,0,0.329421002146053,0,0,0,0,0.0722527611394098,0,0.114672645268153,0,0,0.131223622436649,0,0,0,0,0
X823.HK.EQUITY,0.136870468334405,0,0,0,0,0.0733480233851145,0,0,0,-0.00486537809165782,0,0,0,0,0,0.0906247575459154,0,0,0.0901199252980188,0,0,0,0,0,-0.106633841697645,0,0,0,0,0,0,0,0,0.0645572409603496,0,0,0,0,0,0,0,0,0.511969193059664,0,0,0,0,0,0,0.0530635843516526,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0120691923524718,0,0,0,0,0,0,0,0,0,0,0,0,0.220547725230894,0.0649400550023808,0,0,0,0,0,0,0,0,0.080652181006379,0,0.152852283016418,0,0,0.240732499295427,0,0,0,0,0,0,0,0,0.221276108282805,0.0212266757197834,0,0,0,0
X600837.CH.EQUITY,0,0,0.0815122862010822,0,0,0,0.0176588882558902,0,0,0,0,0,0,-0.00237735359079694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559818033392701,0,0,0,0,0.117300217789828,0,0.449758109573448,0,0,0,0,0,0,0.0271236647652581,0,0,0,0,0,0.240615249573056,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.269092133221834,0,0,0.0689713468194544,0,0,0.0153502767068778,0,0,0,0,0.0250167718024775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2363375833739,0,0.106343417902303,0.225912915398122,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0599368442741848,0,0.0788230519091823,0,0,0,0,0,0,0,0.0575259541445428,0,3.46944695195361e-18,0.0397294930839837,0,0,0,0,0,0,0,0.192666915701975,0,0,0.043348708386081,0,0,0,0,0,0,0,0,0,0,0.288338029531436,0,0,0,0.104815211317576,0,0
X601336.CH.EQUITY,-0.00824925677063942,0,0,0,0,0,0,0,-0.0639819327396036,0,0,0,0,0,0,0,0,0,0,0.129033858508738,0,0,0,0.09544852007219,0,0,0,0.148530839425084,0,0.0273367245778173,0,0,0,0.0466245599894367,6.93889390390723e-18,0.00491580629100008,0,3.46944695195361e-18,0,0,0,0,0,0,0.474629887283919,0.164978135261287,0,0,0,0,0.0901664219719372,0
X601229.CH.EQUITY,0,0,0,0.559943186845222,0.033112669347771,0,0,0,0.00277363284689739,0.0244910909174134,0,0,0,0,0,0,-0.200825834377311,0.129012483646959,0,0,0,0,0,0,0,0,0,0.080205592821561,0,0,0,0,0,0,0,0,0.203461435115624,0,0,0,0,0,0,0,0.257857452522228,0,0,0,-0.0640928570538127,-0.161451074366906,0,-0.0523218878051061
X1997.HK.EQUITY,0,0,0.0814781510332392,0,0,0,0,0,0,0.0269989146402497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133594294337004,0,0,0,0,0,0.129130765102655,0.510704666115638,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0268952226984281,0,0,-0.0679059473397951
X601169.CH.EQUITY,0,0.0603238692281424,0,0,0,0.114578787813628,0,0.0617527335129352,0,0,0.117040328162421,-6.93889390390723e-18,0.111958901730194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182836771225209,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.229838199855809,0,0,0,0.264122397589749,0,0,0,0.0656055493014628,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0125241402293886,0.0033592285224492,0,0,0,0,0,0,0,0,0,0,0.0830761188329254,0,0,0.0443851572491551,0,0,0,0,0.166950141503987,0,0,0,0,0,0,0.159662016470574,0,0.141238091251063,0,0.17486362092283,0.030863042157731,0,0.111969331778822,0,0.0687740729996765,0,0,0,0.022004757326332,0,0
X2881.TT.EQUITY,0.0453915562807943,0,0,0,0,0,0,0,-0.0387951783013919,-0.0205736655496294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0659420380703841,0,0.116805714079258,0,0,-0.145378269294142,0,-0.0820316771079464,0.134800498433649,0,0,0,0.45506373467801,0.289455718183426,0,0,0,0,0,0,0,0.172412123590736,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0.0312967550460071,0,0,0,0.0732761821017878,-0.112910636093065,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.0221117088231557,0,0,0,0,0,0,0.0811921221154325,0,-0.036333749177914,0,0,0,-0.0536895861159548,0,-0.0440585372749096,0.754957238274748,0,0.119996777344751,0.0536513869355163,0,0,0,0,0,0,0,0.115570565181086,0,0,0,0
X000166.CH.EQUITY,0,0,-0.119293485682508,0,0,0,0,0,0,0,0,0,0.00299733510399479,0,-0.00626384284415542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653000048246593,0,0,0.502354933606183,0.0585424756441356,0,0,0,0,0.254661789850464,0,0,0.25505791044813,0,0,0,0,0
X2891.TT.EQUITY,0,0,0.683983438422551,0,0,0,0,0,0,0,0,0,0,-0.0647327628279475,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248827083019626,0,-0.219996943174841,0.0300819520554127,0,0,6.93889390390723e-18,-0.0185603426900642,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.396173905802906,0,0
X2886.TT.EQUITY,0.410959321449319,0,0,0.0712755502204102,0,0,0,0,0.0739421796524421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152370520953344,0,0,0,-0.14408049108379,0,0.192975730943434,0,-0.293099925702576,0,0,0,0,-0.121939464282983,0,0,0,0,0,0,3.46944695195361e-18,-0.256997844740885,0,0.287004253319079,0,0.137864065835533,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,-0.0283613069368673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02552222193903,-0.025724919305366,0,0,0,0.0381036755356976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11967664169488,0,0,0.0845109171864494,0,0,-0.75624960021672
VXFXI.INDEX,0,0.00457373462569369,0,0.0930167179861569,0,0,0,0,0.0063659766219554,-0.0582442790848138,0,0,0,-0.133785457744247,0,0.0297099558931015,0,0,0,0.0503389632446656,0,0,0,0,0,0,-0.0150073988652116,-2.11569049836172e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20409645587943,0,0,0,0,-1.18163883467633,0
