,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X688.HK.EQUITY,0.0683341091988167,0.105600684938394,0,0,0,0.112082476725283,0,0.126538161849266,0,0,0,0,0,0.0786014590448157,0,0,0,0,0,0.0495940438370939,0,0,0,0,0.186083615887482,0,0.0516094235004553,0.321471715417577,0,0,0,0.149531244756226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.561283669023909,0,0,0,0.0675329066005285,0,0,0,0,-0.0569553228985276,0,0,0.198389031690759,0.0440356589632537,0,0,-0.0950814952461735,0,0,0.407147567089387,0,-0.0320550864397348,0,0,-0.0453573067765898,0,-0.0251977008895509,0,0,0,0.0508614717086753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.135677305922663,0,0.0937086019017821,0,0,0,0,0,0.0699028037741377,0,0,0,0,0,-0.0318939786139623,0,0.104306764990231,0,0,0,0,0,0,0.0646241329995469,0,0,0,0,0,-0.0800355192936552,0,-0.0231356895864474,0,0,0,0,0,0,0,0.0316691192082592,0,0,0,0,0,-0.00417627699883527,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0.136592916130834,0,0,0,0,0,0.163454710534789,0,0.188269104734001,0,0.281338264395862,0,0,0,0,0,0,0,0,0.00749846491371869,0,0.135902714068328,0,0,0,0,0,0.012006896479089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255820098749006,0,0
X2007.HK.EQUITY,0,-0.0533071600330369,0,0,0,-1.73472347597681e-18,0,0,0,0,0.00343473034087642,0,0,0,0,0.130101861523844,0,0,0,0,0,0,0,0.00668948733220737,0,0,0,0,0,0,0.107077305348318,0,0,0,0.00118920506700094,0,0,0,0,0,0,0,0,0.418167824365272,0.137402957499744,0,0,0,-8.67361737988404e-19,0,0
X600048.CH.EQUITY,5.42101086242752e-20,0,0,0,-0.0398482611550969,0.0731078930609453,0,0,0,0,-0.0817046618130659,0,0,0,0,0.0840108786806666,-0.179590717185163,0,-0.0599722894408529,0,0,0,0,0,0,0,0,0,0,0.372613971262174,-0.0716026717086554,0,0,0.364273433741518,0,0,0,0,-0.101277790147444,0.153776190676438,0,0,0.0428618469574033,0,0,0,-0.0323136614105222,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0.082260689082415,0,0,0,0.295221048163769,0,0,0,0,0,0,0.164395943786778,0.318918385777728,0,0,0.135070615998857,0,0,0,0,-0.0514451864843847,0,0,0.0333631997220829,0,0,0,0,0,0.0572329743465903,0,0,0,0.0288446853848535,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,-0.0168937650840381,0,-0.106225841172025,0,0,0,0,0,-0.0800794916272901,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0185847503038293,0,0,0,0,-0.00595224525247862,0,0,0,0,0,0,0,0,0.553049010484649,0,0,-3.46944695195361e-18,0,0.0214809623812562,0,0,0,0.00528933623260193,0.0462752641237869,0,0.0794772933233932,0,0,0.111990992956207,0,0,0
X12.HK.EQUITY,0.186285000266407,0,0,0,0,0,0,0.119118354836671,0,0,0,0,0,0,-0.0228326085258445,0,0,0.14902589093337,0,0,0,0,0,0.0842078509221909,0,0,0,0,0.0284226358596558,0.0903928971973685,0.00228406369993582,0,0,0,0.279164095514109,-0.239106601911235,0,0,0,0,0,0,0,0.00267976320894232,0,0,0,0,0,0,0
X601688.CH.EQUITY,0.0380283866562692,0,0,0,0,0,0,0,0,0.0246946903554325,0,0,0,0,0,0,0,0.114513667925578,0,0,0,0,0,0,0,0,0,0,0,0,0.072324109585277,0,0,0.12925466525411,0,0,0,0.0785651477399806,0,0,0,0,0,0.108134992854536,0.021773622188783,0.175184467129142,0,0.202646479728106,0,0,0
