,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X11.HK.EQUITY,0.039902444349916,0,0,0,0,0,-0.112958939269556,0,0,0,0,-0.0320111672580181,0,0,0,0,0,0,0,0,-0.0762176368511781,-0.0192526750112264,0,0,0,0,0.11694220879515,0.356804979533246,0,0,0,0,0.242134788874758,0,0,0,0,0,0,0,-0.0314604882345272,0,0,0,0.25231914396419,0,0,0,0,0,0.0203975065053418,-0.0585759574886072
X2388.HK.EQUITY,1.73472347597681e-18,0,0,-0.0271251308898824,0.479021900008615,0,0,0,0,-0.0107806998183874,0,0,0,0,-0.395428857170034,0,0,0.264579035891866,0,0.0200301116843891,0,0,0,0,0,0.235166142919498,0,0.135752612482415,0,0,0,0.117730986102823,0,0,0,0,0,0,0,-0.00414492782440259,0,0,0,0,0.0559251796375602,0,0,0,0,0.154578736005604,0.0743581447597232,0
X5.HK.EQUITY,0.129505167390294,0,0,0,0,-0.300460256408893,0,0,0,0,0,-0.0310400807133398,-0.143260345127591,0,0,0,0,0.0640699091154036,0,0,0,0,0.0725932463475835,0,0,0.0639772203836637,0.178242655591203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236419407445333,0,0,0,0,0.176908215059008,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,-0.183826487571376,0,0,0,-0.0754083140661742,0,0,0,0,0,0,0,0,0,0,0.0737894751355283,0,0,0,0,0,0.0883701202191457,0.426585292614388,0,0.105886576637705,0,0,0,0,0.382020579633518,0.0754229499664723,0,0,0,0,-0.42046527081547,0,0,0,0,0.076886240968295,0,0,0
X2884.TT.EQUITY,0,0.0326919212898017,0,0,0,0,0,0,0,0,-0.0136447041742329,0,0,-0.0138544595754803,0,0,0,0.104251430334666,0,0,0,0,0,-0.0328859757810841,0,0.0492248242035647,0,0.136488089202063,0.292924758247581,0,0,0.117055856996204,0.273794431206577,0.129826178285707,0,0,0,-0.0295069640746941,0,0,0,0,0,0,0,0,0,0.0286277416399977,0,0,0,0
X2886.TT.EQUITY,0.0645614335529461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220476122863223,0,0,0,0,0,0,0,0,0,0,0,0.64959280255319,0,0,0,0.153260102086668,-2.77555756156289e-17,0,0,0,0,0,0,0,0.180596705512055,0,0,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,-0.140373205684181,0,0,0.00318075658579677,0,0,0,0,0,0.0367919153150779,0,0,0,0,0,0,0,0,0.0866198330771738,0,0,0,0,0,0,0.197387000945603,0,0,0,0.322491906379284,0,0,-0.0740784192935129,0,0,0,0,0,0,0,0,0,0.185221762852093,0,0.267074718910084,0,0,0
X2892.TT.EQUITY,0,0,0.0487147187250078,0,0,0,0.000700536587430554,0,0,0,0,0,0.0425963476929656,0,0.0545561755345616,0,0,0.0502698985084061,0,0,0,0.0594187955979986,0,0,0.0304975932933365,0,0,0,0.00693758634674341,0.0664123440722736,0.1942796801916,0.330463629708683,0,0.369291630669862,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,-0.0424920834324937,0,0,0.116904078952985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361733622907432,0.0758822174745064,0.0226276308411926,0.237889261418683,0,0,0,0,0.0971477804864037,0,0.166785639022309,0,0,0,0,0,0,0.0471785037014719,0,0.0286313123536879,0,0,0,0
X600030.CH.EQUITY,0.0513791170243043,0.0143968266423085,0,0,0,0,0,0.0485496780817194,0,0,0,0,-0.0602724417708984,-0.191952126237826,0,0,0,0,0,0,0,-0.0593440722325828,0,0,0,0,0,0,0,0,-0.0542213909732047,0,-0.0821371751369009,0,0,0,0.39421380977751,0.110782784889338,0,0,0.243899483320064,0.0196880625029297,0,0,-0.00896620898781612,0,0,0,0,0,0,0
