,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600061.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601328.CH.EQUITY,0,0,0.369131835549443,0,0,0.112631969649639,0,0,0,0,0,0,0,0.368054787299953,0,0.194434576453498,8.67361737988404e-19,0.0286656533447019,0,0,0,0,0,0.0195422721386247,0.0395570017907264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150410569946665
X601398.CH.EQUITY,0,0,0,0.0465017163685416,0,0.08436358576037,0,0.0164861599783154,0.0634700779664473,0,0,0.0341514604459797,0.102876852092984,0,0,0.442208125823597,0,0,0.17420204383708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.532582257439302,0.0339663807455994,0,0,0,0,0,0,0.313559331104189,0.00265640046123131,0,0,0,0,0,0,0,-0.0699165320023878,0,0.0562080548544143,0,0,0,0.139621227719861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0160350027864093,0,0,0,0.473853071763512,0.0418935990405677,0.172024462067749,0.210305524109037,0,0.0983402915718868,0,-0.0462268652513572,0,0.0716982059893777,0,0,0,0.0129233174203887,0,0,0,0,0,0,0,-0.0334463025240607,0,0,0,0,0,0,0,0,0,0,0,0,0.00277507407259344,0,0,0,0
X601988.CH.EQUITY,0.29196139501513,0.158167786181365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324731084323361,0,-0.169238427338769,0,0.318118155685032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0325864569510735,-0.177697797894712,0,-0.171849111832265,0.0501862498087718,0.0197266017929532
X601998.CH.EQUITY,0.143512666912078,0,0,0,0,0,0,0,0.0535122090289508,0,0,0.187919460076388,0.0641733593602182,0,0,0,0,0,0,0,0.00662840559409717,0,0,0,0,0,0,0,0,0.013179772482557,0,0,0,0,0,0,0,0.127655032939521,0,0,0,0,0.00200014340117433,0.000756322100460773,0,0,0,0.0936885780763213,0,0
X11.HK.EQUITY,0,0,-0.109788857483947,0,0,0,0,0.00569770771309399,0,0,0,0,0,0,0,0,0,0,0,0.0168836963441944,0.265079800169149,0.0563680220032705,0,0,0,0.395627219982041,0,0,0,0,0,-0.235056469356628,0,0,0,0,0,0,1.38777878078145e-17,0.434074915718855,-6.93889390390723e-18,0,0.14326735231577,0,0,0,-0.00112070472675732,0.325903845761529,0,0.154533023788652
X2388.HK.EQUITY,0,0,0,0,0,0,0.131096775153946,0.349816129262812,0,0,0,-0.364574009179233,0,0,0,0,-0.344058103461325,0,0,0,0.137432740759678,-0.0537703843346311,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055377519479344,0,0,0,0.42275038559535,0.325686150561621,-0.0345021572173611,0,0,0,0,0,-0.0390645975258546,0,0,0
X5.HK.EQUITY,0.0272465780763053,0,0,0,0,0,0,0.0728672085009983,0,0,0.231747983746978,0,0,0,0,0,0.0888204663613103,0,0,0.053157571608728,0,0,0,0.253412304600293,0,0,0,-0.128149328602754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373989045539277,0.0544299646536922,0,0,0,0.136189970508758
X2884.TT.EQUITY,0,0.0383980497373985,-0.147105126403182,0,0,-0.118666735147306,0,0,0,0,0,0.178250065896606,0,0.18840214075533,0,0,0,0,0.00691080217641929,0,0.0502407800800852,0,0.271426719777664,0,0.432502692856224,0,0,0,0,0,0,0,0,0.0329109171960781,0.211198156857922,0,0,-0.24948897844136,0,0,0,0,0,0,0,0.0388508060185235,0,0,0,0.128159910285955
X2886.TT.EQUITY,0,0,0.0075253535818034,0,0,0,0.0620005746367825,0,0,0,0,0,0,0,0,0,0,0,0.0742426640142845,0,0,0,0,0.0507053390528543,0.49397451323844,0,0,0,-0.152137510565823,0,0,0,0,0,0,0,0,0,0.10708847207941,0,0,0,0,0,0,0,0.0920169070506575,0,0.252378867282923,0.223560365118327
X2891.TT.EQUITY,0,0,0.173766936692826,0,0,0,0,-0.0861771368302057,0,0,0,0,0,0,0,0,0,0,0,-0.00281524100643583,0.0390273583993523,0,0,0,0,0,0,0,0,0,0,0,0,-0.209298889956384,-0.0313515878856951,0,0,0,0,0,-0.0404644560293497,-0.0898618980851729,0,0,0,0.314114713568654,0,0.296715308493949,0,0
X2892.TT.EQUITY,0,0,0.257776443380431,0,0,0,-0.127908747001412,0,0,0.0343548251423969,0,0,0,0,0,0,0.243858239906941,0,0,0,0,0.490763522078871,0.214607280404141,0,0,0,0,0,0,0,0,-0.0220991514657243,0,0,0.0562401987699988,0,0,0,-0.194988434098079,0,0,0,0,0,0,0,0,0,0,0.0173396096512043
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740856142715404,0,0,0,0,0,0,0,0.326229005806407,0,0.351320574448378,0,0.0519242333684264,0.0752805996896021,0,0.0803512213480104,0,0,0.147138076180324,0,0,-0.12435481660759,0.0704604123227149,0.0372820001255574,0,0,0,0,0,0,0,-0.0107992641793778
X000776.CH.EQUITY,0,0,0,0,0,0,0,0.111635434146492,0,0,0,0,0,0,0,0,0,0,0,0.0298043095139309,0,0,0,0,0,0.394067549258815,0,0,0,0,0,0,0,0,0,0.0697737164003077,0.435798480583483,0,0,0,0,0.0653180779414019,0,0,0,0,0,0,0,-0.00816138323718541
X002736.CH.EQUITY,0,0,0.0204644750388082,0,0,0,0.0420800423899697,0,0,0,0.00538548459806182,0,0,0,0,0,0.0160048667537837,0,0,0,0,0,0,0,0,0.255279903788443,0,0,0,0,0,0,0.339876710816444,0,0,0.219423195514193,0,0,0.0276522227155366,0,0.0653485642224167,0,0,0,0,0,0.0567857343933653,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0442872724310497,0,0,0,0,0,0,0,0,0,0,0,-0.00968389171981176,-0.0766006268901943,0.277354288909787,0,0.074447186605156,0,0,0,0,0,0,0.151353837690517,0,0,0.317657192621876,0,0,0.201027503867571,0,0,0,0,0,0,0,0,-0.0181609674489736
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.0322912000765476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373736825667244,1.38777878078145e-17,0,0,0,0,0.242972723898298,0,0,0.0209465118340636,0,0.275264743584822,0,0,0.12245053241279,0,0,0,0,0,0,0,0,0,0
X600061.CH.EQUITY,0,0,0,0,0,0,0,-0.0567173215214302,0,0,0,0,0,-0.0482374871957486,0,0,0,0,0,0,0,0,0,0.0771631371681891,0,0.183025425115897,0,0,0.173485214167227,0,0,0.160382083928743,0,0.278745872861971,0,0,0,0.24221615525246,0,0,0,-0.128603610830266,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0.0431181173317566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043622744386958,0,0,0.0371830760424827,0,0.0316262790843957,0.384471031224571,0.0492772198888126,0,0.227549137155565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384089829099031,0
