,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X11.HK.EQUITY,0,-0.603180845440376,0,0,0,0,0,0.381275096076664,0,-0.345198199475098,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337829347014091,0,0,0.167856311955684,0.4827936170721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2124327444538,0,0,0.383693488173557,-6.93889390390723e-18,0.167330701576572,0,0.124507280778567,-0.0542476548904749,0.0260342876436486,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.282719757439079,0.200796937563676,0,0,0.0794736419500632,0,0,0,0,0.0996030284387446,0,0,0.0772962717866064,0,0,0.127935291350403,0,0.187528318537344,0,0,0,0,0,0,-0.325302039549177,0,-0.300968327726391,0,3.46944695195361e-18,0,0,0,0,0,0,0.129868357858036,0,0,0,0,0,0.134797804163218,-0.102023522619086
X5.HK.EQUITY,0,0,0,0,0,0.0698689489236899,0,0,-0.126315399096673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1260992480164,0.521492207930025,0,0,0,0,1.73472347597681e-18,0,-0.017791015957098,0,-0.167388218200634,0.311099141589754,0,0,0,0,0,0,0,0,0,0,0,0,0.119755527226862,0.196922161654758,0.348027973460221,0,0
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460601148278729,0,0,0,0,0,0.476572080170237,0.0695089060703606,0.0680281231463732,0,0,0,0,0,0,0,0,0.0774589116534624,0,0,0,0,0.0932811005818449,0,0,0,0.200797514719141,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155875885190672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425103422264665,0.120944681588136,0,0.417275631649293,0,0,0,0,0,0,0,0,0,0,0,0,0.106756935157492,0,0.109106085797506,0,0,0.00676838923956285,0
X2884.TT.EQUITY,0,0.103369680337952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016919751291525,0,0,0,-0.0690679322782633,0,0,0,0.614768059726188,0,0,0,0,-0.138261877650395,0,0,0.120928920106422,0,0,0,0,0,0,0,0,0.203705356702065,0,0,-0.194767923861452,0
X2886.TT.EQUITY,0,0,-0.176460214582135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502450782464289,0,0,0,0,0,0,0,0,0,0,0,0.355496666238637,0,0.278925321134025,0.0149123201943391,0.293998564852136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163678698129651,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0321334808204534,0,0,0,0,0,0,0,0,0,0,0.22339355891061,0.120559536387254,0,0,0,0,0,0,0,0,0.00719969910094985,0,0,0.354733596186517,0,0,0,0,0,0,0,-0.123614836672947,0,0,0,0.136230214622365,0,0,0.1564420937355,0.147523759018609,-0.0481483549138873,0,0.0108363570966446
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163979783959176,0.188184569361372,0,0.0703785882021124,0,0.513776363967116,0,0,0,0,0.00492469318638381,0,0.0880983353362906,0,0,0,0,0,0,0,0,0,0,-0.0233012735161175
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10068607460879,0,0.160028177631602,0.154755556745588,0.104834161923601,0,0,0,0,0,0,0,0,0.148652647269069,0,0,0,0,0,0,0.161846648869155,0,0.227662667122829,0,0,-0.0287477618036924,0
