,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X2884.TT.EQUITY,0,0.190897241674256,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0242529084201412,0,0,0,0.0672226642163152,0,0,0,0,0.0674109619134034,0.222533500560906,0,0,0,0,0.092421768756892,0,0,0.164841613258642,0,-0.109933953388075,0,0,-0.080783973885376,0,0,0,0,0,0,0,0
X2886.TT.EQUITY,-0.154329514763083,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334668823771979,0,0,0,0.0148818702234566,0,0,0,0,0,-0.04726570629746,0.842401719663032,0.0674958828991404,0,0,0,0,0,0,0,0,0,0,0,0,0.100324152235382,0,0,0,0,0,0,0,0.0523618832344947,0.117814420253441,0,0.0654863019447568
X2891.TT.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0.180782665813048,0,0.0552204889842151,0.295065313838554,0,0,0,0,0.106378697948025,0,0,0,0,0,0.0624487458723969,0,0,0.389860391901751,0,0,0,0,0,0,0,0,0,-0.0534545402625825,0,0,0,0,0,0,0,0,0,0,0,0.0754439292609223,0,0,0
X2892.TT.EQUITY,0,0,0,-0.0327808336896187,0,0,0,0,0,0,0,-0.0139775522745171,0,0,0,0,0,0,0.0846365659751489,0.209364161428094,0,0.119082056887013,0.630555841196255,0,0,0,0,0,0,0,0,0,0,0,-0.0140532395019003,0,0,-0.0968039160159428,0,0,0.173415409588238,0,0,0,0,0,0.198231293071159,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0.501582996955504,0,0.0933727036405323,0,0,0,-0.437882563827175,0,0,0,0,0,0,0,0.477226250725853,-0.166515736380578,0,0,0,0,-0.0607356992472309,0,0,0,0,0,0,0,0,0,-0.0471456297390601,0,-0.0687579919088584,0,0.0493288636315378,0,0,0.5644519349584,0.130654550066514,0.106757820868293,-0.106994824700918,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288895465820074,0,0,0,0,0,0,-0.021694788310756,0,0,0,0,0.337844440915838,0.305332838901566,0,3.46944695195361e-18,0,0.265813977376329,0.078806061076845,0,0,0,0,0,0,0,0.0394851248879584,0,0,0,0,0,0,0,0.036408882844596
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179969189518603,0,0,0,0,0,0,0,0,0,0.162047298365438,0,0,0,0.0103067773574585,0.0913507918907295,0,0,0,0,0.420153301749399,0,0,0.0372312708838549,0.0992212088441196,0.0408254233556572,0,0,0,0,0,0,0.0099574907092925,0
X002736.CH.EQUITY,0,0,0.104689988284042,0,0,0,0,-0.0756290891870748,0.201252499842869,0.129296310942841,0,0,0,0,0,0,0,0.00521242285133836,0,0,0,0,0,0,0.123849312829968,0,0,0,0,0,0,0,0.36983154035351,0.147417043420183,0,0,0.0491152221540287,0,0,0,0,-0.0675128165786242,0,-0.0488319255794262,0,0,0,0.0315100290245431,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0651728934627995,0,0,0,0,0,0,0.101458087282419,0,0,0,0,0,0,0,0.0322150053021119,0,0,0,0,0,0.247814107190172,0,0,0.10607701456803,0,0,0.187468078372059,0,0,0.0896187384623704,0,-0.0918169415385117,0,0.166343371930028,0,0,0,-0.0169723388915693,0
X600030.CH.EQUITY,0.00325936225734653,0,0,0,0,0,-0.0752407127908829,0.149438536215071,0,0,0,0,0,0,0,0,0.0878933118902707,0,0,0.0102018027473127,0,0,0,0,0,0,0,0,0.0979093083606245,0,0,0,0,0.219458490931044,0,0.22680874251493,0.0216125716037496,0.271392162472724,0,0.0591347457954813,0,0,0,0,0,0,0,0.0256968046261032,0,0
