,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,macro_return_add
X600030.CH.EQUITY,0,0,0,0,0.00786012569812897,0,0,0,-0.0303625833425096,0.0866060603814039,0,0,0.324581417976441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0711232153320294,0,0,0,0,0,0,0.227904986655742,0,0.0495966556444202,-0.0362551373227649,0.0804636430910404,0,0,0,0,0,0.23938787156613,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.023432721378189,0,0.60233568032986,0,0,0.0460124013318079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.13280972336049,0,0,0,0.0154095523143226,0,0,0,0,0,0,-0.0193105286935109
X601166.CH.EQUITY,0,0,0.0165940835903106,0,0,0,0.3383136695381,0,0,0,0,0,0,0,0,0,0.145924206879104,0.0176566542486678,0.0893099588412173,0,0,0,0.0637268140122155,0.112635068334429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665611565899484,0,0.203348927925751,0,0
X000002.CH.EQUITY,0,0,0,0.166049211786461,-0.206973642403675,0,3.46944695195361e-18,0,0.262573526215103,0,0,0,0.386315160838689,0.151936795727276,0,0,0,0,0,0,0,0,0,0,-0.112416249445411,0,0,0,0,0,0,0,0,0,0,0.0644215194095813,-0.0290182526989197,0,0,0,0,0,0,0,0,0.0304974357269763,0,0,0.00563183367950994,0,0
X601328.CH.EQUITY,0,0,0,0.255265697994021,0,0,0,0,0,0,0,0.0484084654299877,0,0,0,0,0,0.0666441374156144,0,0,0,0,0.350007650287987,0,0,-0.00270261525564093,0,-0.0602979472015915,0,0,0,0,0,0,0,0,0,0,0,0.1156591549137,0,0,0,0,0.111983540822937,0,0,0,0.00573818035472064,0,0
X000001.CH.EQUITY,0,0,-1.38777878078145e-17,0,0.0458420759337698,0.600106788576817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257051871294742,0,0,0.0719316050158021,-0.154175065427674,0,0,0,0,0,0.0902748785709825,0,0,0.0950557455661318,0.0548315888972642,0,0,0,0,0,0,0,0,0,-0.188185172571243
X600000.CH.EQUITY,0,0,0,0.117326764410362,0,0.323774345864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103948981806599,0,-0.0481998619370082,0,0,0,0,0,0,0.117389715119029,0,0,0,0,0,0.0580218656269542,0,0,0,0,0,0.604178251043734,0,0,0,0,0,0,0.168672816199755,0,0,0
X601601.CH.EQUITY,0,0.133218918565451,0,0,0.350289001802369,0,0,0,0,0,0,0,0,0,0.178220024592593,0,0,0,0,0.243732867584402,0,0,0,0.0351256969989313,0,0,0,0.0271591439673711,0,0.0791530578620769,0,0.0456304688040119,0,0,0,0,0.112857922262249,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0728412174900249
X601319.CH.EQUITY,0,0,0,0.15200697136476,0,0,0,0,0,0,0,0,0,0,0.260245773624795,0,0.010024196857012,0,0.0961835367361721,0,0,-0.0439668359095121,0,0,0,0,0.0265055596743886,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867298572313322,-0.0998773084937541,0,0.145509199567213,-0.0238219184788145,0.14386055113398,0,0,0,-0.114528112039538
X16.HK.EQUITY,0,0,0,0,-0.0118610179708818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278767406542736,0,0,0,0.0290321954735055,0,0,0,0,0.213204532431901,0,0,-0.0738808969662951,0,0.0507462484914501,0,0.0611023291174039,0,0.296547450720235,0,0,0.133180669780036,-0.120983100613381,0,0,0,-1.73472347597681e-18
X1109.HK.EQUITY,0.213596533783486,0,0,0,0.0257255408698471,0,0,0.0695547472169,0,0,0,0,0,0,0,0,0.135714356783654,0,0,0,0,0,0,0,0.0594450847626315,0,-0.158057956486339,0,0,0,0,0,0,0.251780613003128,4.33680868994202e-19,0,0,0,0,4.33680868994202e-19,0,0,0,-0.234851375211478,0,0.332711119969557,0,0,0.0485668709513073,0.170558342887723,0
X600016.CH.EQUITY,0,0,0.0506382970198261,0,0,0,0,0,0,0,0,0,0,0.0855227930361415,0,0.110885187328411,0,0,0,0,0,0,0,0,0,0,0,0,0.0698753403028849,0.163547599610189,0.0144353828886019,0.11275667506551,0,0,0.0876418307596434,0,0,0,0,0,0,0,0,-0.058699396411125,0.0416966235934003,0.0168839787749158,0.0866860827954241,0,0,0,0
X601998.CH.EQUITY,0.224778281950781,0,0,0,0,0,0,0.00531426968054464,0,0,0,0,-0.00323532211552508,0,0,0,0,4.33680868994202e-19,0.152039366200451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419559075948327,0,0,0,0,0,0.0105151235729577,0,0,0,0,0,0.135730516783897,0,0.525540031250677,0,-0.104369011365917
