,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601818.CH.EQUITY,0,0.0485044476358581,0,0,0,0,0,0,0,0,0,0,0.174666457487083,0,0.229401297795795,0,-0.0603119113050211,0,-0.144873141061521,0,0,0.086257235889916,0,0,0,0,0,0,0,0,0.262569237328674,0,0,0,0,0.0845898047795462,0,0,0,0,-0.0368568752323061,0.182221291346401,0,0,0,0.0259576737128291,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,-0.00167424140051954,0,0.0952825748319324,0,0,0,0,0,0,0.104501661960009,0,0,0,0,0,0,0.00207607072031051,0,0,0,0,0,0,0,0,0,0,0.321160906057242,0,0,-0.311154378598664,0,0.236220642636337,0,-0.0702023994229931,0,0,1.38777878078145e-17,0,0.0417554474408985,0,0,0.0957087899917028,0,0
X600048.CH.EQUITY,0,0,0,0,0.208409327945268,0.0024680031501553,0,0,-0.434715293464596,0,0,0,0.0835544476217979,0.208776621344421,0,0,0,0,0,0,0,0,0,0.00947627686660396,0,0,0,0,0.103810898479621,0,0,-0.0875355497394912,0,0,0.0991366133544212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,-0.0728216537578906,0,0.0621764544504136,0,0,0,0,0,0.0299858010055108,0,0,0,0.0165590671518992,0.134315763390325,0,0.033001114519979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291810339667829,0,0.133130836947039,0,0,-0.186346115636866,0,0,0.541756813888406,0,0,0,0,0,0,0,-0.0501000198799258
X12.HK.EQUITY,0,0,0.182394204359396,0,0,0,0,0.402412062903481,0,0,0,0,0,0,-0.240768085969457,0,0.32599889131586,0.0186804893245163,0,0.0356090902899451,0,0,0,0,0,0,0.0334366237970497,0,0,0,0,0,0,0,0,0,0.126484994579076,0,0.324853269860966,0,0,0,0,0,0,0,0,0,0,-0.0256896784827617,0
X601688.CH.EQUITY,0,0,0,-0.0175207657877786,0,0,0.0597986532691633,0,-0.179350972730021,0,0,0,0,0,0,0,0,0,-0.117422070033969,0,0,-0.590593894824702,0,0,0.771690377384197,-0.104927202583129,0,0,0,0.110743328720177,0,0,0.0286480088775503,0,0,0.181011077216938,0,0.144777120942285,0,0,0.181451371596188,0,0,0,0,0,0,0,-0.114745044207749,-0.0926146852480276,0
X002142.CH.EQUITY,0,0.220972712590152,0,0,0,0,0.148345875523509,0,0,0,0,0,0,0,0.348232178212163,0,0,0,0,0,0,-0.180543204453323,0,0,0,-0.0733334622291945,0,0,0,0,0,0.147819212448823,0,0,0,-0.0545540420811156,0,0,0,0,-0.0830297676294872,0.273364660238162,0.00277888421810247,0,0,0,0,-0.113375032632161,0,0,0.0527793395696471
X001979.CH.EQUITY,0,0,0,0,0,0,-0.0418108365006181,0,-0.148983167568684,0,0,0,0,0.386478531602908,0,0,0,0,0,0.0383482661020838,0,0.402236070495393,0,0,0,0,0.0113291173166174,0.0803024544783165,0,0.0532229121800595,0,0,0,0,0,0,0,0,0.202498750043996,0,0,0,0,0,0,0,0,0.0334735432140607,0,0,-0.0361890875575875
X823.HK.EQUITY,0.0472321096978211,0,0,0,0,0.0442032106718623,0,0,-0.0694023810549821,-0.0374053336027385,0,0,0,0,0,0,0,0,0,0,0.439440018328509,-0.294630344646527,0,0.0727928882751468,0,0,0,0,0,0,0.00678504304715106,0.215077370951816,0.0589574488450796,0,0.00782714629449346,0,0,0,0,0,-0.173772452469179,0.131718589133214,0,-0.0820807543315443,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0982209694984754,0,0.0654485339494505,0,0,0,0,0,0.0163542101271694,0,0,0,0,0,0,0,0,0.371961403292317,0,0,0,0,0,0,0,0,0.0707836645269086,0,0,0,0,0.107701933577514,0,0,0,0,0,0,0.00833285938531577,0,0.401452320265726,0,-0.10329974520523,0
X600837.CH.EQUITY,0,0,0,0,0,0.032785981459819,0,0,0,0,0,0.0607969576828222,0,0,0,0,0,0,0,0,0,0,0,0,0.024869767225347,0,0,0,0,0.0296213299328506,-0.0194969327632112,0,0.137786392416887,0,-0.0923268909140152,0,0,0.353713811740713,0,0,0,0,0,0,0.252740707807532,0,0,0,0.312861961269252,-0.241242372702072,0
X601229.CH.EQUITY,0,0,0.377633522876005,0.151261336729053,0,0,0,0,0,0,0,0,0,0,0,0.0648729560813626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023795718744842,0.0719665601353957,-0.0555883682201232,0,0,0,0,0,0.121119877608339,0,0,-0.126965741100223,0,0,0,0,0,0,0.0124914926461051,0.388053540412713,-0.0719023963843013,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0520372870312968,0,0,0,0,0.0449783281323067,0,0,0,0,0.0515621489569699,0,0.0853201652777434,0,0,-0.00496111024223856,0,0,0,0,0,0,0,0,0,0,0.156219968154574,0,0,-0.0297549832095715,0,-0.0176078938336661,0,0,0,0,0,0,0,0,0,0.37446063762718,0,0,0,4.33680868994202e-19
X601336.CH.EQUITY,0,0,0,-0.00304389199565033,0,0,0,-0.131175278985708,-0.145987721232373,0,0,0,0,0,0,0,0,0,-0.0490692646999988,0.427045658365225,0,0,0,0,0,0,0,0,0.0603441089509214,0,0.012965179866022,0,0,0,0,0,0,0,0,0,0,0,-0.053052700286115,0,0,0.461577509630858,0.104857198370855,0,0.112664414634261,0,0
X1997.HK.EQUITY,0.151182774325181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451404026195589,0,0.079941500347379,0,3.46944695195361e-18,0,0.0590305880295784,0,0,0.0306873977126891,0,0,0,0,0,0.0826738179449986,0.416431192227883,0,0,-0.228976101446967,0.0730943785806183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0358248812157574,0.271639286507171,0.261751821949589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802539931474445,0,0,0,0,0,0,0,0,0.134926421646491,0,0,-0.000250648759090902,0.296295074317804,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140433219330529,0,0,0,0,0,0,0,0,-0.0726844615060972,0.0772908486015428,0,0,0,0.137522832450042,0,0,0,0,0.0420221077883086,0,0,0.205961240569979,0,0.269662290762265,0,0,-0.0234643699354324,0.199782132327321,0.200793181737215,0.0238782321703821,0
X600015.CH.EQUITY,0,0,0.04325021506829,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0867385552146768,0,0.0535991552081353,0.118084668276601,0,0,0,0.260506569303533,0.0643289948593625,0,0,0,0,0,0,0,0,0.0458988556157269,0,0,0.160513259240808,0,0.0712814290321747,0,0,0,0,0,0,0
X2881.TT.EQUITY,0.181223013422336,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166503050780878,-0.0773100491441916,0,0,0,0,0.022566825298622,0,0,0,0,0,0,0,0,0,0,0.0716188882143155,0,-0.0506415064880705,0,0,0.131721568835618,0,0,0,0.542182749861964,0.347691612367906,0,0,-0.0297685573731794,0,0,0,0,0.160952154774079,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.126932418085723,0,0,0,0,0,0,-0.0445714916265123,0,0,0,0,0,0.352071372297467,0,0,0.163598853485702,-0.105565655161607,-0.157398639389038,0.0599286946355226,0,0,0,0,-0.0296101358077991,0,0,0.746944440375512,0,0,0,0,0,-0.0544034058734868,0.00209332424923921,0,0,0,0,0.0231946702416448,0
X300059.CH.EQUITY,0,0,0,0.0401771215893613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284648944293727,0,0,0,0,0.157145182909552,0,0,0,0.0394966669030062,0.00607978697495898,-0.0887133239325517,0,0,0.269604907824258,0.0429862296786333,-0.192162604882273,0.245792451014926,0,0,0.165344643184405,0,-0.153356610179496,0,0,0,0
X2891.TT.EQUITY,0,0,0.503505005551407,0,0,-0.175985134117557,0,0,0,0,0,0,0.184692319338412,0,0,0,0,0,0.0448330067977624,0,0,0,0,-0.106557038695995,0,0.182768838545368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761970701046937,0,0,0,0,0.268356075584846,0,0,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148955488757403,0,0,0,0,0.114360573485587,0,0,0,0,-0.172034539224455,-0.170946133945499,0,0,-0.37532025898195,0,0,-0.0795782740300107,0.214297357795796,0,0,0,0,-0.15648629894681,0,0,0,0,0,0,0,0,0,0,0
