,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X002736.CH.EQUITY,0,0,0,0,0,0,0,0.000913536162221132,0,0.175978710093845,0,0,-0.0518070710818069,0,0,0,0,0,0,0,0,0,-0.133976765519977,-0.0112161528025288,0.0634942398080343,0,0,0,0.157005035046974,0,0,0,0,0.199932522938505,0,0,0,0,0,0,0,0,0,0.090935977116533,0.238330331494363,0,0,0,-0.219083536927896,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512878600293282,0,0,0,0,0.166637608537574,0,0,0.299322454364021,-0.121812751194196,-0.130992601740151,0,0,-0.0478136202866849,0.0777424051120334,0,0,0,0,0,0.0755598693499757,0,0.0269280753428378,0,0,0,0,0.392963939949473,0,0,0,-0.0533092711544445,0,0,0.0933762123388,-0.0116371604575921
X2882.TT.EQUITY,0,0,0,0,0.0136845296936467,0.314939975041936,0,0,0,-0.0771513725409994,0,0,0,0,0,0,0.0607776326413713,0.0242485006743146,0,0,0.00767921428170316,0,0,0,0.0285686921427172,0,0,0,0,0,0,0,0,0,0,0,0,0.0429212923485657,0,0,0,0.0621929616877407,0,0,0,0,0,0.508865448291673,0,0,0.0260942175076322
X823.HK.EQUITY,0.131043398221312,0,0,0,0.0778503159806861,0.0371940565663784,-0.0623539572722239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200028757125458,0,0,0,0,0,0.14143889781325,0,0,0,0,0,-0.326312002617279,0,0.0892485393862763,0,0,0.0339197631837013,0,0,0,0,-1.73472347597681e-18,-0.0559420042520822,0,0,0,0,0.144492576159899,0.0793534799575565,0
X1113.HK.EQUITY,0.07226842281445,0,0,0,0.0460298768225285,0.0612808686844033,0,0,0,0.0206989145642357,0,0,0,0,0,0,0,0,0,0,0.0129638683284295,0,0,0.219192801501631,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0367125733101483,0.304320490656739,0.0938728575772238,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151064378548036,0,0,0,0,0,0.194600846188677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224141149822048,0.235707778568603,0,0.043636143292539,0,0,0,0,0,0,0,0.22119533916402,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0.13157199456757,0,0,0,0,0,0,0,0,0.312690499776953,0,0,0,0,0.0515997275634622,0,0,0,0,0,0,0,0,0,0.0579658622244019,0,0,0,0.0255777629559577,0,0,0,0,0,0.126972336931083,0,0,0,0,0.00935181596411819,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,-0.0169741592592969,0,0,0,0,0,0,0.0215727329794154,0,0,0,0.0317854272869429,0,0,0,0,0.0860165630878543,0.429179003649103,-0.14825813196289,0,0,0,0,0,0,0,0,0,0.0230619032526197,0,0,0.202521074293273,0,0,0,0,0.0998808885093703,0,0,0,0,0,0,0,0,-0.0432020172306679,0.0875039595423642,0,0
X601229.CH.EQUITY,0,0.117078222741232,0,0,0,0,0,0,0.141526232701789,1.73472347597681e-18,0.0831133146246329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250663021014339,0.501815175518026,0.362070404315414,0,0,0,0,-0.00197924233850718,0,0,0,0,0,0,-0.122070659587943,0,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0.146963325241741,0,0,0,0,0,0.0592743547314299,0,0,0,0,0,0,0,0,0,0.0300193546879762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14846621116574,0,0.28523792793689,0,0.0736608833063811,0.528246226869089,-0.0242225009719642,0,0,0,0,0,0,0,-0.072647988777269,0.0662784728441266
X1997.HK.EQUITY,0,0,0,0.0738549984765036,0,0,0,0,0,0.166204522699796,0.0655773156718209,0,0.197985634996368,0,0,0,0,0,0,0,0,0,-0.0705124804530076,-0.0520600125587114,0,0,0,0,0,0,0,0,0,0,0,0,-0.110298775150091,0,0,0,0,0.357987855799599,0,0,-0.530891473126171,0.38642151135658,0,0.0223857767153113,0,0,-0.0311455669930175
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336793922840534,0,0,0.394849668843771,0.219697600113237,0,0,0,0,0,0.0153635105704168,0,0,0,0,0,0,0,0,0,0.166307017649562,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,-0.0844399071339719,0.14401746477131,0,0,0,0,0,0,0.249000594505723,-0.0407291554616609,0,0,0,0.309082232966185,0,0,-0.0751424536901819,0.211226869404225,-0.19848732530777,0,0,-0.459196295784348,0,0,0,0,0,0,0,-0.386995815559995,-0.137330266565032,0,0,0,0,0.275881211264081,-0.163571923403778,0,0,0,0,0
