,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0.145858473947438,0,0,0,0.113057016892157,0.178655899445151,0,0.0954145430185649,0.0176494910222255,0,0,0,0,0,0.365552896481267,0,0,0,0,0.0263485174168136,0,0,0,0,0,0,0,-0.0322618978438778,0,0,0,-0.148162885365209,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,-0.150322020588071,-4.33680868994202e-19,0,0,0.234076221127185,0.0390700407087464,0.0951539415410939,0,0,0,0,-0.18988999365556,0.19282050492002,0,0,0,0,0,0,0,0,0,0.14531333571624,0,0,0,0,0.00740383709241323,-0.102033291051009,0,0,0,0.123187115843436,-0.175094812394671,0,0.167731626539573,0,0,0.0621764947698776,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0.00161359825016037,-0.0903694770889102,0,0,0.0593713771722832,0,0,0,0,0,0,0,0,0,0,0,0,0.0693460105731898,0.0305869722293361,0,0.00090705322575377,0,0,0,0,0,0,0.0229632010928675,0.290554019850245,0,0,0,0,0,0,0,0,0,0.548824604250785,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.173024193568731,0,0,0,-0.135955032049171,0.250212373266323,0,0.187037085309812,0.283707522239082,0,0,0.049774817853267,0,0,0,0,0,-0.205943491398523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462356485307261,0,0.000427987091955739,0,-0.0549768448775601,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.013044293361211,0,-0.42558878342121,-0.184816011574012,0,0,0,0,0,0.596666228053097,0,0,0,0,0.216236463444336,0,0,0,0,0,0,0,0,0,0,0,0.104318746923496,0,0,0,0,0,0,0,0.109383304159281,0.0140183581464087,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0.120278632587163,0,0.024828707798701,0,0,0.39688852649431,0,0,0,0,0,0,-0.0278143302917386,0.34982143687893,0,0,0,0,0,0.0155812670153091,0,0,0,0,0,0.00843038179073501,0.10896526135546,0,-0.0152858197556033,0.163703677685664,0,0,0,0,0,0,-0.0326395977454672,0,0,0,0.146062672600607,0,0,-0.0525545997005869,0,0,-0.0325950523264598
X002142.CH.EQUITY,0,6.93889390390723e-18,0,0,0,0.288526323142681,0.0526636850209605,0,0,0.0114257153810726,0,0,0.162610526749146,0.0331701294685326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00578644874399855,0,0,0,0,0,0,0,0,0,0,0,0,0.0309721125776984,0,0
X823.HK.EQUITY,0,0,-0.00497688824490794,0,0,0,0,-0.0913649289012328,0,0,0,0,0,0,0,0,0,0.174067714648885,0,-0.0596415967593462,0,0,0,0.294057015110919,0,0,0,0,0,0,0.270975524476188,0,0,0,0,0,0,0,0,0,-0.0130435139736452,0,-0.147969608426596,0,0,0,0.111390902097397,0.0967681991704609,0,0
X601066.CH.EQUITY,0,0,0.00555490409485858,0,0,0,0,0.0436467457944614,0,0.117766133234099,0,0,0,0,0,0,0,0,0,0,0.19341553494554,0,0,0,0.0466976180972507,-0.00150839688697629,0,0,-0.0144542274007043,0,-0.136470171751614,0,-0.20705271045369,0,0,0,0,0.188261513873211,0.056861348987758,0,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,-0.0723837063304236,0,0,0,0,0,0,0,0,0,0,0.145261659003238,0.159192532142778,0,-0.0401755399558162,0,0,0,0,0,0,0,0,0,-0.0888038086983788,0,0,0.0774571576512164,0.168658081739709,0,0.157831818460515,0,0,0,0,0,0,0,0.304802074108602,0,0.036887307941167,0,0,0,0.0123230033577766,0,0.161092826458971,0,0
X601688.CH.EQUITY,0,0,0,0,0.0831286608010977,0,0.0363867800622034,-0.25351174416986,0,0,0,0,0,0,0,0.00196475707435248,0,0,-0.0808372060596443,-0.422110408523266,0,0,0,0,0.985496322113438,0,0,0,0,0,0,0,0,0.118161284388621,0,0,0.0528898433503885,0,-6.93889390390723e-18,0,0.229131166556973,0,0,0,0,-0.0579316173912814,0,-0.0485702149918904,0.0199851547386839,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195111538319166,0,0,0,0.0905384469784914,0,0,0,0.439385974527005,0,0,0,0,-0.0780524992257663,0,0,0,0.0661494699520507,0,0,0,0,0,0,0.00912537548469272,0,0,0,0,0,0.37786538583485,0,0,0
