,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,1.54117163705513e-05,0,0,0,0,0.0403230518461152,0,0,0,0,0.0452893255942889,0,0,0,0.0611247166464607,0,0,0,-1.38777878078145e-17,0.278135649414618,0,0,0,0,0,0,0,0,0.676283768532711,0,0,0,0,-0.0593413489147105,0,0,-0.0734229988387501,-0.169088908796662,0,0,0,0.0676757026555909,0,0,0,0,0,0.185797426243324
X601211.CH.EQUITY,0,0.0867921882578206,0,0,0,0,0,0,0,0,0,0.0457444603427929,0,0,0,0,0,0,0,0.114080452655188,0,0.103175410880709,0.0567775935787787,0.183649140093281,0.423521610961209,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282275306473851,0,-0.0304008366606821,0.104775433098366,0,0,0.0114979318507804,0,0,0,0.054698660539982,0.0146387602333749
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137667007172756,0.0306942918751736,0,0,0,0.00281743467338882,0.127880646219342,0,0,0.283186814513082,0,0.268330416214489,0,0,0,0.0256866405863192,0,0,0,0,0.0107691900737631,0,0,0,0,0,0,0.0338560339752676,0.0387007450363831,0,0,0,0.0213036987149282,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.231425851418911,0.0277068776787255,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0379846702971447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526908213473494,0.232005712180883,0,0,0,0,0,0.117026145882291,0,0,0,0,0,0,0,0.238827363475127,0.0590953085599306,0
X601318.CH.EQUITY,0,0.0864982307462765,0,0,0,0.152632677581394,0,0,0.256824506184884,0,0.00355614085755265,0,0.0248047721662078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134604266556436,0,0,0,0,0,0.253992543508383,0,0,0,0,0.0602046574036521,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.267204336883927,0,0,0,0,0.0566375508055413,0,0,0,0,0.153918610329648,1.73472347597681e-18,0,0.636867357505975,0.125198585350515,0,0,-0.0608136652067529,0,0,0,0,-0.379863035382019,0,0,0,0,0,-0.13340569152118,0.0859624600204087,0.149614262810705,0,0.161122854640037,0,0,0,0.0070359865300646,0
X601336.CH.EQUITY,0.257638941601907,0,0,0,0,0.0560376216882572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581999248746165,0,0,0,0,0,0,0,0,0.149280882301995,0,0,0.400781839466027,0,0,0,0,0.183101402688354,0,-0.00920682645679571,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-2.71050543121376e-20,0,0.175430132336809,0,0,0,0,0,0,0,0,0,0,0,0,0.284039069673131,0,0,0,0.106446301749718,0.180312772235705,-0.0255610975197456,0.138619934245848,0,0,0,0.00657299160806604,0,0,0,0,0,0,0,0.0117109989363155,0,0,0,0,-0.0142777120561646,0
X601628.CH.EQUITY,0,0,0.1981391998517,0.172837512192247,0,0,0,0.0926483168868258,0,0,0,0,0.154923122299988,0,0,0,0,0.0251371137239209,0.0682323613040007,0,0,0,0,-0.0281641191326507,0,0,0,0,0,0.0388954808921178,0.0170263782577577,0.236402297549317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110519053809906,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101232166135333,0,0,0.324121784967912,0,0,0,0,0,0,0,-0.0650772838600032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859479028686118,0,0.238726316664761,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51062509735862,0,0.30808964604486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584432696054917,0,0,0,0,0,0.161554193506415,0,-0.267374006438359,0,0,0,0.158055643019031,-0.0523769534992207,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292029780287287,0,0,0,0,0,0,0,0.0835784826723804,0,0,0,0,0,0,0,0.668251586188685,0,0.201864477974332,0,0,0,0,0.0888148440952615,0,0,0.0448591324349142,0
X001979.CH.EQUITY,0.0167285992763336,0,0,0,0,1.38777878078145e-17,0,0,0,0.129789760547879,0,0,0.140859683939988,0,0,0,0,-0.0454490401848884,0,0,0,0,0,0.0844858665505957,0,0,0,0,0.0670784318963455,0,0,0,0,0,0,0,0.37091090319467,0,0,0.00430123776486551,0,0.050665091409158,0.0679132992520106,0,0,0,0,0,0.0247211932947952,0
