,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465121381518723,0,0,0.0310198950510446,0,0,0,0,0,0,0,0,0,0.662098090133347,0,0,0,0.0817486786599858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197925432381036,-0.0859813386066863
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.120401761321778,0,0,0,0,0,0,0,0,0,-0.123385924647909,0,0,0.061645424277948,0,0,0,0,0,0,0,0,0,-0.011403744132064,0,0,0,0,0.248129491163995,0,0.319590926155185,0,0,0,0.374593093019566,0,-0.00332328432070614,0,0,0,0,0,0,-0.0973675596014374
X600837.CH.EQUITY,0,0,0,0,0.0818195050153681,0,0,0,0,0,0.0911210869940998,0,0,0,0,0,0,-0.00219087997370488,0,0,0.00707800267190828,0,0,0,0.0186699929633135,0,0,-0.0122798221360024,0,0,0,0.128889788114624,0,-0.00794450059851753,0,0,0.854588228003211,0,0,-2.71050543121376e-20,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0176199605522756,0,0,0,0,0,0,0,0.102270435659329,-0.0489959421604082,0,0,0,0.164936584577473,0,0,0,0,-0.0117501934287229,0,-0.0232936205393161,0,0,0,-0.0276304374758158,0,-0.0918070992023561,0,0.00597220661340185,0.340084466320058,0,0.513433900803591,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0264075762554381,0,0,-0.0497855613839784,0,0,0.0642088774466772,0,0,0,0,0,0,0,0,-0.0274454366736617,0,0,0,0,0,0,0,0,0,0.490193781784761,0.0412964521651473,0.389494824954323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918239620480279
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917354705782604,0,0,0,0,-0.0240382547921532,0,-0.0416328299975317,0,0,0,0.165566358022125,0,0.449076927433264,0.0390009970338775,0.122773882782128,0,0,0,0,0,0,0,0,0,-0.0473906804863547,0,0.0785732675418487,0.0856448939299981,0,0,0,0
X601318.CH.EQUITY,0.22911341199507,0.13555289503396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209375330517552,0,0,0,0,0,0,0,0,0,0,0.123111163929121,0,-0.0554389188712738,0.0711512883706892,0,0,0,0,0,0,0,0,0.229652643536272,0.33020871740402,0,0.0624958202076532,-0.218965034719152,-0.0318531613368735,0,0.127493371993676
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0803351388976961,0,0.219151099228795,3.46944695195361e-18,0,0,0,0.387694637562328,0,0,0,0,0,0,0,0.308415100606608,0.0123892815485506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037497911616922,0,0,0,-0.0415454816736281,0,0,0,0
X601336.CH.EQUITY,0,0.027324144346163,0,0.420754238962652,0,0,0,0,0,0,0,0.227172397068021,0,0,0,0,0,0,0,0,0.0303670114841921,0,0.0868791043005691,0,0.0535832760861749,0,0,0,0,0,-0.0267269356534684,0,-0.0231301000693837,0,0.0958827944846291,0,0,0,0,0,0,0,0,0,0.044208873345042,0,0,0,0,0,0.127337591872567
X601601.CH.EQUITY,0,0.103614871238919,0,0,0.152768574054758,0.0424284870971502,0,0,0,0,0.0085605068119085,0,-0.0481278851864984,0,0,0,0,0,0,0,0,0.0430542637608535,0.0980238129627763,0,0,0,0,0,0,0,0,0.0383635894841039,0,0,0,0,0,0,0,0.0617780251063731,0.405138746995812,0,0,0.0537323893453534,0,0,-0.0749030040138434,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.0600947410518423,0,0,0,0,0,0,0,0,0,0,0.421693931600287,0,0,0,0,0,0,0,-0.130706694994987,-0.26047118410922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367987687362334,0,0,-0.0332110855417108,0,0.0102018137234542,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0261060217963145,0.0855515663367374,0,0,0.0386165339959514,0,-0.149933203381542,0,-0.163428716726278,0,0,0,0,0,0,0,0,0.175800897052644,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.104382677810976,0,0,0.0866424461127063,0,0,0,0.40464424325484,0,0.105157977687527,0.137714075948124,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0.0133563981669045,0,0,0,0,0,0,0,-0.00521902363011629,0,0,-0.067029943073467,0,0,0,-0.119674072030021,0,0,0,0,0,0,-0.133032796265916,0,0,-0.0473652763019614,0.117574845858169,0,0,0,0,0.204074875784017,0,0,0,0,0,0,0.316520508966129,0,0,0,0,0,0.059212329135981,0,0.244316127899837,0.153106898058013,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.077096628749676,0,0,-0.179221705167609,0,0,0,0.0738848611866223,0.0650137485959974,-0.343502563558515,0,0,0,0,0,0,0,0,0.061070855982575,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511759262319543,0.300490991921306,-0.0405507121306666,0,0,0,0.0676112603577974,0.391369121476145,0,0.649713702496374,0,0,0
X2883.TT.EQUITY,0,0,0,0,0.127096494407037,0,0,-0.0253673301963933,0,0,0,0,0,0,0,0,0,0,-0.0316000861919042,0,0,0,0,0.130012154613173,0,0,-0.12412204736503,0,0,0.0957112955024914,0,-0.0376246987055556,0.178164632217812,0,0,0,0,0,0,0,-0.0885864154668511,0,0,0,0,0,0.347711431664685,0,0.556049178060115,0,3.46944695195361e-18
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125965628421634,0,0,0,0,0,0,0.00622925177849596,0,0.0971777289108039,0,0.0898322713866208,0,0.117088197688288,0,0.0697337897397369,0,0,0.0633301488324523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368377556914476,0,0.16025148594817,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.266490460795747,0.0755935383294101,0.149869077925789,0,0,0,0,1.73472347597681e-18,0.174510887546304,0,0,0,0,0,-0.0123796563437643,0.444865267293517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315932114758606,0,0,0,0,0,0,0,0
macro_return_add,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0536601950639479,0,0.083097524279486,0,0,0,0,-0.0307782133481195,0,0,0,0,0.163716207694783,0.290092682051395,0.279179828329964,0,0,0,0,0,0,-0.0916902319064945,0,-0.349162043728812,0,0,0,0.311927290892489,0,0.0347939986225992,-0.0998440027893252,0,0,0.264373425936129,0,0,0,-0.322097556105364,0
