,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X001979.CH.EQUITY,0,-0.247307887501874,0.659930087081468,0,0,0,0,0,0.0336318545117706,0,0,0,0.037819119486439,0,0,0,0.161776996180066,0,-0.0089333241169687,0,0,0.0319010205033086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146995978012684,0,0.255903597141295,0,-0.0295861618494313,0,-0.109422337691932,0,-0.140909254981445,0,0,0
X600048.CH.EQUITY,0,0.0177468975643707,0,0,0,0,0,-6.93889390390723e-18,0.0431212832674407,0,0,0,4.33680868994202e-19,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0891116751423852,0,0.660584372364994,0,0,0,0,0,0.0957555082429171,0,0,0,0,0
X1109.HK.EQUITY,0,0.118103269019333,0,0,0.386791963044888,0,0,0,0,0,0,0,0.0433293542961829,0,0,0,0,0.192178386911421,-0.0950886966098826,0,0,0,-0.11556075480113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805521599685123,0,0,0,0,-0.00778018341691158,0,0.319913911604796,0,0,0,0.109038392551439,0,0,0
X1113.HK.EQUITY,0,-0.00960846145547876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328333180888439,0,0,0,0,0,0,0,0,0,0,0,0,0.053643133589072,0,0,0,0,0,0,0,0,0,0,0,0,0.292063435765761,0,0,0,0.0621678229447132,0,0,0.247063091022551,-0.0785554327424311
X12.HK.EQUITY,0,0,0,0.00352589013377026,-0.00324606774417127,0,-0.0965785884950668,0,0,-0.169044477316378,0,-0.0260726682066549,0,0,0.503795087446918,0.0228595063931578,0,0,0,-0.157244721130493,0,0,0,0,0,0,0,0,0,-0.0170616251148451,0,0,0,0,0,0,0.351137394732991,0,0,0,0,0,0,0,0,0.616953728615167,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13960908840005,0,0.314157396743989,-0.131911358814717,0,0,0,0,0,0,0,8.67361737988404e-19,0.0339975374678084,0,0,0,0,0,0,0,0,0.0547400989639381,0,0,0,0,0.093873787279669,0,0.159227331580129,0,0,0,0,0.0792198323592004,0.229345833607079,-0.0402155753869156
X2007.HK.EQUITY,0,0,0,0.0210414414289443,0.103947778415104,0,0.01894546695516,0,0,0.0551341969500655,0,0,0,0,0,0,-6.93889390390723e-18,0.0474909103362049,0.0095825791461353,0,0,0,0.0955413603734247,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.320237807532312,0,0,0,0,0,0.142533138356046,0,0,0,0,0,0,0.134659293359459,0
X267.HK.EQUITY,0,0.0350957374879096,0,0,0,0,0,0,0,0,0.117736963634646,0,0,0,0,0,3.46944695195361e-18,0.188930364011014,0.276803972961603,0,0,0,0,0,0,0.0526332543530962,0.0172291526728007,0,0,0.0353728725913895,0.143741507482885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585566865645031,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.15280874756757,0,0,0,0,0,0,-0.134497497882098,0,0.251753212274711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181450471163004,0,0.0507715633284986,0,0.0694887780832785,0,0,0.0451281524446085,0,0,0.615826005836437,0,0,0
X823.HK.EQUITY,0,-0.0176570277080281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431406393017872,0,0.391941040064668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205186098602162,0,0.085061692842631,0,0,0,0,0
macro_return_add,0,-0.0651247049671976,-0.116953002448577,0,0,0,0.210520466377252,0,0,0,0,0,0,0,0,0.144747585925501,0,0,0.234077488829912,0,0,0,0,0,0,0,0,0,0,0,-0.0975825360855574,0,0,0.0721390245182201,0,0,0,0,0,0,0,0,0,-0.28739006059221,0,0,0,0,0,0.231510256641619,0
