,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601818.CH.EQUITY,0,0.153973108366531,0,0,0,0.301289422873654,0.0355680918066923,0,0,-0.047897413604001,0,0,-0.062071225614942,0.277398293888513,0,0,-0.118199436034439,0,0,0,0,0,0,0,-0.0643600661244506,0,0,0,-0.0434237304416964,-0.0123364253251354,0.3689759059971,0,0,0,0,-0.0337476087952047,0,0.121077540920288,0,0,0,0,0,0,0,0,0.21192905876751,-0.0656525014956425,0,0.0255039836790847,0
X601939.CH.EQUITY,0,0,0,0.0249862111159187,0,0,0,0,0,0.410029833417886,0.0907264179102893,0,0.396735098555073,0,0,0,0,0,0,0,0,-0.0979548000491998,0,0,0,0,0,0,0,0,0.271116987924441,0,0,0,0,0,0,0,0,0,0,-0.0130122412233342,0,0,0,0,0,0,0.0160848284646964,0,0.157054563551226
X601988.CH.EQUITY,0.167729555456851,0,0,0,3.46944695195361e-18,0,0,0.522329342423479,0.0580515064101777,0,0,0.0527119775477011,0,0,0,0.107261311295452,0,0,0,0,0,0,0,0.0600054062925525,0,0.0728450056090311,0,0,0,0.0529843068305113,0,0,0,0,0,0,0,0,0,0,0,0.0473489980288369,0,0,0,0,0.0305404273672486,0,0,0,0
X601998.CH.EQUITY,0,0,0.206370751497193,0,-1.38777878078145e-17,-0.146684689163062,0,0.35350454552312,0,0,0.373542458069258,0,0.0659456366982384,0,0,0,0,0,0,0,0,0,0,0,0,0.0491350724215113,0,0,0,0,0,0,0,0,0,0.269915196639189,0.0804024922538316,0,0.0652169623466659,-0.15046881966552,0,0,0,-0.0881232277575705,0,0,0.0782476969126719,0,0,0,0
X601658.CH.Equity,0,0,0,0,-0.281774366038659,0.294042829777804,0,0.257134308249029,0.332937659415997,0,0.0475695373769203,0,0.24083336243496,0,0,0,0,0,0,0,0,0.248120786813736,0,0,-0.390341074031235,0,0,0,0,0,0,0,0,0,0.021216686800027,0,0,0,0,-0.0191160645376927,0,0,0,0,0,0,0,0.0938881203703486,0,0,0.0307942606378378
X11.HK.EQUITY,0,-0.0356251212813167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694736457515586,0.813570476213164,0,0,0,0,0,0,0,0,0,0,0,0.0444286275970168,0,0,0,0,0.0563193237836539,0,0,0,0,0,0,0.111122222981104,0,0,0,-0.0672725199531888,0.020197736328351,0.0864390167471756,0.0562659296136688,0,-0.0509704697635557
X2388.HK.EQUITY,0,0,0,0,0.223665595691732,0,0,0,0,0,0,0,0,0,0,0.275584039952336,0,0.179117693180876,0,0,0,0,0,0,-0.0499884809300924,0,0,0,-0.192441657968543,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0269768136628144,0,0.0288909131078804,0,0.0785275473806287,0.0883451494109772,0,0,0,0,0.0179994994349282,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0682795761750996,0,0,0,0.0654473622969826,0.111301664492177,0,0,0,0,-0.0986500736571089,0,0,0,0,0,0,0,-0.106554079061826,0.169324085981704,0,-0.0476616665230467,0,0,0,0.168348920992527,0,0,0,0,0,0.261040518892961,0.0364933322938214,0,0,0,0,0.0778343939787784,0,0.0963661498394982
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550860012987812,0.149001693157219,0.20964382502113,0.440504792795181,0,0,0.0542711184872141,0,0.109756852005956,0,0,0,0.0710393914226104,0,0,0,0,0,0.11656963686465,0,0,0,0,-0.0462984152794655,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0433717451570027,0,0,0,0,0,0,0.040980263005013,0,0.0522460919963153,0.425735073236355,0,0,0,0.0613695366138737,0.273741610827856,0,0,0.0803313956921303,0,0,0,0,0,0,-0.0376391187685184,-0.0343940661596699,0,0,0,-0.0131081903998697,0,0,0,0.0213211695790317,0,0,0,-0.0562223701072319,0
