,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601066.CH.EQUITY,0.00454553137688494,0,0,0,0.041032869913524,0,0.014819351795127,0,0.00689084013315001,0,0,0,0,0.0771967917441095,0,0,0,-0.232973973554499,0,0,0,0,0.381416215554427,0,0,0,0.0450588092692184,0,0,0,0,0,0.0603273756274532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255940294874427,0
X601211.CH.EQUITY,0,0,0,0,0,0.12843794683484,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791312519695716,0,0.553938847818213,0,0.295802277801282,0.076308089964549,0,0,0,0,0,0,0,0,0,0,0.0363804208978123,0,0,-0.0293794910705836,0,0,0,0,0,0,0,0,0,0,-0.0451418008830256
X601688.CH.EQUITY,0,0,0,0,0,0.0230362248883014,0,0,-0.0138156595427197,0,0,0,0,0,0,-0.466501567597744,0,0,0.0487773532563176,-0.0463921094590786,0,0.952989427690557,0,0,0.0225779520488376,0.08342463488531,0,-0.0350182811619499,0,0,0,0.0275797811753394,-0.232097506614709,0,-0.052508204558478,0.147127730882993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.148547891796097,0,0,0,0.0643978942102289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368306598354813,0,-0.0670960861275107,0,0,0,0,-0.0610733978155975,0,0,0,0.133130612314716,0,0,-0.0167859713773666,0,0,0,0,0.161003843172226,0.103564693862791,0,0.346749623114792,0,0,0,0,0.0953950369618467
X601318.CH.EQUITY,0,0,0.248018891201012,0,0,0.0680805902110579,0,0.139019403901126,-0.260020349843748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335596202639765,0,0.192803310631753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804662616996426,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0768460136388667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242758272997794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238072707381183,0,0,0,0,0,0,0,0,0,0,0,-0.152437856095712
X601336.CH.EQUITY,0,0.223435683945876,0,0.270814890077926,0,0.00794763810071084,0,0,0,0,0,-0.0631181092608324,0,0,0,0,0,0,0,0,0.292787063916393,0.0698723627493112,0,0,0,0,0,0,0,0,0,0,0,-0.0613484970073972,0.147630124074382,0.126817732979461,0,0.210645827684401,0.232879453569807,0,0,0,0,0,0,0,0,0.0229076424758429,0,0.0255563742059463
X601601.CH.EQUITY,0,0,0,0,0.117748600379355,0,0.184030746159219,0,0.167770920997018,0,0,0,0,0,-0.205096318585575,0,0,0,0,0,0,0,0,0,0,0,0,0.287847260062297,0.0226537298744547,0,0,0,0.227661817892781,0,0,0,0,0,0,0,0,0,0,0.0336332107601299,0,0,0.125350834294882,0,0,0
X601628.CH.EQUITY,-0.0380169591977137,0,0,0,0,0,0.0145377043948328,0,0,0,0,0.155565567165938,0,0,0,0,-0.206320319021137,0,0,-0.109678205466294,0,0,0,0,0.170369543826399,0,0,0,0.252250612373934,0,0,0,0,0,0.293443204404288,0,0,0,-0.0196335505560229,0,0,0,0,0.031124136983529,0,0,0,0.0600289683150577,0,-0.0325839695681308
X1299.HK.EQUITY,-0.124602263910046,0,-0.033566682814942,0,0,0.188711441294438,0,0,0,0,0,0,0,0,0,0,0.233530671120832,0.0490493506945827,0,0,0,0,0,0,0,0,0,0.394517952583766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248675359753413,0.125939350697054,0,0,-0.0750669213498628
X2881.TT.EQUITY,-0.148049395627822,0,0,0,0,0,0,0,-0.120263122508139,0,0,0,0.152719811516335,0,-0.010778889260137,0,0.148662604745089,0,0,0.06181143994896,0,0,0,0,0,0,0,0,0,0,0.237938377603912,-0.175465588734735,-0.0318548491231994,0,0,0.690436958566606,0,0,0,0,0.115247732246071,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0217845015812139,0,-0.0530936257958303,0,0,0,0,0,0,0,0,0,0.0517500083592786,0,0,0,0.0377724181894993,0,0,0,0,-6.93889390390723e-18,0,0,0,0.310023081018298,0,0.144906593380265,0,0,0,0,0,0,0,0,0,0.0366538105433815,0,0,-0.0778383826132435
X000002.CH.EQUITY,0,0.110330880920624,0,0,0,0,0,0,0.0518780043569811,0,0,-0.121189849948658,0,0,-0.172773751153592,0.202213160554256,0,0,0.0796110979059881,0.273189619300497,0.0950166373168398,0,0,0,0.238676126706005,0,0,0,0,0,0.0559590923208326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130691952947303,0,-0.16134202553508,0.211188531057094
X001979.CH.EQUITY,0.265523805938252,0,0,0.108423939221625,0,0,0,0,0,0,0,0,0,0,0.0854654200814819,0,0,0,0,0.0675561870699107,0,0,0,0,0.0584542814642784,0,0,0,0,0.13064821090576,0.0379406608099066,0,0,0,0.122628283706467,0,0,0,0.410837304824004,-0.116260934595416,0,0.159458157978469,0,0,0,0,0,0,0,0.163006481296826
X600048.CH.EQUITY,-0.122410397682368,0.0738209922231295,0.061365399441466,0,0,0,0,0,-0.182893393713858,0,0,0,0,0,0.0455017447987328,0,0,0,0.274587391052568,0,0,0,0,0,0,0,0,0,0,0,0.0548036498405339,0,-0.398634334192403,3.46944695195361e-18,0.00543586569650055,0,0.207973613753252,0.446396968258567,0,0,0,0,0,0,0,0,0,0,0,-0.00355435054260279
X1109.HK.EQUITY,0.00275929830265623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0302879670908313,-0.0222240476487805,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.133585482525943,0.132748673162249,0,0.122422928396942,0,0,0.179070275139973,0,0,0,0,0,0,0,0,0.0919882189135265,0,0.437825120157,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0.105136075088592,0,0,0,0,0,-0.261087297563129,0.0277039511288586,0,0,0.105476036225847,0,0,-0.140245219942624,0,0,0,0,0,0,0,0,0,-0.103969884436852,0,0,0,0,0.0550116294222435,0,0.222317936317863,0,0,0,0,0.0560307638307567,0.237129985831637,-6.93889390390723e-18,0,0,0.102313790802728,0,0.136045296927261,0
X12.HK.EQUITY,0,-0.0391684901050069,0,0,0,0,0,0,0,0.14390428806052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836360909272815,0,0,0.302645524434043,0,0,0,0,0.102877139729863,0,0.130436631561538,0,0.307461466820747,0.0268979109598891,0,0,0,0.0927784509620873,0.255350381764481,0
X16.HK.EQUITY,0,-0.0376225995948905,0,0,0,0,0,0,0,0.110920471336604,0,0,0,0,0,0,0,0.462831944322766,0,0,0,0,0,0,0,0,0,0.0846573181941356,0,0,0,0,0,0.0336158336751002,0,0,0,0,0.0387520829454081,0,-1.73472347597681e-18,0,0,0.266151011053156,0.163306840855238,0.10653993956464,0,0,0,0
X17.HK.EQUITY,0,0,0,0,0,0,0,-0.0146587119898866,0,0,0,0,0,0,0,-0.0374408131881348,0,0,0.132868900930854,-0.0707829142717528,0,0,0,-0.11223373451027,0,0,0.0290505277952224,0,0,0,0,0,0,0,0,0,0,0,0.110649852561552,0,0.0732100901695249,0,0.161638192298797,0,0.401233137007938,0,0.247195228123804,0,0,-0.00791172632905103
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429334183088457,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033918358239345,0,0,0,0,0,-0.136643749798919,0,0,0,0.183506651517692,0.118087269399876,0.123795821714419,0,0,0.122217091208645,0,0.24086704975561,0.092929336764155
X2007.HK.EQUITY,-0.0242639087936675,-0.0532209182699121,-0.0739391733538241,0,0,-0.0356442151674201,0,0,0,0.000356590674259825,0,0,0,0,0.30037868966891,0,0,0,0,-0.0439019846454765,0.0358009376672974,0,0,0,0.286782942484636,0,0,0,-0.107557716958643,0,0,0,0,0,0,0,0,0,0,0.0659861643522735,0,0,0.0539229203404977,0,0.492676167341233,0,0,0,0,0
X267.HK.EQUITY,0,0.10220497544886,0,0,0,0,0,0,0,0,0,0,0,0,0.12605086111621,0,0.385610491775867,0,0,0.0664527043173346,0,0,0,0,-0.00406102088352388,0,0,0,-3.46944695195361e-18,0,0,0,0.0824388790203705,0.163193079466532,0.0107795713374098,0,-0.0509631723570018,0,0,0,0,0,0,0.147367252387885,6.93889390390723e-18,0,0,0.0891411875362921,0,-0.094692271303292
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125707130020981,0.215760938027266,0,0.052010415707108,0,0,0.0969264132157428,0,0,0,0,0,0,0.526154340868356,0,0,0.0945576343278336,0,0,0,-0.240154536663183,0,0.150311762237452,0,0,0,0,0,0,0,0,0.0653731620609723,0,0,-0.0853859874778272,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158366712188761,0.390335621849843,0.00902019353839634,0,0.0569986102121418,0,0,0,0,0,0,0,0,0.0621454841925419,0,0,0,-0.0413813639654892,0,0,0,0,0,0,0,0,0,0,0.409155063303755,0.0170986702225232,-0.0862832405093339,0,0,0,0
macro_return_add,0,3.46944695195361e-18,0,0,0,0,0,0,-0.136946000377219,0,0,0.0405175565539225,0,0,0,0,0,0,0,8.67361737988404e-19,0.034884743305624,0,0,0,0,0,0,0,0,-0.0813602663121457,0.0306805121777353,-0.00828682920072217,0,0,0,0,0,0,0.109284177256884,0,0,0,0,0,0,0,0,0,0.00844018591162488,0
