,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601336.CH.EQUITY,0,0,0.218505117771807,0,0.167496289856306,0,0,0,0,0,0.0432874957743551,0,0,0,0,0,0,0,0,0,0,0,0.222007297827779,0,0,0,0,0,0.0509144535879306,0,0,0.0193009636105332,0.0149209746731919,0,0.14986099769848,0.00866859546756349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.0254331094121666,0,0,0.312248673715847,0,0,0,0.0864793666943735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303859402067331,0,0,0.130870540994239,0,0.034216827567591,0,0,0,0.000644103439878799,0,0,0,0.0126330042671094,0,0,0,0
X601628.CH.EQUITY,0,0.00340925121457894,0,0,0,0,0,0,0,0.145961039990691,0,0,0.251504478607408,0.262605382666987,0,0,-0.00772057422804394,0,0,0,0,0,0,0,0,0,0.0648896928809031,0,0,0,0,0,0,0,0.0677907585704347,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.036396155218255,0,0,0.0247619863284406,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552068517542396,0.0966971307908479,0.0356976167461069,0,0,0,0,0,0,0,0,0,0,0.0258222739954516,0,0,0,0,0,0,0.3698693872443,0,0,0,0,0.107512878713727,0.0541834202887219,0,0,0,0,0.168477537616198,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375255705214828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176256796773124,0.241708324828627,0,0,0,0,0,0.119101531776712,0,0,0,0,0,0.109326193291941,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.138874864811404,0,0,0,0,0,0,0,0,0.237724172736163,0.0957896679401768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344674939528829,0,0,0.134051533641289,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0570886153671883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599855791368674,0.0147826988731884,0,0,0,0.12374434643118,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.141304365942746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196027691090468,0,0,0,-3.46944695195361e-18,0.126437831163001,-0.129721383283001,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0351581898963993,0,0.316701481804593,0,0,0,0,0.143408160800114,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0.243392656673354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.169268121870694,0.294569328042318,0,0,0,0,0,0,0,0.0786057433685932,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238587259470165,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.0959270203475461,0.224682806552643,0,0,0,0,0,0,0.120157689462077,0,0,0,0,0,0,0,0,0,0,0,0.523396085786202,0.0315880544806002,0.176776236808667,0,3.3881317890172e-21
X1113.HK.EQUITY,0,0,0,0,0,0.0878110347996126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888089067913297,0,0,0,0,0,0,-0.0647647250540603,0,0,0.103817172639,0,0,0,0,0,0,0,0.116437518928813,0.151711324284169,0.0422536081693403,0,0,0,0,0.207143301413692,0.281315853036667,0,0,0,0,-0.0143543048242238
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306155009038107,0.0433154684784127,0,0,0,-0.00845210160628387,0,0,0,0,0,0,0.0813733956844818,0,0,0,0,0,0,0,0.0175036183979422,0,0,0,0,0.556803518381141,0,0.170868891894449,0.138855709899713,0,0,0,0.0502448307157829
X16.HK.EQUITY,0,-0.0807812311808523,0,0,0,0,0,0,0,0,0,0,-0.0314811466807781,0,0,0,-0.0234814034114883,0,0,0,0,0,0,0,0,0,0.0448249977163945,0,0,0,0,0,0,0.0675421814356449,0.0777889234668643,0.0745817769207217,0,0,0,0,0,0,0,0.712391158525024,0.0168049582788554,0,0,0,0,0.090163357278143,0.0644028973778713
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.132282069338549,0,0.0162172355748331,0,0,0,0.084363140725846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158530643099582,0,0.1751383718112,0.221397909562995,0,0,0,0.0800663236821759,0.111877853114838,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237697013299372,0.069954067618221,0,0,0,0,0,0,0,0,0.0294220739258071,0,0,0,0,0,0,0,0,0,0.312442706268996,0,0,0,0,0.0416484152171788,0.09952424018303,0,0.0587149746730084,0.26258858793833,0,0.0585464623148642,0.0477556983716074,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161648394739268,0.0548375162715925,0,0.159952265467009,0.0843176822660851,0,0,0.536188053001693,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,-0.097478654920091,0,0.0409259071319868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0656498281492278,0.15472580603311,0,0,0,0,0,0,0,0.213521756654505,0,0,0,0,-0.0511687751977224,0,0,0,-0.0122187359427772,-0.0745500712095179,0,0,0,0,0.475911930532361,0,0.127761623741378,0,0,-0.0556115422603293
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663329755830983,0,0,-0.0409458015389371,0,0,0,0,0,0,0,0,0,0,0.0566699887748511,0,0,0,0,0,0,0,-0.0682525085076149,0
