,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362564342737719,0,0,0,0,0,0.0879480035699797,0.415254669874259,0,0,0,0,0,0,0.378868775720001,-0.0068310827455583,0,0.0752816146097387,0,0,0,0,0,0,0,0.0622654070832017,0,-0.109717049513812,0,0,0,0,0,0,0,0.0157186403077667
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532239635232445,0,0,0,0.03455451092085,0,0.00843581785371557,0.238696356963897,0.204441940586041,0,0.192881605439847,0,0,0.0577375881670067,0,0.156570548417585,0.0353263194941469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011347283407165,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194781761203887,0,0,0,0,0,0,0.179737755174218,0,0.542186227543849,0,0,0,0.209470998870922,0,0,0,0,0,-0.273834243786163,0,0,0.106643468894206,0,-0.077883569183696,0,0,0,0,0.147327124135443,0,0,0,0,0.0592773610984923
X601211.CH.EQUITY,0,0,0.0219289020509666,0,0,0,0,0.0744817053438402,0,0,0,0,0,0,0,0,0,0.0407499938099708,0,-0.0340502736681563,0,0.119242305951965,0.354141307433198,0,0.158261215549798,0.15894544345265,0.11982038131266,0,0,0,0,0,0,0,0,0,-0.03583614316633,0,0,0,0.0400238468333416,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.064787466138345,0,0,0,0.173177634928674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277368230850666,0.100662461985037,0,0.186534830372955,0.130228513951345,0,-2.77555756156289e-17,0,0,0,0,0,0.00795201826179869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0.0314464484401,0,0,0,0,0.00556467112233044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179798593424365,0.0363938779594224,0,0.0154812872404748,0,0.221441602619316,0,0,0,0,0.465630492146608,0,0,0,0,0,0,0,0,0,0.00854434427599214,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.248020962683729,-2.77555756156289e-17,0,0.0167519824420949,0,0.10041342991591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386399595933052,0,0,0,0,0,0.0129363331689485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.106477265091837,0,0,0,0,0,0.0763871404267888,0,0.235528979430105,0,0,0,0,0,0,0,0,0,0,0.028088428638323,0,0,0,0,0,0,0.270054688520684,0,0,0,0,0,0.168954353695508,0,0,0,0,0,0.0224272321502419,0,0,0,0,0,0,0.0231082629818531,0,0,0
X601336.CH.EQUITY,0.146737410308035,0.0489124291305987,0,0,-1.73472347597681e-18,0.115352538532995,0.00169809751551016,0,0,0,0,0,0.0453202878542949,0,0,0,0,0,0,0,0,0,0,0,0,0.201608421073048,0.16368363377963,0,0,0,0,0.084965342926788,0,0,0.150209583767571,0,0,0,0,0,0,0.0257754064865662,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0.0615769399137476,0,0,0,0,0,0.0258680998936864,0,0,0,0,0,0,0,0,0,0,0,0.0491754752666595,0,0,0,0,0,0,0,0.113079414948307,0.374562960117885,0,0,0.104819486898085,0.0803420407608621,0.105046989003698,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.215838266577213,0,-6.93889390390723e-18,6.93889390390723e-18,0,0,0.328381695793702,0,0,0,0,0,0,0,0,0.177084892541669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178495740005548,0,0.0462474465877819,0,0,0,0,0,0.0468323447996083,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0882465693442916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234709668707894,0,0,0,0,0,0,0,0,0,0,0.225271300773585,0,0,0,0,0.0135822371583286,0.0313440287219119,0.188424148576664,0,0.176944690228492,0,0.142079742964635,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392004644314288,0,0,0.423213147496882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866912005000743,0,-3.46944695195361e-18,0,0.420790313772538,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0994108775183866
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305287784682029,0,0,0,0,0,0,0,0,0,0,0,0.0650337005330951,0,0,0.161612411769928,0,0.675529188770806,0,0.162440209756097,0,0,-0.118093471654465,0,0,0,0,0,0,0.0123293443058578,0.039715428991608
X000002.CH.EQUITY,0,0.030441788238862,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.110333704090071,0,0,0,0,0,0,0,0,0,0.442413273187609,0,0.225756872105149,0.136575006893181,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150749719047395,0,0,0.0553552976626863,0,0,0,0,0,-0.0752386889241716,0.331132682821888,0,0,0,0,0,0,0,0,0,0,0.0182969208349867,0,0.222809825940776,0,0,0,0,0.0436633511109643,0,0,0.104546889265874,0
X600048.CH.EQUITY,0.237346555026088,0,0,0,0,0.200670463125051,0,0,0,0,0,0,0.00725525925230264,0,0,0,-0.0213941392222895,0.0218958973419309,0,0,0,0,0,0,0,0,0,0,0,-0.0506405567479037,0,0,0,0,0,0,0,0,0,0.46741450429314,0.132973822194687,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,-0.152350775088679,0,0,0,0,0,0,0,0,0,0,0,-0.000968164826306094,0,0,0,0,0,0,0,0,0,0,0,0,0.0658189773858699,0,0,0,0,0.112461561628401,0,0.0687700712350905,0.125936650926566,0,0,0,0.285591807283792,0,0,0.30771446726141,0.158576651637026,0,0.0988125186123839
X1113.HK.EQUITY,0,0,0,0.0947529290083686,0,0,0,0,0,0,0,0,0,0,0,0,0.047164475720596,0,0.0200381016618861,0,0.0111202817821637,0,0,0,0,0,0,0,0,0,0.0183022367441558,0,0,0,0,0,0.128879051128624,0,0,0,-0.0432513170095164,0,0,0,0.299234330142411,0.119169632551436,0.412645356320699,-0.0409555414492292,0,0,-0.0203097663729535
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682679514413579,0,0,0,0,0,0,-0.177922588560066,0,0,0,0,0,0.0488790904098765,0,0,0,0.0357275413349278,0,0,0,0,0,0.18563545271175,0,0,0.140442208341165,0,0,0,0,0,0.377623134120925,0,0,0,0.360013583868627,0.215321821044485
X16.HK.EQUITY,0,-0.154620613078937,0,0,0.205053696168584,0,0,0,0.03319638678738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329338637374762,0,0,0,0,0,0,0,0,0,0,-0.0117354144493133,0,0,0.161772383811447,0,0.120774858170196,0.0549290422932939,0,0.237223272486907,0.0618108361133124
X2007.HK.EQUITY,0,0,0.110234224664484,0,0,0,0,0.173327475580199,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0779200591439485,-8.67361737988404e-19,0,0,0.000365564876236408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633959798704707,0,0,0,0,0.0397150676610648,0,0.267462500314318,0,-8.67361737988404e-19,0,0,0,0.135654143236382,0,0
X267.HK.EQUITY,0,0,0,0,0,0,-0.158437297371939,0,0,0,0,0,0,0,0,0,-0.0113636708448546,0.198010048523307,0,0.112276404665629,0,0.222458387683136,0.227451813432183,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0943434979200549,-0.000252633459742392,-0.104260778105393,0,0,0.368301475215211,0,0,0,0,0,0.00624716729768585,0.202837390864944,0.0880709377020876
X688.HK.EQUITY,0,0,0,0,0,0,0,0.138669516148736,0,0,0,0,0,0,0,0,0.084620853067601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364943789723392,0,-3.46944695195361e-18,0,0.245001155002311,0,0,0,0
X823.HK.EQUITY,0,0,0,0.0837533595135038,0,0,0,0,0,0,-0.10068170158592,0,0,0,0,0,0,0,0,0,0.0284355992066541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179688685112201,0,0,0.257554623488274,0,0,0,-0.117931007025632,0,0,0.337455972640918,0.291939973054084,0,0,-0.0664856105954648,0,0.0347402179596627
macro_return_add,0,0,0,0,0,0,0,0,0,-0.00264031257679944,0,0,0,0,-0.0782498558278151,0,0,0,0,0.13912434093901,0.0209463337124114,0,0,0.197895744469881,0,0,0,-0.206335281194287,0,0,0,-0.139455301959988,0,-0.0895676748361718,0,-0.109186717568975,-0.124260156399664,0,0,0.487380518293836,-0.132873592178536,0,0.0990413845129624,0,0,0,0,0,0,-0.0428071830736519,0
