,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0,0.105186040181973,0,0,0,0,0,0.344380473104335,0,0.229317381018497,0.0796367485301423,0,0,0,0,0,0,0,0,0.0650411055714645,0,0,0.143654541257181,0,0,0,0,0,0.0293099702394623,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0255974450710338,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,-0.0167124540354315,0.0486588587724779,0,0,0,0,0,0,0.0544052338373434,0,0,0.523624665922394,0,0,-0.0968167195276978,-0.012304014969648,0,0,0,0.0952671958471042,0,0,0,0,0,0,0,0,0,0.168285285733249,0,0,0,0,0,0,0,0,0,0.0373337607070128,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.00313286733863987,0.0255181463131606,0,0,0,0,0.322098788384947,0,0,0.323949355059916,1.73472347597681e-18,0.0997217255404343,0,0,0,0.0335655128707704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14914380571093,0,-0.0354778867324514,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0218885826362585,0,0,0,0,0,0.12733615909091,0.14339269133456,0.538507167716756,0,0,0,0.159226949012772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397573680515652,0,-0.0576829812192303,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0701643055160159,0,0,0,0,0,0,0,0,0.495590272940748,0,0,0,0,0,0,0.244804408670189,0,0,0,0,0,0.0984617408108568,0,0.11603029396142,0,0,0.0418586512170069,0,0,0,0,0,0,0,0,0,0,0,0,-0.615575570947029,0,0.115959142996015,0,0,0,0,0,0,0,-0.092236430714886
X601998.CH.EQUITY,0,0,0.174263827253734,0,0,0,0,0.297348939466841,0,0,0.0540112423731989,0,0.0969682334484929,0.269231488764146,0.0851938302740042,0,0,0,0,0.0296326338376505,0.0972033970673158,0,0,0,0,0,0,0.0212918773056457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609521465384916,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0.0330852793731548,0.348300138679183,0,0,0,0,0,0.195881647396872,0,0,0,0,0.143060135341775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239990313800378,0,0,0,0,0,0,0,0.213216167210115,0,0,0,-0.203362868283022
X11.HK.EQUITY,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0590686513822642,0,0,0,-0.0156034873778318,0,0,0,0.508812341089448,0.290927012928015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126526100116358,0,0.131747132915552,0,0,0,-0.0881156128074452,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.0450608048622658,0,0,0,0,0,0,0,0,0,0,-0.00955629406819781,0,0,0,0,0.427989666017785,0,0,0,0,0.0762342080020968,0,0,0,0,0,0,0,0.0924179734782443,0,0,0,0,0,0.220851318118929,0,0,0,0,0,0,0,0.168803897561988,0,0,0,0,0.0497560946983965,0
X5.HK.EQUITY,-0.259415296355973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578549772041458,0,0.291031708935636,0,0,0.02767926490915,0,0,0,0,0,-0.183022059356456,0,0,0,0,0,0,0,0,0,0,0,0.276306666022844,-0.397216012295008,0,0.281462466915319,0,0,0,0,0,0.765969922315025,0,0,-0.109174021032278
