,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601916.CH.Equity,0,0.017242185908078,0,0,0,0,0,0.268803554806223,0,0,0,0,0,0,0,0,0,0.0527228939679755,0,-0.0975798617488749,0,0.474706096122364,0,0,0,0,0.0893826981938428,-0.0954941976750342,0,-0.121525271394297,0,0,0,0,0,0,0,0,0.284617599661538,0,0,0,0,0,0,0,0,-0.0817927524637967,0,0,0
X601077.CH.Equity,0,0,0,0.138026778392029,0,0,0,0,0.0377994481964051,0,0.433676935838871,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.0123509636175549,0,0,0,0,0.183465840990845,0,0,0,0,0,0,0,0.0449922662026531,0,0,0,0,0,0.0872603244371369,0,0,0,0.0515028291885399,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0486557305189482,0,0,0,0,0,0,0,0,0,0.141577158872898,0,0,0,0,0,0,0,0,0.0876135171432864,0,0,0.295297848710761,0.259290768111826,0,0,0.0427997673218069,0,0,0.00131471712760483,0,0,0,0,0,0,0,0,0,0,0,0.188862656772225,0,0,-0.151479686124058,0.168393516989435,0
X2388.HK.EQUITY,0,0,0,0,0.179610734600727,0,0,0,0,0,-0.122563127397988,0,0,0,0.275593955850015,0,0.106898384628159,-0.697041699837235,0.00655198945217262,0.0312056864417719,0,0,0,0.244381542382369,0,0,0,0.148322551024801,0.109510564087779,0.0265074564883147,0,0,0,0,0,0,0,-0.284587844112267,0,0,0,0,0,0,0,0.240372191484802,0,0,0,0,0.151885637009389
X5.HK.EQUITY,0,0,0,0,0,0,-0.193429786423715,0,0.0447910649117745,0,0,0.0715014691296678,0,0,0,0.286692728461446,0,0,0,0,0,0,0,0,0,0.52325160818714,0.182384383751072,0,0,0.380671984854734,0,0,-0.120161082670764,0.233488015877482,0,0,0,0,-0.153581435259494,0,0,0,0,0,0,0,0,-0.0611992355772219,0,-0.0619135355229303,0.310706297594944
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0962607516140077,0,0.223705659001485,0,0,0,0,0,0,0,0,0.300548676614644,0.0425444072065947,0.444037709410012,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0244778316602879
X2884.TT.EQUITY,0,0,0,0,0,0,-0.100537548385715,0,0,0,0,-0.0189022255142265,0,0,0,0,-0.0182781127522709,0,0,0,0,0,0,0,-0.0151539718355337,0,0,0,0.303116111450595,0,0,0,0,0,0,0,0,0,0,0.335199450920904,0,0,0,0,0,0,0,0,0,0.157360467035386,0
X2887.TT.EQUITY,0,0,-3.46944695195361e-18,-0.0755633337279521,0,0.446504590752026,0,0,0,0,-0.109797776751449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136090321668094,0.0389054110844468,0.24441124467713,0,0,0.092091518276351,0,0,0,0,0,0,0,0.181246050200333,0,0,0,0,-6.93889390390723e-18,-0.0587643913381238,0.240086119928838,0,0,0.0763518252689227,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0.0148311294937466,0,0,0,0.0562870831240402,0,0,0,-0.081472026355325,0,0,0,0,0,-0.142186210412356,0,0,-0.0180603370585885,0,-0.0812430100703442,0.564766125270555,0,0,0,0,0,0,0,0,0.0786484370427455,0,0.289505402586426,0,-0.023255021696286,0,0,0,0,0,0,0,0,0.0974838742077887
X000166.CH.EQUITY,0,0,0,0,0.190652763996868,0,0,0,0,0,0,0,0,0.006277176387599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39312465816992,0.134471377081766,0,0.171211759093311,0,0.126452064991381,0,0,0,0.123109510655967,0,0,0,0,0,0,0,0
