,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0254772299256497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280000982991923,0,0.0115564714057455,0,0,0.396223237281852,0.0731395616341664,0,0,0,0,0.0820784403458123,0,0,0,0,0,0,0,-0.0422872029356609,0,0,0,0,0,0,0.0343836568291493,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0679233864509509,0,0,0,0,0,0,0,-0.0137422839945195,0,0,0,0.0930214391776032,0,0.490276650136301,0,0.121263481393782,0,0,0.153882217408356,-0.0256308928804427,0,0,0,0,0,0,0,0,-0.289184723165479,0,0,0,0,0,0.0795193497354218,0,0,-0.0811628170692854,0,-0.0733847638769355
X601066.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.0627299043780475,0,0,0,0,0,0,0,0,0.00335047114979703,0.163559729532723,0,0.642605534560677,0.00404121560437297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169628452537845,0.0332716405850471,0,-0.0104183020914068,0,0,0.0466179901211763,0.00179395927153953,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364928117128339,0,0,-0.159286432358264,0,0,0.0581992397511453,0.0519387891625774,0.0729335520566943,0.0871501018436547,0,0,0.116302085082027,0,0,0.238867131462955,0,0,0,0.163004782683073,0,0,0,0.0964640245480571,0,0,0,0,0,0,0,0,-0.041198947343439,0,0,0,8.67361737988404e-19,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.101451482565755,0,0,0,-4.33680868994202e-19,0,0,0,0,0.110521185015148,0.0265682666386344,0,0.25039322818787,0.297044764716464,0.0389771562783968,0,0,0.141356217699962,0,0,0.0280161386486841,0,0,0,0.0823300494745404,0.0186994174517278,0,0,0,0,0,0,0,0.065944004913747,0,0.132130525106212,0,0,0,-0.0107917667277368,0
X600918.CH.Equity,0,-0.117825626198874,0,0,0,0,0,0,-0.0571403836598019,0,0,0,0,0,0,0,0,0,0,0.545865639174048,0.119488620763939,0,0.198571076218787,0,0.00719528804573716,0,0,0.24819385064615,1.38777878078145e-17,0,-0.0333882836339271,0,0,0,0,0,0,0,0,0.058300022707688,-0.0957803250199738,0.0692933334256359,0,0,0,0.119436948010829,0.0125013885072187,-0.0888122099079065,0,0,0
X388.HK.EQUITY,0.0442837305485418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544527235220792,0,0,0,0,0.255770658787836,0.0338707333528264,0,0,0,0,0,0,0,0,0,0,0,0,0.258564824899467,0.0696976594275429,0,1.73472347597681e-18,0,-0.31881820613694,0,0.286961362632344,0,0,0.0608794252998976,0,0.088755968287251,0,0.108681327228374,0
X601318.CH.EQUITY,0.0798674641003172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080408468828182,0.0156850539967894,0,0,0,-0.0131390047043869,0,0.208372375328625,0.376451139383091,0,0,0,0.0494391200363877,0,0,0,0,0,0,0,0,0.127741999827695,0.0545251200445296,0,0,0
X601319.CH.EQUITY,0.234703432161493,-0.04446033072582,0,0,0,0,0,0.10567097602615,0.135934980116625,0,0,0,0,0,0.36509256511749,0.0305100458231733,0,0,0,0,0,0,0,0.0047067936497396,0,0,0,0,0,0,0,0,0,0,0.0260383696786331,0,-0.0301603335350489,0,0,0,0,0.00324179755058634,0,0,-0.0292085895948847,0,-0.0604690788856256,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0711319995745892,0.167763507786558,0,0,3.46944695195361e-18,0,0,0.0701086922939199,0,0,0.154435955505868,0,0,0,0,0,0.0610243247641241,0.317220301779434,0,0,0,0,0,0,-0.143884606546814,0.00579085041097276,0,0,0,0.097094591967362,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.112589003152177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204248635327911,0,0,0,-0.0609932078336698,0,0.445607664042864,0.287731160641595,0.151557764711856,0,0.155407295607395,-0.0504030231713622,0,0,0,0.0465680815623484,0,-6.93889390390723e-18,0,0,0,-0.102135726006105,0.00971022565141908,0,0,0
X601628.CH.EQUITY,0,0,0,0.0927649175334334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360527372159103,0.179822169653305,0.280120663393639,0,0,0,0.165793019300726,0.0557739326612051,0.0898532906297254,0,0,0,0.0597034117145544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0
X1299.HK.EQUITY,0,0.0706425777917048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535079045897013,0.0877557097154727,0,0,0.175106416882766,0,0,0,0,0,0,0,0.173225261737921,0,0,0,0.267729249606535,0,0,0,0.0919520801260311,0,-0.0885754563456909,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196683032641368,0,0,0,0,0,-0.100242785001052,0,0,0,0.0803947723195297,0,0.569337916570306,-0.0957708594131622,0,0,0,0,0,0,0,0.110585753686167,0,0,-0.142010868484034
X2882.TT.EQUITY,0,0,0,0,-0.0381553794884282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253147094927452,0,0,0,0.0766963940674479,0,0,0,-0.11774719968348,0,0,0.736400978064008,0,0.0813663361003065,0,0.125523004976213,0,0.0786328362956156,0,-0.214162184997659,0.0355295752655585,0,0,0.19368042083077,0
X000002.CH.EQUITY,0,0,0,0,0,0.171862063753674,0,0,0.138524946890744,0,0,0,0,0,0,0,0,0,0.341732318305454,0,0,0,0,0,0,-0.108735295013911,0.300304225057481,0,0,0,0,0,0,0,0,-0.115196379719777,0,0,0.0495811643696475,0,0,0,0,0,0,0,0.0938001677713638,0,-0.14331393259621,0,0
X001979.CH.EQUITY,0,-0.0827504093593572,0.661670702596482,0,0,0,-6.93889390390723e-18,0,0,0.0394703812870121,0,0,0,0.0687172282672138,0.106044757416016,0,0,-0.155080166066077,0,0,0,0,0,0,0,0,0,0,0,-0.102795526726445,-0.0530379211253245,0,0,0,0,0,0,0,0,0,0,0,-0.0411486583303706,0,0,0,0,-0.00152422737995033,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130934968843312,0,0,0,0,0,0,0.0810993136165971,0.605249001238195,0.0512726826802325,0,0,0,0,0,0.206385562001116,0,0,-3.46944695195361e-18,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,-0.133677100543449,0,0,0,0,0,0.056177656163586,0,0,0,0,0,0,0.0820925319372891,0.067461734742885,0,0,0,0,0.0428766466352537,0,0,0,0.148508012384741,0,0,0,0,0.159910387145929,0.164620900091872,0,0,0,0,0,0,0,0,0.115980173148393,0.167356941122627,0.0970534676143785,0.0925948053218675,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21179750919975,0,0,-0.480926537105858,0,0,0,0,-0.157700030417078,0,0.388722771260393,0,0,0,0,0,0,0,0,0,0.222900851028646,0,0,0,0.236932904740511,0,0,0.10495315639667,0,0.051309969951341,0.0611539256628161,0,-0.101863339850823
X12.HK.EQUITY,0,0.0442830071636763,0,0,0,0,0,0,0,0,0,0,0,0.0016155304088471,0,0,0,0.0457654988181856,-0.0946083375716515,0,0,0,0,0,0,-0.189735104235905,0,0.16244200427033,0,0,0,0,-6.93889390390723e-18,0,4.33680868994202e-19,-0.0590115247339508,0.353078524445449,0,0,-0.0381274044068494,-0.0971048493821585,0,0,0,0,0.511183664896241,0,0,0.224719802625533,-0.182854382513596,0
X16.HK.EQUITY,0,0,0,-0.165012227616719,0,0,0,0,0,0,0,0,-0.00927194132519515,0,0,0,0,0,-0.0461359433884995,0,-0.112136537820667,0,0,-2.16840434497101e-19,0,0,0,0,0,-6.93889390390723e-18,-0.0164700976665792,0,0,0,0,0,0,0,0,0,0.0219589066822601,0,0,0.103470796223958,0.27353669717131,0,0,0,0.364361127814315,0.254658422532711,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.136236945787579,0,0,0,0,0,0,0,0,0,0,0,0.0691201257088049,0,0,0,0,-0.0553885468861325,0,0,0,0,0,0,0,0,0,0,-0.00603853341586999,0,0.0396571072807229,0.150713948834554,0,0,0,0,0,0.539728690093065,0.456360978353068,0,0
X267.HK.EQUITY,0,0,0,0,0.0519837244294658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810407478313037,-0.0238465060023359,-0.129805140674492,0,0,0,0,0,0,0,0,0,0,0,0,0.384302568152279,0,0,0.0324818802580396,0.14687521842757,0,0,0,0,0,0,0.0814081746864971,0,0,0,0.320369321556485,0.0823291180472598,0
X688.HK.EQUITY,0,0,0,0,0,-0.024118002968598,0,0,0,0,0,0,0,0.0498138136067992,0,0,0,0,0,0,-0.00710600446074136,0,0,0,0,0,0,0,0,-0.0170626432982618,0,0,0,-0.213857830090656,0,0,0,0,0,0,0,0,0.152028494858327,0,0,0.368596807304949,0.273236859755807,0.266478333290771,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.00184305511469296,0,0,0,0,0.119960106925884,0,0,0.0361541238775367,0,0,0,0,-0.206661896372273,0,0,-0.0939549661982534,0,0,0,-0.0735823339776831,-0.0536630921210435,0,-0.0740246373058372,0,0,0,0,0,0,0,0,0,0.145195911485638,0,0,0.0055014316713877,0,0,0,0.397374737766706,-1.73472347597681e-18,0.390303824622619,-0.0763619099012923,0,0
macro_return_add,0,-0.177891270268749,0,0.421277817560658,0,0,0.13767753237244,0,0,0.23695531428934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660888526527522,-0.0559273600902828,0,-0.0868967945131358,0,0,0,0,0,0,-0.0700324103648673,0,0,0,0,0,0,0,-0.0800289775579536,0.249894882131686,0
