,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0599887616775537,0,0,0.0311213563081656,0,0,0.1366801207933,0,0,0,0,0,0,0,0,0,0.093487109506988,0,0,0,0,0,0,0,0.220031468795054,0,0,0,0,0.087440988496149,0.249713178162571,0,0.303046397651813,0,0.0688671269514578,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,-0.0367325124254942,0,0,0,0,0,0,0,0,0,0.0472142112759441,0,0,0,0,0,0.120512395286874,0,0,0,0,0.0565075405932709,0,0,0,0,0,0,0,0,0.0312428688790113,0,0.600873997723642,-0.05014462474464,-0.195410141924804,0,0,0,0,0,0,0,0.29091214583718,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.278237328186393,0,0,0,0,0,0,0.0347457770486756,0.00271060713668137,0,0,0,0,0,0,0,0,-0.0906602758397309,0,-0.0544163476713399,0,0,0,0,0,0,0,0.700211132195329,0,0,0,0.080459065551541,0,0.0496594782825652,0,0,0.236647818224425,0.0266787055588709,0.0342534721211262,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223520427468521,0,0.0690945017173284,0,0,0,0,-2.16840434497101e-19,0,0,0.79492609934795,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0.0572871096515244,0,0,0,0,0,0,0,0.118996346749114,0,0,0,0.0365703500595054,0,0,0,0,0,0,0,0,0.0240918030221344,0.0983209945461175,0,0,0,0,0,0,0,0,0.0251589798152799,0.215850466910033,0,0,-0.0226340530297772,-0.129921361990618,0,0,0.150780894128475,0,0,0,0,0,0,0,0,0.1632860231116,0
X600048.CH.EQUITY,0,0,0,0,0.222151606751439,0,0,0,0,0,0.0830414853770402,0,0,0.0340106772328947,0,-0.0460624866620681,0,0,0,0,0,0,0,0,0,0,-0.241383258398045,0,-0.015028321229591,0.0702789995913958,0,0,0,0,0,0,0,0,0.412979717883032,0.19696787663175,0,0,0,0,-0.162197035921826,0,0.114036180193447,0.216775148471435,0,0.10578253947946,0
X1109.HK.EQUITY,0,0.0378736745753944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368539247331516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165405821007023,0,0,0,0,-0.0204662717354129,0,0,0,0,0,0.276362464795379,0,0,0,0.273439272029005,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155724798896534,0.182475312435918,0,0,-0.173048136076405,0,0,-0.0469035744473139,0,0,0,0,0,0,0,0,-0.14688825276074,0,0.243588107888598,0,0.0561410236110662,-0.0136894120601416,0,0,0,0,0.0653781154256214,0.143677817153675,0,0,0.00347249789003158,0,0.10122179587091,0
X12.HK.EQUITY,-0.000291158541728694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131582703729011,-0.194848841935728,0,0,0,0,0,0,0,0,0,0,0,0.104543055961543,0,0,0.0487732131488091,0,0.159352771292003,0,0,-0.0291784401088378,0,0,-0.215970524090814,0.570851702183014,0,0,0,0.214755236238987,0,0,-0.00238192522075913,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.162277376403188,0,0,0,0,0,0,0,0,0,0,-0.656398630189409,0,0,0.0364001611631348,0,0,0,0,0,0,0,0,0,0,0.116377304661589,-0.00846046830791922,0,0,-0.103503052823383,3.46944695195361e-18,0,0.128870898980969,0,0.380621265056004,0,0.0247095193380327,0,0,0.0946586122789741,0.124433330723904,0.0516759738209728
X1997.HK.EQUITY,0.189899870485234,0,0,0,0.0817195523255971,0,0,0,0,0,0,0,-0.148800756423403,0,0,0,0,-0.0119893293952632,0,0,0,0,0,0,0,0,0.0313652351545405,0,0,0,0,-0.193611347750201,0,0,0,0,-0.0191344900031057,-0.020280983463297,0,-0.0131864744672148,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0923385769058084,0.13588748850422,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.55878399711562,0,0,0,0.0623509175541407,0,0,0,0,6.93889390390723e-18,0,0,-0.111504175566039,0,0,-0.0916313182046945,0,0,0,0,0,0.30228114870218,0,0,0,0,0,0,0,0,0.344887205728636,0.116104544584351,0,0,0,0,0,0,0.240061778338303,0.361911024359509,-0.175439180787154,0
X267.HK.EQUITY,0,0,0.134087543416522,0,0,0,0,0,0,0.0192010502818952,0.256475544124941,0,0,0,0,0,0.0389718759454242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0152315844041594,0,0,0,0,0,0,0,0,0.211271973242503,0,0,0.0314704712387851,0,0
X688.HK.EQUITY,0,0.158646976734758,0,-0.386435264275352,0,0,0.178211061375815,0,0,0,0,0,0,0,0,0,0.0766070894843548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123807896254012,0,0,0,-0.231215147536492,0.750159548017928,0,0,0.160488672093827,0,0.242730347348526,0,0,-0.251152792539961,0
X823.HK.EQUITY,0,0,0,0,0,-0.0751148878701704,0,0,0,0,0,0,0,0.0445262893031342,0,0,0,0,0,0,0,-0.162142538161424,0,0,0.0888371784805768,-0.024124666197983,0,0,0,0,0,0,0,0,0,0,0,0.140226472026999,0,0,0,0,0,0,0,0.425377136490705,-0.0479482408464635,0.0372837139611725,0,0,-0.019243645637697
macro_return_add,0.251740463650577,0,0,0,0,0,0,0,0,0,0,0,0,0.0716417837941652,0,0,0,0,0,0,0,0,0.213727889309109,0,0,0,0,0,-0.151678749652576,0,0,0,0,0,0,0,0,0,0,0.138206809751014,0,0,0,0,0,0.350129074508403,0,0,0.0466084426098073,0,0
