,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X600999.CH.EQUITY,0,0,0,0,0,0,0,0.0482386266270766,0,-8.67361737988404e-19,0,0,0,0,-0.11641250566003,0,0,0,0,0,0,0,0.0825765255834787,0.226860195167483,0,0,0,0,-0.0152540520592543,0,0,0,-0.0325026596385744,0.0558471020455893,0,0.484222713003558,0.0552404849301727,0,0,0.0621905109532726,0,0,0,0,0,0,0,0,0.0929793272256501,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.452898405188331,0,-0.0444123117192727,0,0,-0.190969110356515,-0.0937772639659998,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161325294944331,0,0,0,0,0,0,0,0.244800184304211,0.531364080505326,0,0,0,0,0,0,0,0,0.108578641855415,-0.114444152185006,0.0737028511394997,0,0,0,-0.312333539027245
X601688.CH.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611468296128291,0.0832920417577359,0,0,0,0,-0.0167900988369402,0,0,0,0,0,0,-0.127866941894315,0.0173055123229172,0,0,0,0,0.0368341233162748,0.150144570954737,0.0998165301923492,0,0,0,0,0.446574193409075,0,0,0,0,0,0,0.343981240754563
X2885.TT.EQUITY,0,0,0,0.611846527677448,0,0,0,-0.196568602099861,0,0,0,0,-0.116008988591456,0,0,-0.111139455850015,0.0376542825604625,0,0,0,0,0,0,0,0,0.0209823812758841,-0.00631828042814371,-0.0672873472540811,-0.269625409888397,0,0,0,0.679760993841975,0,0,-0.0636438581661371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138007951082559
X601318.CH.EQUITY,0,0.0340052541933949,0,0,0,0,0,0,0.051809129572894,0,0,0,0,0,0,0,0,0.0133343063618721,0,0,0,0,0.0425615445371223,0,0,0.243900768119578,0,0,0,0,0,0,-0.0189302424713259,0,0,0,0,0,-0.106598648169757,0,0,0,0.00231393048172612,0.284687274739674,0.200492266089751,0.252996241985985,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.16287405388879,0,0,0,0,0,0.108839844911508,0.191533364651529,0.0565606644233167,0,0,0,0,0,0,0,0,0,0,0.153461499585607,0,0.174496970362174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173705266544847,0,0.17731967469278,0.084792669012618,0.33769131995754,0,0,0
X601336.CH.EQUITY,0,0.0588788273129573,0,0,0,0,0,0,0,0,0.00444257389059394,0,0,0,0,0,-0.0292144165282396,0,0,0,0,0,0,0,0.0187964561356961,0,0,0,0,0,0,0.038025853868072,0,0,-0.0267063121949928,-0.249436916470976,0,0,0,0.418832025637284,0,0.0504990019653012,0.110692146569543,0,0.382423419452186,0.205996702997793,0,0,0,0,-0.061346327381069
X601601.CH.EQUITY,0,0,0,0,0,0,0.139249315853038,0,0,-0.148923666513765,0,0,0,0,0,0,0,0.0702883297573606,0,0,0.34634894492242,0,0,0,0,0,0,0,-0.0366979487160186,0,0,0,0,0,0,0.0883970486428089,0,0,0.152771143758232,0,-0.072713364332047,0.305120163661074,0,0,0,0,-0.013769704202903,0,0,0.0923362855565064,0
X601628.CH.EQUITY,0,0,0,0,0,0.0329688149528734,0,0,0,0,0,0,0,0,0,0.00495708616721621,0,0,0.0793564749274306,0,0.104061814191772,0.0293574309669986,0,0,0,0,0.0154362719933153,0.160696249898965,0,0,0,0,0,0,0,0.239804325074631,0,0,0,0,0,0.228473404495747,0.0613198093960803,0,0,0,0.0646706087458081,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.0341092392824339,-0.0570083619166901,0,0,-0.10930645297998,0,0,0,0,0.0680495727995653,0,0,0,0,0.0273082646660341,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.00180787285962128,0,0,0,0,0,-0.00472320661921379,0,0,0.179322051716544,0,0,0,0,0.714036563792273,0.0738682364378714,0,0
X2882.TT.EQUITY,0.0897644664250425,0,0,0,0.01899834021141,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584734110145213,0,0,-0.0158783332266279,0,0,0,0,0.239188206775359,0,0,0,0,0.0423622578202611,0,0,0,0,0,0,0,0,0,0.0846836063257559,0.1619427237941,0,0,0,0.43731463849524,0,0,0.133119017935327,0.180406625438043
X2883.TT.EQUITY,0,0,0,0,0,0,-0.168734106929925,-0.00471998232702923,0.0710102310879881,0,0.109347159219048,0,0,0,0,-0.104333561194056,0,0,0,0.197408161837892,0,0,0,0,0,0,0,0,0,0,0.337033708007313,0,0,0,0,0,0,0,-0.0111822697172385,0,0.0872135018581893,0.016948920981813,0,0,0,0,0.394059547715324,8.67361737988404e-19,0,0,0
X2888.TT.EQUITY,-0.176512619508477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792510552052083,0,0,0,0,0.453065460996569,0,0,0,0.18536449915583,0,0,0,0,0.139156849027172,0,0.232648442723808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970683570517913,0,0.410906127117254,0,0
macro_return_add,0.159765309635306,0,0,0.110984653020676,0,0,0.392499399987774,0,0,0,0,0,0,0,0,-0.384316781072976,0,-0.35067772248595,0,0,0,0,0,-0.102973598816446,0,-0.0820836536157065,0,0,0,0.29709352098404,0,0,-0.201565912813186,0,0,0,0,0,0,0.178077214253392,0,0,0,0,0,0,0.112403403244257,0.226182183397507,0.13524119336345,0,0
