,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601066.CH.EQUITY,0,0,0,0,0,0,-0.0723923712769921,0,0,0,-0.166782189366,-0.187964623087852,0.178760383542587,0,0,0,-0.358591724910246,0,0,0.372489237992473,0,0,0,0,0,0,0.428584919976393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160296391433836,0,0,-0.121931885907146,0.288818548146533,0
X601211.CH.EQUITY,0.0158325857560515,0,0,0,0.0322046875685558,0.0157031703094387,0,0,0,0,0,0,0.0615982849317762,0,0,0,0,0,0,0.0516928971502963,0,0.424022311501353,0.0927619016627479,0.230011988147785,0.0116272211174734,0,0,0,0.0392544300662451,0.0594897923561638,0,0,0,0,0,0.0062343202308027,0,0,0,0,0,0,0,0,0,0,0,0.0116027424742248,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0352808175758131,0,0,0,0,0,0,1.73472347597681e-18,0.0551910935648344,0.525467189769824,0.0401721059357822,0,0.0629050495117802,0,0,0,0,0.0943338423863745,0,0,0,0,-0.0486126793923992,0,0,0.0908094833169495,0,-0.0942173928859113,0,0,0,0,0,0,0,0,-0.018781935516248,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132355885076112,0.571481674268779,0.0113778159823193,0,0,0,0,0,0,0,0,0,0,0,0,0.0300619093558893,0,0,0,0,0,0,0,0,0.142465977550072,0,0,0,0,0,0.0628141061180296,0,0,0
X601318.CH.EQUITY,0,0.0958775472704034,0,0,0,0,0,0,0.122986226926648,0,0,0,0,0,0,0,0,0.0705901027135261,0,0,-0.0546404295929601,0,0,0,0,0,0,0,0,0,0.20112242383668,0.0311229650862911,0.176797854666661,0.0215980835238639,0,0.129018743720701,1.73472347597681e-18,0,0,0,0.0613189844059553,0,0,0,0,0.142728374018548,0.00627405408979986,0.0498057524160976,0,0
X601319.CH.EQUITY,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0348301538714026,0,0,0,0,0,0,-0.23934866356903,0,0.451380269859512,0.107820220428705,0,-0.0264731554456394,0,0,0,0,0,0,0,0.277916443859457,0,0,0,-0.0282730949365822,-0.0515728149530676,0,0,-0.0289758790661129,0,0.0157918655526446,0,0,0,0,0,0.0468305227009192,0,0,0
X601336.CH.EQUITY,0,0.124186860473948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189783493033946,0,0,0,0.244944528462981,0,0.0883651284638616,0.0672472377282732,0,0,0,0,0,0,0,0,0.0810213112005568,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.00859833623855941,0,0,0.0672901178743287,0.110211089932843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773822808338566,-3.46944695195361e-18,0.222103422430088,0,0.220828221167662,0,0,0,0,0,0,0.0226863831037996,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.026227671301814,0,0,0.0810405898990199,0,0,0,0.0332638574604897,0,0.0888181441371804,0,0,0,0.0310282205077511,0,0,0,0,0,0,0,0,0,0,0,0.257915550718401,0,0,0.20157589776197,0,0.00537623550985151,0.225186224385244,0,0,0,0.0835578019083802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.206351498940601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286719290596597,0,0,0,0,0,0,0,0,0.126981353254926,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.121490607817188,0.0944449413587995,0,0,0.308892458822142,0.0644998488498329,0,0.0637082757737672,0,0
