,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.515388700965956,0,0.0861490894160303,0.205081569002473,0,0,0,-0.123526730331245,0,0,-0.0543598079503505,0.129932964854136,0,0,0,0,0,0,0,0.173421086390246,0,0.0228938348916928,0,0,0,0,-0.0113951026469702,0,0,0,0.0576778452264433,0,0,0,0.052134786484711,0,0,0,0,0,0,-0.017641383650034
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00669772506899663,0.074343605057123,0.240834165110281,0,0.00604697132086684,0.356118878649298,0.0520501327296272,0.0291106172725952,0,-0.0280331676379913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070260237503819,0,0,0,0,0,0.041624219607517,0,0,0,0,0,0,0,0,0,0,0,0,0.184951665682016
X601818.CH.EQUITY,0,0.0289032461055517,0,0,0,0,0.267379719830675,0,0,0.138415134107814,0.117722289315245,0.229513919456782,0,0.00252574212877869,0.0383614598440354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127247535116417,0,0,0,0,-0.0133692109245989,0,0,0,-0.0975667616418874
X601939.CH.EQUITY,0,0,0.195617853495008,0.268329192419545,0,0,0,0,0,0.164708727797326,0.0145342293100001,0.406273221012186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.168905921261517,0,0,-0.0624965158599924,0,0,0,0,0,0,0,0,0,0,-0.0762247657243904
X601988.CH.EQUITY,0.0476065793257831,0,0,0,0,0,0,-0.097356710714357,0,0.562248843840368,0,0,0,0,0,0,0.23335629684468,0,0,0,0,0,0,0,0.298879427628096,0,0,0,0,0,0,0.0583319879059682,0.0190835848757679,0,0,0,0,0,0,0,-0.55652038255521,0,0.0681889882910196,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.0830099181906152,0,0,0,0,0.428405911444214,0.0970278047787961,3.46944695195361e-18,0.033975336746787,0,0.236838529108885,0.102017560709332,0.12991853270648,0,0,0,0,0.0087426506818517,0,0,0,-0.0409928488911063,0,0,0,0,0,0,0,0,0,0,0,0.0492311802120635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714192416682127,0
X601658.CH.Equity,0,0,0,0.320956659562383,0,0,0,0,0,0.180053815788319,0,0,0,0,0.0807254320723829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147389255353011,0,0,0,0,0,0,0,0.295850998331185,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127541975226371,0.0737742781403454,0,0.452413474041207,0.35897438344779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570158237401537,0.120461563832514,0,0.243392056200823,0,0,0,-0.216576807225023,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0507491334913835,0,0,0,0.0415641462213566,0,0,0.40598851360865,0,0,1.38777878078145e-17,0.0691163365377261,0,0,0,0,0,0,0,0,0.209078166664245,0,0,0,0,0,0.171819104883817,0,0,0,0,0,0,0.0425514005116186,0.185504406482424,0,0,-0.0503746071415782,0,0,0.094469587230745
X5.HK.EQUITY,-0.115412381153112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.284313331392589,-0.106909542630323,0,0,0,0,0,0,0,-0.146166440709146,0,0,0,0,0,0,0,0,0,0,0,0.345167349130646,-0.121191438492797,0,0,0,0,0,0,0,0.639724640100053,0,0,0.0161313214141471
