,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,0,0.226233106623322,0,0,0,0,0,0,0,0,0,0,-0.107003326059559,0.430174924109689,0,0,0,0.0260279353107055,0,0,-0.049776790805858,-0.0420891335394246,-0.0917475586316234,0,0,0,0,0,0,0,0,0,0.06104895665005,0.297078134136162,0,-0.0368863235521025,0,0,0,0.118822819507649,0,0,0,0,0,0.0860608152596802,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.0626629095112417,0,0.630875585037754,0,0,0,0.0237164043700741,0,0,0,0,0,-0.0757879172260466,0,0,0,0,0,-0.31172163597452,-0.0765117934946133,0.704074446311541,0,0,0,0,0,0,0,0,0,-0.770997351272289,0,0,0,0,0,0,8.67361737988404e-19,-0.26812748431473,0,0,-0.014706181293527,0
X601328.CH.EQUITY,0,0,0,0.0365488536966288,0,0.470628415066916,0,0,0,0,0,0,0,0,0,0.0366633885114011,0,0,0,0,0,0.255216413414747,-0.0277734906460992,0,0,0,0,0,-0.298348853620944,0,0,0,0,0,0,0,0,-0.0878065135786267,-8.67361737988404e-19,0.404691426737287,0,0,0,0,8.67361737988404e-19,0,0,0.112298627830175,0
X601398.CH.EQUITY,0,0,-0.0351300979918207,0,-0.153788934215823,0,0,-0.0256486914791493,0,0,0.859195859160569,0,0,0,-0.049291329845131,0,0,-0.401511146852025,0,0,0,0,0,0,0.117349033441065,0,0,0,0,0,0,0,0,0,-0.347465821646054,0,0.223912898656731,0,0,0,0.307390410840789,0,0,0,0.0447488384499998,0,0,0.201935623087502,0.103378051001436
X601818.CH.EQUITY,0,0,0,0.215928394744429,0,0,0,0,0,0,0,0.397262013281041,0,0,0,0,0,0,0,0,0,0,0,0,0.0510891095651834,0.0428292332297821,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.343279269574343,0,0,0,0,-0.0242466979800485,0,0,-0.0465684372992737,0,0,0.0612505232333553
X601939.CH.EQUITY,0,0.540115261581446,0,0,0,0,0,0,0,0,0.17653575857341,0,0.000769894240032733,0.471580167345743,0,0,0,0.0914934544943572,0,0,0,0,0.0154841995601557,0,0,0,0,-0.110579823298249,0,0,0,0,0,0,0,-0.13026631818817,0,0.11099316558519,0,-0.174586212543243,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.60839945672865,0,0,0,0,0,0,0,0,0,0,0.042166442772168,0,-0.238366857035587,-0.287720514011396,0,0,-0.130631173230173,0,0,0.470719347288751,0,0,0,0.436805745110684,0,0,0,0.403690896376468,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189306772770058,0,0,-0.114365057773646,0,-0.266208933812063,0
X601998.CH.EQUITY,0,-0.0740251659560919,0.139676992432968,0,0,0,0,0,0.0231070979666619,0.0700103658392446,0.203859931733512,0,0,0,0,0,0,0,0,0,0.27833419676916,-0.100066552962954,0,0,0,0,0,0,0,0.169792314643901,0,0,0,0,0,0,0,0,0,0,0.243583210993034,0,0,0,0,0,0,0.0579572667066926,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.10885873068722,0,0,0.181135027000822,0,0,0,0,0,0,0,0,0.411350928505626,0.228793958787968,0.167074667561131,0,0,0,0,0.206087924457567,0,0,0,0,0,0,0,-0.014782851916605,0,-0.118822810879121,0,0,0,0,0.0475153062768295,0.0565812280492923,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,-1.0842021724855e-19,0.732335901239715,0,0,0,-0.148244856842298,0,0,0,0,-0.19561464645393,0,0,0,0.375382109196769,0,0,-0.0112281470698455,0,-0.0433514999935906,-0.0439363652793627,0,0,0,0,0,0,0,0,0,0,0,0.119162754697986,0.355615542879812,0,0,0,0,0,0,1.0842021724855e-19,0,0
X5.HK.EQUITY,0.0248322053918466,0,0,0.0722904076803457,0,0,0,0,0.150709727456435,0,0,0,0,0,0,0,0.144186341782087,0,0.141789853036548,0.0758978701869994,0,0,0,0,0,0.0737744318211702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119936704813782,0.177743547987445,0,0,0
X2884.TT.EQUITY,0,0,-0.128614320924286,0,0,0,0,0,0,-0.147190332175709,0,0,-0.0382137591718364,0.216325733181959,0,0,0,0,0.0421126241647298,0,0,0,0.309846474245215,0,0.131280670433206,0.331723351576325,0,0,0,0,0.0437237420204931,0,0,0,0.0436413402211706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0.0609847923281242,0,0,0,-0.294644340753227,-0.194820728268974,0,0.0573724668172551,0,0,0.226595739563716,0,0,0.216575207398456,0,0,0.423186563219466,0.117077414675738,0,0,-0.0556783125312635,0,0,0,0,0,0,0,-0.198693035749313,0.10593570228846,0,0,0.0713327295345506,0,0,0,-0.209879609596469,0,0,0,0
X2891.TT.EQUITY,0.569981444109819,0,0,0,0,0,0.0976089275548373,0,0,0,0.099057342816796,0,0,0,0,0,0,0,0,0,0,-0.0864040723991062,0,0,0,0,0,0,0,-1.54341266587387,0,0,0,0,-0.119396334489498,-0.0170990420331811,0,0,0.303092410929918,0,0.0267304451412775,0,0,0.187933639775117,0,0,0,0.130466038791864,0
X2892.TT.EQUITY,0,0,0.220853679763452,0,0,0,0,-0.150405919014798,0,0.0447570296674432,0,0,0,0.01939890160513,0,0,0.273645046554816,0,0,0,0,0.248504607945677,0.394618934034659,0,0,0,0,0,0,0,0,-0.0455305070029252,0,0,0,0,0,-0.0851646187694608,-0.0844735072796011,0,0,0,0,0,0,0.0430634331142829,0,0,0
X5880.TT.EQUITY,0.182797819126765,0,0,0,0,0,0,0,0,0,-0.0959169275066122,0,0,0,0.0354998857444033,0,0,0,0,-1.73472347597681e-18,0,0.196667522537469,0.0433582821613131,0.28482691951907,0.384888362940165,0,0,0,0,0,0,0,-0.0430966351013543,0,0,0,0,0,0,0,0,0,0,0,0,0.14732071221159,0,-0.152225170581582,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,-0.0156452007852307,0,0,0,0.080353357832334,0,0,0,0.0519099287812571,0,0,0.0540302712382291,0,0,0,-0.0179312171388614,-0.0618141272369786,0,0,0,0.306305796200353,0,0.272818596282954,0,0,0,0.219864494085676,0,0,0,0.154429006775323,0,0,0.102681185956246,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,-0.132541169469583,0,0,0,0,0.0482944779423888,0,0.147782480177313,0,0,0,0,0,0,0,0,0,0.0795650710251653,-0.036983024154285,0,-0.00200748936577184,0,-0.0567389197175774,0,0.3571990414813,0,0,0,0,0,0,0,0,0.0490270938495769,0.442754141723536,0,0,0,0,0.0398775324977147,0,0,0,0,0,0.0147967751751547,0
X002736.CH.EQUITY,0,0,0.167488917892068,0,0,0,0,0,0.00676790013464731,0,0,0,0,0,0,0.026703941966064,0.0423611053560942,0.0595989555695082,0,0,0,0.14979424749549,0,0,0,0,0,0,0,0,0.155276415181394,0,0.315494141982716,0,0,0,0.0278936467770122,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.142725431632526,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350519514325143,0,0,0.0345343723407927,0,0,0,0,-0.0336231277616589,0.249590419704781,0,0,0,0,0.270702578633164,0.0992695345708613,0,0,0,0,0.0873915405991655,0.106969240364546,0,0.0187908621236678,0,0,0,0,0,0,0,0
