,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601077.CH.Equity,0,0,0,0,0,0,0,0,0.116730106551898,0,0.127342909691319,0.0748273219884693,0,0,0,0.147539667610919,0,0,0,0.0301987571374559,0,0,0,0,0,-0.017738142374927,0,0,0,0,0,0,0,0,0,0.0618688435631602,0.233416282081556,0,0,0,0,0.0550435874792222,0,0,0,0,0,0,0,0.0650024575074484,0
X11.HK.EQUITY,-0.0241697508673529,0,0,0,0,0,0,0,-0.0394654716066049,0,0,0,0,-0.118540191912318,0.181921767020741,0,0,0,0,0,0,0,0,0,0,0.657386590113507,0.16046840250625,0,0,0,0,0,-0.102617793254793,0,0,0,0,0,0,0,0.0942029503933941,0,0,0,1.73472347597681e-18,0,0,-0.0999999195813724,0,0.190292479935774,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,-0.139733112774932,-0.0303395553574334,-0.172861497633933,0.504024326551875,0,0,0.186696227245199,0,0.166948432999369,-0.512100356597521,0,0,0,0,0.0487404523583509,0,0,0,0.111153338495829,0,0,0,0,0.0854260598277901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0358576542686549
X5.HK.EQUITY,0,0,0,0,0,0,-0.362924316891175,-0.0904339689843847,0,0,0,0,0,0,0,0,0.113468236108501,0,0,0.209769022750568,0,0,0,0,0.113704138247817,0.103040743269865,0,0,0,-0.0631761903676766,0,0,0,0,0,0,0,0,0,0,0,0.260778283904209,0,-0.24607010068088,0,0.195882805038972,-0.0448420193724532,0,0.316640559603928,0.441346705111585,0.285002489501476
X2801.TT.EQUITY,0,0,0,0,-0.0511228824734245,0,0,0,0.0956706088401914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185336511452105,0,0.181505192174405,0,0.138707357626552,0,0.447924166532708,0,0,0,0,0,0,0,0.0223694454577092,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.066354484871571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168210330190299,0,0.264603847029416,0,0,0.0555519429723143,0.400269814722713,0,0,0,0,0,0,0,0,0,0,0,0,0.0798129278268717,0.0164601522003907,0.0970457784800812,0,0
X2884.TT.EQUITY,0,0.258429077305897,-0.0937275120830244,0,0,0,0,0,0,0,0,0,0,-0.0257772751912396,0,0,0,0,0,0,0,0,0,0.0935700985804077,0,0,-0.138689605150702,0.0719141424088308,0.16147730136979,0,0.0184382562757003,0.0912104053601143,0.163294691006656,0,0,0,0,0,0.29714123575531,0,0,0,0,-0.0261583620118285,0,0,0,0,0.117230469695829,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,-0.0362847894409746,0,0,0,0,0.103952413668008,0,0,0,0,0,0,0,0,0,0,0,0,0.170652421620543,-0.0123000063952142,0,0,0.010294395053916,0,0.201504593466368,0,0.322724450311539,0,0,0,0,0.289616641484307,0,0,0,-0.153715854008332,0,0,0.104564454453975,0,0,0,-0.158292788411367,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692537021167589,0,0,0,0,0.0762933204977546,0.207470393621619,0.1185120003031,0,0,0.345864494849446,0,0,0,0,0,0,0,0,0,0.0379774784573408,0.00932340434943245,0,0.0769097665309763,0,0,0.255653024778083,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0646106567043605,0,0,0,0,0.0307815926722445,0,0,0,0,0,0,0,0,0.0875464598447722,0,0,0,-0.0879330607418967,0.156315135234027,0.239961859880128,0.281426321919068,0,0,0,0.0259157143024043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650802759840113,0.134676028510906,0,-0.0751583933065429
X5880.TT.EQUITY,0,0,0.0290318827329602,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0793269402582711,0,0,0,0,0,0,0,0,-0.035233714518202,0,0,0,0.700598533975065,0,0,0,0.0686229799233496,0,0,0,0,0,0.0164334274336147,0,-0.0540864698749613,0,0,0,0,0,0,0,0,0.0440805447195335,-0.0747318007203421
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290196048636038,0,-0.0118196249134501,0,0,0,0,0.0364391290877583,0,0,0.0481224117981616,0,0,0,0,0,0,0,0,0,0.159520022259916,0.45745752468753,0.0169296360631934,0,0,0,0.185995187422241,0,0,0.00359780226489254,0.0635258122337609,0,0,0,0,0.0285586357130523
X600837.CH.EQUITY,0,0,0,0,0.137403502516925,0,0.0558592458007861,0,0,0,0,0,0,0,0,0,0,-0.042163690350026,0,0,0,0,0,0.0425503581501049,0,0,0.00833568787698652,0,0,0,0.0421684431732822,0,0,0,0.131702222057769,0,0.758018830931589,0,0,0,0,0,0,0,2.16840434497101e-19,0.0263490444440853,0,0,0,0,0
X601211.CH.EQUITY,0,0,0.10178189545385,0,0,0,0.0228698235176059,0,0,0,0,0.0413730388121678,0,0,0,0,0,0,0,0.147599231668476,0,0,0,0,-0.0450137307673549,0,-0.0307479960628671,0,0,0,0,0,-0.0897774457360503,0,0.153989296419179,0.260598220639542,0,0.425904018799391,0,0,0,0,-0.0869805607569576,0,0,0,0,0,-2.16840434497101e-19,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0270865232546748,0,0.0318480977075967,0,0,0,0.199116912114601,0,0,0,0,0,0,0.0285459231611938,0,0,0,0,0,0,0,0,0,0,0,0.467975898021987,0,0.285252007892554,0,0,0,0,0,0,0,0,0,0,0.0156097629636492,0,-0.0263150719876444,0
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378703023948977,-0.11152622605321,0,0,0,-3.46944695195361e-18,0,0,-0.0498473664360916,0,0,0,0.175859284493125,0,0.39144059689581,0,0.156500757686372,0,0,0,0,0,0,0,0,0,0,0,0.170264342713241,0.048952889244535,0,8.67361737988404e-19,0,0
X601318.CH.EQUITY,0.191613007851375,0.162796916248901,0,0,0.00130915620216142,0,0,0,0.0331942797318959,0,0,0.0953426887043777,0,0,0,0.0449992231432594,0,0,0,0,0,0,0,0.0656559158212794,0,0,0,0,0,0,0,0.0384913753364462,0,-0.0389097211798669,0.0124034503832891,0,0,0,0,0,0,0,0,0.0781324954541091,0.200437258392515,0,0,0,-0.0816788191314956,0,0.162799910390855
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.114654328085355,0.0992262840675372,0,0.037023266183325,0,0,0,0.211488854354927,0,0,0,0,0,0,0,0.320250569811514,0.134560323828956,-0.0411832645698104,0,0.0619755303789738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130056750067616,0,0.0993809699286885,0,-0.222936475170954,0,0,0,0
X601336.CH.EQUITY,0,0.0977695951076895,0,0.48881191887477,0,0,0,0,0,0,0,0.0078440077945001,0,0,0,0,0,0,0,0,0,0,0.0328275022925376,0,0.109853143004067,0,0,0,0,0,-0.0135954486329536,0,-0.0486627771034805,0,0.128476712657951,0,0.0382531745881869,0,0,0,0,0,0,0.0903377151963916,0,0,0,0,0,0,0.114058853960364
X601601.CH.EQUITY,0,0.0711468813636055,0,0,0.176095917826896,0,0,0,0,0,0,0,-0.077460355736111,0,0,0,0,0,0,0,0,0,0,0,0.0719962673313741,0,0,0,0,0,0,0,0,0,0,0,0,0.0788046495527584,0,0,0.0371523390042197,0.147294701398585,0,0.337389450026129,0.0802339541164809,0,-0.129769016409939,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.145091129147287,0,0,0,0,0,0,0,0,0,0,0.366714745071533,0,0,0,0.028299337366606,0,0,0,-0.0367388966876167,-0.375565236379541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443699810586899,0.260513331798257,0,0,-0.0993097443656395,0,0.253106693151387,0,0,0
X1299.HK.EQUITY,0,0,0,0.124146247781799,0,0,0,0.173504363113192,0,0,0.0806606676432385,0,0,0,-0.323012139414964,0,0,0,0,0,0,0,0,0.071124357025409,0.0597462209006328,0,0,0,0,0,0,0,-0.0827377778859776,0,0,0.350987937762146,0,0,0,0.133029249537718,0,0.132394504323051,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.0323292485220338,0,0,0,0,-0.145068449612735,0,0,0,-0.108678920193797,0,0,-0.0868389685232453,0,0,0,0,0,0,0,0.0814800516019209,0,0,0,0.0654779586384699,0.253441489799055,0,0,0,0,0,0,0.164066331891834,0,0,0,0,0,0,0,0.290700627092954,0.114964670318385,0.012988884942173,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530637156842357,0,-0.0389593770684025,0,0,0,0,0,0,0,0.0839310740547594,0,0,0,0,-0.106246253278377,0,0,0,0,0,0,0,-0.0913536898679116,0.403320611261631,-0.237687018260988,0,0,-0.117516662967227,0,0.302950815533891,0,0.680073637417312,0,0,0
X2883.TT.EQUITY,0,0,0,0,0.0721064191776932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130656693622284,0,0,-0.00263045790512032,0,0,0.118089469067834,0,-0.139869787027009,0.203807997820744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307938613677042,0,0.546642466136247,0,0.0230572378700211
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796912903382662,0,0,0,0,0,0,0,0,0.279890873830411,0.00891163837139131,0.0740910834052853,0,0.181210547945811,0,0,0,0,0.0609526111821845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291381098723391,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15500196059691,0.0589073085987112,-0.156970468599968,0.273504734233701,0.123425934450857,0,0,0,0,0,0.0436766801140686,0.13694364407294,-0.0643806480531213,0.504065226541995,0,0,0,0,0,0.0309357463004841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133544656106469,0,0,0,0,0,0,0,0,0,0.179667880381345,0.16940810055943,0.237394871688857,0,0,0,0,0,0,-0.13131147815059,0,-0.270044387643764,0,0,0,0.182369447037752,0,6.93889390390723e-18,0,0,0,0.443386717763616,0,0,0,-0.43496951469673,0
