,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601998.CH.EQUITY,0,0,0,0,0.0289023579891881,0,0,0,0,0,0,0.0749027930747668,0.169066160107305,0,0.137640022491567,0,0,0.0444930145079064,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.12784951773646,0,0,0,0.0904869638128359,0,0,0,0,0,0,0,0.237841443606882,0,0.325560033073431,0,0
X267.HK.EQUITY,0.0561205693302332,0,0,0,0,0,0.0601549455102122,0,-0.0645682893526872,0.0581146779778423,0,0,0,0,0,0,0,0,0.310849041516905,-0.165657160804565,0,0,0,0,0,0,0.142787742170976,0,0.0245692350158614,0,0,0,0,0,0,0,0,0,0,-0.0871329251853717,0.226417386892049,0,0,-0.0147816763568411,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000891892112565317,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.360216809400505,0,0,0,0,0,0,0,0,0,0,0,0.286379900515603,0,0,0,0,0.0103190716100091,0,0.100683222880692,0.0514118614955594,0.163478858513877,0,-0.0108433195595433,0,0,0,0,-0.163306292707063
X2007.HK.EQUITY,0,0,0,-0.177687465717453,0,0,0,0,0,0.0514415977251452,0,0,0.0684314457335954,0,0,0.0759269851314263,0,0,0.0955022886683446,0,0,0,0,0,0,0.384902492685903,0,0,0,0,0,0,0,0.152232587105484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18
X601818.CH.EQUITY,0,0,0,0.220580873513359,0,0.353559438109341,0.42277869956785,0,0,0,0,0,0,0,0.155518845387612,0,0,0,0,0,0,0,0,0,0,0.33345003746184,0,0,0,-0.179422136056065,0,0,0,0,0,-0.104968156048554,0,0,0,0,0.51721493369807,0,0,-3.46944695195361e-18,0,0,-0.498186403741645,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0772823682297547,0,0,0,0,0,0.152870309573326,0,0,0,0,0.233368641786377,0,0,0.324347316049083,0.0531579984003655,0,-0.052275568213234,0,0,0.107539568213968,0.0161487654328511,0,0.136137940460835,0,0,0,0.102773621260051,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0.0898335976279714,0,-0.0680955436995154,0,0,0,0,0,-0.0795919094916411,0,0,0.0321959583818821,0,0.186546639643876,0,0.257391357202564,-0.0162251002196463,0,0,0,0,0,0,0,0,0,0,0,0.163863399827622,0,0,0,0,0,0,0.29430783079317,-0.200217296511631,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.217801729316614,0.00596007609012831,0,0,0.0162123427228467,0.0171303093017788,0.140049959662189,-0.119315565979253,0,0.0350793962848089,0,0,0,0.129037196021341,0,0,0,0,0.194439419906728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193472237290068,0,0,-0.208722576920407,0,0.197832872040062
X12.HK.EQUITY,0,0,0,0,0,-0.299872806208674,0,0.448114578053524,0,0,0,0,0,0,0.00921492463521253,0,0,0.134363465062976,0,0.0758210407284571,0,0,0,-0.0845808189912635,-0.266880152921335,0,0,0,0,0,0,0,0,0,0.304276197542309,0.361856152525767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0613109403176986,0
X601688.CH.EQUITY,0,0,0,-0.246248183424718,0,0,0,0,0,0,0,0,0,-0.0248575074809651,-0.132616815464117,0.0443160612417169,0.14280625640184,0,0,0,0,0,0,-0.0409008228829055,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.0997688869979459,0,0,0.486639600148741,0,0.14245170347106,0,0,0.067153559524277,0,0,0,3.46944695195361e-18,0,0.257950405966945,0,0
