,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601166.CH.EQUITY,0,0,0,0.241193479086798,0,0,0,0,0,0,0,0.285186101540253,0,0,0.0304642311749206,0,0,0,0.0133397076161908,0.168417075267175,0,0,0,0,0,0,0,0,0.122902460868752,0,0.0384820041315046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.541125060316726,0,0,0,0,0,0,-0.0437734543116724,0,0,0,0,0,0,0,0,0,0,0,0.257156045044026,0,0,0.101512580990986,0,0.0489249372617604,0,0,0,0,0,0,-0.00838280140181455,0,0,0,0,0,0,-0.298468091716634,0,0,-0.123511230408691,0,0
X601601.CH.EQUITY,0,0.109635900468015,0,0,-0.0173991893629884,-0.11936303507183,0.0198778991695197,0,0.572102538712972,0,0,0,0,0.0353624561706763,0,0,0,0,0,0,0,0,0,0.0248656044669625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212908778670155,0
X601319.CH.EQUITY,0,0,0,-0.0624724128434696,0,0,0,0,0,-0.0841637130867365,0,0,0.282069007792748,0,0,0,0,0,-0.105789243373963,0,0,0,0,0.13215872374052,0,0,0,0,0,0,0,-0.0594179897256618,0,0,0,0.374816093712117,0,0,0,0,0,0.152749964535085,0,0,0,0,0,0,-0.0832688719415274,0
X000002.CH.EQUITY,0,0,0,0,0.296840447048586,-0.0877272800930074,0,0,0,0,0,0,0.223583932562039,0,0,0,-0.365542833869109,0,0,0,0,0.30016527184379,0,0,-0.0874882350731428,0,0.321378177456191,0,0,-0.0756103987252303,0.443674006607012,0,0.0259186888687432,0,0,0,0,0,0,0.0728164874165701,0,0,0,0,0.249190452021651,0,-3.46944695195361e-18,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,-0.026354857449138,0.0977581865859013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198423065676563,0,0,0.0218436552507279,0.145085098979131,0.168430432017255,0.32461082285076,0,0,0,-0.0714439054204553,0,0,0.305845201805941,0,0,0,0.0696755823412111,0,0.0741530561004016,0,0,0,0,0
X11.HK.EQUITY,0.187014674402443,0,0,0,0.405533768313749,0,0.046698480206307,0,0,0,0,0.1389637670486,0.131282565567118,0,0,0,0,0,0.0879770877284791,0,0,0,0,0,0,0,0,0,0,0.0715569698126954,0,0,0,0,0,0,0,-0.0529279070893113,0,0.0829445850838108,0,0,0,0,0.161169488138329,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.150597008450438,0,0,0.0416915934084438,0,0,-0.0923910212873151,0,0,0,0,0,0,0,0.246593179417742,0.0440477366489951,0,0.147728555024172,0,0.0731528473483385,0.232838581388391,0,0,0,0.148969044037522,0,0,0.111596498104849,-0.163535642000022,0,0,0.0766608444507754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,-0.0647911031633453,0.0315453262195055,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.137728594562139,0,0.463247522357115,0.0921152008909825,0,0,0,0,0,0,0.29806036450245,0,0.159270631838831,0,0,0.136853685924358,0.0740357498651396,0,-0.0149469142391469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.022873542102135,0,0,0.137414885289665,0,0,0,0,0,0,0.103965668444644,0,0.103745341587522,0,0.0232092985729176,0.321921329597269,0,0.143059715645659,0,0.00293277305690052,0,0,0,0,0.0562825036123056,0,0,0,0,0,0,0,0,-0.198901264057064,0,0,0,0,0
X600030.CH.EQUITY,0.0317316258297556,0,0,0,0,0,0,0,0,0,0,0,0,0.0261791433507631,0,0,0,0,0,0,0,0.060254507370085,0,0,0.0268551569588135,0,0,0,0,0,0,0,0,0,0.0847293851035149,0,0.448837555649593,0,0,8.67361737988404e-19,0,0.00768775876910071,0,0,0,0,0.449105166474273,0,0,0
X000001.CH.EQUITY,0,-3.46944695195361e-18,0,0,0.0245694173740701,0.0221113757825282,0,0.289835328431121,0,0,0,0,0,0,0,0,0,0,0,0,0.201267554175547,0,0,0.0365602617386709,0,-0.341636454341372,0,0,0,0,0,0,0,0.00952761377728271,0,0,0,0,0.0469245434965356,-8.67361737988404e-19,0.455345137829138,0,0,0.0946125792802085,0,0,0,0,0,-0.0433307940877309
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.103040774930292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502907990118873,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0.028742970306121,0,0,0,0,0,0,0.0736487712741251,0,0.168311366947537,0,0.137075648527433,0,0.0438028458096343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129195843780401,0,0,0,0,0,0.0907924864835917,0,0,0,0,0,0.236644978275425,0,0.323455569999333,0,0
X267.HK.EQUITY,0.0548034667216761,0,0,0,0,0,0.138062394254023,0,0,0.0657610418251746,0,0,0,0,0,0.0109840135025391,0,6.93889390390723e-18,0.271697812723161,0.0949337929957356,0,-0.153702560288037,0,0,0,0,0.0559980298290634,0,0.0574744896451514,0,0,0,0,0,0,0,0,0.261205847732107,0,0.032108718166935,-0.17276091140418,0,0,-0.0969380533311457,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.000838285936900243,0,0,0,0,0,0,0,0,0,0.342611723538615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274853566770983,0,0,0,0.0954169138919787,0.00977823251218858,0,0,0.0481326137354831,0.154830959394815,0,-0.0102107656115337,0,0,0,0,-0.154452440445699
X2007.HK.EQUITY,0,0,0,-0.171178185266157,0,0,0,0,0,0.0510694351440053,0,0,0,0.0901374008539951,0.0823598802652505,0,0,0,0.101278527325401,0,0,0,0,0,0,0.400345729218285,0,0,0,0,0,0,0,0.151842473363076,0,0,0,0,-0.00411901015236718,0,0,0,-0.0205676032719002,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.236269006838617,0,0.277528326645554,0.421229297484933,0,0,0,0,0,0,0,0,0.169075558603755,0,0,0,0,0,0,0,0,0,0.314202911653087,0,0,0,-0.199813707009896,0,0,0,0,0,-0.0732119628141527,0,0.461135987034412,0,0,0,0,0,0,0,0,-0.442900517600081,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0771751923049188,0,0,0,0,0,0.152965278814002,0,0,0.234579323982765,0,0,0,0,0.324700243883775,0.0561786771009057,0,-0.0524680213546382,0,0,0.107699655632446,0.0159728844412685,0,0.13807562116028,0,0,0,0,0,0.103500584438268,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0.0945517058085669,0,-0.0671874648080222,0,0,0,0,0,-0.0880667503305368,0,0,0,0.042218651122747,0.198253022941625,0,0.250559816847079,0,0,-0.0190168147075735,0,0,0,0,0,0,0,0,0,0.1652234302,0,0,0,0,0,0,0.281216307488356,0,-0.193512012556867,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.222540936369658,0.00362100138231363,0,0,0.0240212661202219,0.027685215628056,0.156544640088701,-0.0930754927925112,0,0,0,0.0196175182772222,0,0.138325558136144,0,0,0,0,0.159761948121899,0,0,0,0,0,0,0,0,0.0318686966072493,0,0,0,0,0,0,0.220035259295406,0,0,-0.242767785265117,0,0.188373168373329
X12.HK.EQUITY,0,0,0,-0.101072873086865,0.0868514749152914,-0.337777581634853,0,0.311896321417909,0,0,0,0,0,0,0,0.0986634405125086,0,0.0345253413276171,0,0,0,0.216268360485474,0,-0.12104292355492,-0.192148409515547,0,0,0,0,0,0,0,0,0,0.341007648837485,0.372517540568015,0,0,0,0,0,0,0,0,0,0,0,0,-0.0745410769288238,0
X601688.CH.EQUITY,0,0,0,-0.245368857784261,0,0,0,0,0,0,0,0,-0.0188861784072008,0,0.0898473749014995,-0.157698327453321,0.173704102612261,0,0,0,0,0,0,-0.129643364705132,0,0,0,-0.00427892837278848,0,0,0,0,0,0.00890948499986447,0,0,0.463020937010468,0,0.197463595308157,0,0,0.0864434988859464,0,0,0,0.0635786925829817,0,0.330272530509802,-0.0203799107770925,0
X001979.CH.EQUITY,-0.222750959960381,0,-0.154137974691978,0,0,-0.0982648193208564,0,0,0,0,0,0,-0.246794783212929,0,0,0,0,-0.154944708618573,0,0,0,0.187411655325041,0,0,0,0,0,-0.0615564396500085,0.0333509194691778,0,0.359119006259836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132751546149707,0.331333744516721,0.255257148451802,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,-0.000371274401867296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829280680573788,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.045405587479179,0.0920897972823518,0.133980693481002,0,0,0,0.269926486928298,0,0,0.00368513184046866,0,0.317408376872676,0,0,0.0362988442528391
X601336.CH.EQUITY,0.0176983099238744,0,-0.243157649885588,0,0,0,0,0,0.280685557881834,0,0,0,0.021217052232066,0.176265449378929,0,0,0,0.187969533633703,0,0,0.0591932464910726,0,0,0,0,0,0,0,0,0,0,0.0862103338713802,0,0,0.122854329503251,0,0,0,0,0,0.237847092513566,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0.00528850916806979,0,0,0,0,0,0,0,0.207131189195031,0,0,0,0,0,0,0,0,-0.059562956845798,0,0,0.177742540295063,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0769871291108566,0,0.00275284208663654,0,0,0.135545460012754,0,0,0,0.132512153758557,0.0507544595690034,0,0,0,0,0.176319619269333,0,0
X601066.CH.EQUITY,8.67361737988404e-19,0,0,0,-0.214324830737823,0,-0.261630352679547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428967293817915,0,0.0359450293022603,0,0,0.0782022257026439,0,0,0,0,0,2.16840434497101e-19,0,-0.36556279207915,0,0.230053369384056,0,0,0.0108686772861877,0.0478555737547669,0,-0.0590457807575943,0
