,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,TED,RealEstateDiff
X601916.CH.Equity,0,0,0,0,0,0,-0.0435733270716449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267659873804794,0,0,0,0.0775859841741122,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0812537840447298,0,0,0,1.22969962089764,-0.347771401386883,0,0,0,0,0,0.22959265286118,0,-0.220245447368256,0
X601077.CH.Equity,0,0,0,0,0.041442992949166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09234773444006,0.259364792863928,0,0.0853048681477754,-2.16840434497101e-19,0,0,0,-0.0566174769665163,0,0,0,0,0,0,0.194009064034165,0,0.0316189464271959,0.195516590772734,0,0,0.0446383685200338,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,-0.096434160482315,0,0,0.115715604986135,-0.114605195270892,0,0,0,0,0,0,0,-0.0709676810514591,0,0,0,0,0,0,0,0.00765629723187282,0.203006474391157,0,0.287997354705386,0,0,0.0558674002894092,0.121894237289147,0,0,0,-0.530354591307912,0,0,0,0,0,0.10797214894029,0,0,0,0,0.0432343528638469,0,0.0300048081996368,0.0745402869140013,0,0.0438881426752367,0.127918543918896
X2880.TT.EQUITY,0,0,0.0806205898728954,0,0,0,0,0,0,0,0,0,0.0348429802835917,0,0,-0.186701143956183,0,0.0253047231307478,0,0,0,0,0,0,0,0,0,0.462452114611826,0.166183149438512,0,0,0.209514742585074,0.12958142123478,0,0,0,0,0,0,0,0,0,0,0,0.164082523613144,0,0,0,0,0,0,0
X2884.TT.EQUITY,0.0678016761076735,0,0.0245716067425959,0,0,0,0,-0.146490263980988,0,0,0,0,0,0.0142686343982758,0,0,0,0.147657053990079,0,0,0,-0.0238841412552191,0,0,0,-0.0389035040552215,0.7520216839275,0,0,0,0,0,0,-0.0575297062109627,0,0,0,0,0,0,0,0,0,0,-0.286986740426773,0,-3.46944695195361e-18,0.0794406377617847,0,0,0.0431857032699055,0
X2886.TT.EQUITY,0,0,0,0,0,-0.102352562082864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168523885516773,0,0,0,0,0,0.432371609675016,0,0,0,0,-0.103247163185685,0,-0.234921416072966,0,0,0,0,0.157580932796601,0,0,0.073716797571955,0,0,0,-0.305495480285635
X2887.TT.EQUITY,-0.0629262940064021,0,-0.0570096337770966,0,0,0,0.0833777886096672,0,0,0,0,0,0,0,0,0,0,0,0.114028352533664,-0.519764960420833,0,0,0,0,0.0386108766408768,0,0,0,0,0,0,0.218609025606807,0,0,0,0,0,0,0,0.0323075463915658,0,0,0,0,0,0,0,0.112144105460667,0.59007552877541,0.520204991786944,0,0.0203814332394899
X2891.TT.EQUITY,0,0.0853141565454495,0,0,0,0,0.147459383299849,0,0,0,-0.114982421893733,0,0,-0.0629987865585911,0,0,0,0,0,0,0,-0.0123866344606143,0,0,0,0.148098541909414,0,0.315283274258358,0,0,0,0,0.251405834583034,0.023342206054447,0,0,0,0,0,0,0,0,0,0,0,0.0450543655356916,0,0.346493692293412,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0.0804981474460292,0,0,0.0010247875315808,0,0,0,0,0,0,0,0,-0.211150548085757,0,0.00795536692043221,0,0,0,0.051596934119493,0,0.254842555227524,0,0,0,0.186656620204898,0,0,0.228774603022827,0,0,0,0,0,0,0,0,0,0,0,0.119333322077896,0,-1.73472347597681e-18,0,0.130492231398689,0,0.149710239267621,0.0821507218004468
X5880.TT.EQUITY,0,0.0526733407399972,0,0,0,0,0,0,0,0,0,0,0,0,-0.108893062595468,0,0,0,0,0,0,0,0,0.0242102021775522,0,0.059527296986449,0,0,0.0540559214589197,0,0.181064337453202,0,0,0,0,0.0290429304089947,0,0,0,0.717677269588076,-0.0437628308149719,0,0,0,0,-0.178248048132146,-0.0900208055064842,0,0,-0.0523203480019455,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0.101567923534723,0,-0.115226830489477,0,0,0,0,0,0,0,0,0,-0.115416111787583,0.2846929231759,0,0,0,-0.219228383477947,0,0,0,0,0,0.249368218145399,0,0,-0.0173692003567758,0,0.143380142078783,0,0,0.0659966772511851,0.597640950518426,0,0,0,0,0,0,0,0,0,0,0,0.361390369649804,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00963445724546126,0,0,0,0,0,0,0,0,0,0,0,0,-0.0654324665776753,0.301465916318464,0,0,0,0,0,0,-0.0610408813880111,-0.012083886253878,0,0,0,0.238589096631001,0.242106312998334,0.131668487961275,0,0,0,0,0,0,0,0,0,0,0,0.0473756791478882,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0791133071492395,0.0958297594438092,0,0,0,0,0,0,0,0,0,0,0,0.00843791158744489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14816858023028,0,0.0967288229345445,0,0,0.160637217060018,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0.036876111240272,0,0,0,0,0,0,0,0.19751666372839,0,0,0,0,0,0,0,0,0,0,0,0,0.0387477983293888,0.234865786880182,0,0,0,0,-0.0230471629860795,0,0,0,0,0,0.355021936797815,0,0,0,0.083140596185887,0.0337654870699141,0,0,0,0,0,0,0,0.061383095775105,0,0,0,0
X601211.CH.EQUITY,0,0,-0.138732910030543,0,0,0,0.3999851053921,0,-0.419878400909727,0,0,-0.0555902232469547,0,0,-0.152084249503666,0,0,0,0,0,0,0,0,0,0.0118578337111045,0,0,0,0,0,-0.0456959617726667,0,0,0,0.445221233402281,0,0,0,0.553240890033893,0,0,0,0,0,0,0,0,0,0.0982989342087513,0.226146059201959,0,0
X601688.CH.EQUITY,0,0.0350988438095921,0,0,0,-0.199157650196917,0,0,0,0,0,0,0,0,0,0,0,-0.0993905475580889,0,0,0,0,0,-0.022685617707073,0,0,0,0,0,0,0,0,0,0.154452606744623,0.149985202980268,0.0937866198663547,0.0223746756229746,0.355413828412281,0,0,-0.0304345558055055,0,0.369719391571553,0,0,0,0,0,0,0.268402356417068,0,-0.0264711902219277
X2885.TT.EQUITY,0,0,0,0.69420760308003,0,0,0,-0.100499476469446,0,0,0,0,0,0,0,-0.0269871782414435,0,0,-0.179547866069075,0,0,0,0,-0.0533424302047103,0,0,0,0,-0.290039032124961,0,0,0,0.613762506670056,0,-0.164563341889629,0,0,0,0,0,0.040538313819894,0,0,0,0,0,0,0,0,0,-0.0496358778805334,0
X601318.CH.EQUITY,0.074300243762192,0,0,0,0,0,0,0,0.0927195988901138,0,0,0,0,0,0,0,0,0.00549186472644995,0,0,0.0556566421715036,0,0,0,0.200987083875608,0.159551705722405,0,-0.0714482367023909,0,0,0,0,0,0,0,0,0,-0.0833814085270999,-0.0610505869004139,0,0,1.73472347597681e-18,0,0.209997141589552,0.251456351000072,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0.166216935300462,0,0,0,0.31295249998785,0.0863747601730951,0.0443490311273076,0,0,0,0,0.0702607623312258,0,0,0,0,0,0.0498839227537795,0,0.195665460440379,0,0,0,0,0,-0.0122546474713031,0,0,0.0499100111000127,0,0,0,0,0,0,0,0,0,0,0.130820414336694,0.264821487678573,0.183994163189451,0.0910624466408484,0,0,0,0,0.0604827749047131
X601336.CH.EQUITY,0,0.16058201002129,-0.00293688428211403,0,0,0,0,-1.73472347597681e-18,0,0,0.0564137604184252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148550299391065,0,0,-0.0274206677912588,0,0,0,0.128782520915053,0,0,0.0682266845174523,0,0.352172056962138,0.289284053876965,0,0,0,0,0,-0.00182915205774698,-0.0996096962365105
X601601.CH.EQUITY,0.0370700687691227,0,0,0,0.0401678328371979,0,0,0,0,0,0,0,0,0,0,0.0223567276170075,0,0.0559205374907223,0,0,0,0,0,0,0,0,0,0,0,0.0287697170077601,0,0,0,0,0,0,0,0.109303290576185,-0.0160965097626432,0,0.282608073553552,0,0.358247202267083,0,0,0,0,0,0.144101895156926,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0546067084521295,0.032289362289367,0,0,0,0,0,0.0276923917019444,0,0,0,0.166309869351191,0,0.0870950682493102,0.0339994324467865,0.0486626300934777,0.0751112761694731,0,0,0,0,0,0.065042507978719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274634888180061,0,0,0,0,0,0,0,0,0,0.0729641942866227
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286547300141989,0,0,0.00856080139282021,0.00419349527022094,0,0,0,0,0.0116626155376001,0,0,0,0,0,0,0,0,0,0,0.0562664621749152,0,0,0,0,0.802278399100934,0,0,0.0583054756327758,0.0368222012990979,0.00927774917736879
X2882.TT.EQUITY,0.0921301213651969,0,0,0.0307177571680121,0.00793375654160716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161161071923333,-0.0314923817714228,0,0,0,0.290755846207064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200369575169581,0,0,0,0.500553396969521,0,0,0.134614516641891,0,0,0.104260217498721
X2883.TT.EQUITY,0,0,0,0,0,0,0,-0.125190432460137,0,0,0,0,0,0,0,-0.111073649536174,0,0.106072414666244,0,0.230497515348274,0,0,0,0,0,0,0,0,0,0,0.330091243416925,0,0,0,0,0,0,0,0,0.0344552789460968,0,0,0,0,0,0.319176701274631,0,0,0,0.071659055777936,0,0
X2888.TT.EQUITY,-0.0152353077496854,0,0,0,0,0,0,-0.0531257604173064,0,0,0,0,0,0,0,0,0.0789845895685094,0,0,0,0,0.471022390247773,0,0,0,0.305888095904946,0,0,0,0,0,1.73472347597681e-18,0.29529156631169,-0.0397385565107,0,0,0,0,-0.0446396454101331,0,0,0,0,0,0,0,0,0.396668131652302,0,-0.047041673777365,-0.115771867059091,0
X000002.CH.EQUITY,0,0,0.0483269644923466,0,0,0.395593581846631,0.212993718197893,0,0,0,0,0,0,-0.0618500836266025,0,-0.160426654677876,0,0,0,0,0.346531470433353,0,0,0,0,0,0,0,0,0,-0.221731441760135,0,0,0,0,0,-0.289065808466866,0.332742817919212,0,0,0,0,0,0,0,0,0,0.117563042626954,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220549932885066,0,0,0,0,0,-0.050536453172688,0,-0.142463550017236,0,-0.215544917591082,0,0,0,0,0,0,0.0585797751791716,0,0,0,0.345487638935445,0,0,0,0,0,0,0,0,0,0,0.660390070430346,0.219216514479893,0,0,0,-0.178281302989374,0,0
