,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601336.CH.EQUITY,0,0.0722082202413833,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.14829723691014,0,-0.0369441693851119,0,0.0870513435283683,0,0.227467637163509,0,0,0,0,0,0,0,0,0,0.652538943553691,0,0,0,0,0.189810242227011,0,0,-0.134394532062001,0,0,0,0,0.0894711589881735,0
X601601.CH.EQUITY,0,0.343329196938914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056283699677842,0,0.0327098583366054,0,0,0,0,0.398110244956021,0.123220848372244,0,0,0,0,0,0.103180642395562,0,0.00700239212430195,0.0541175381067261,0,-0.0542638962930281,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.00110254171322592,0,-0.0409189553283645,0,0,0,0,0,0,0,0.0265245207822246,-0.0379399277350132,0,0,0,0,-0.0533446990786601,0,0,0,0,0,0,0,-0.0928114791915634,0,0,0,0,0,0,0.0994718828948375,0.181421592944556,0.421034613872884,0.204769161312755,0,0,0,0,0,0,-0.015711280040095,0,0,0.0577469075087175,0
X1299.HK.EQUITY,0,0.00431665541545411,0.354422942872382,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0704111296488286,0,0,0,0,0,0,0,0,0,0,0.040357813816655,0,0.0414101614108384,0,0,0,0,0,0.0636015301428087,0,0,0,0,0,0,0.00805169578609911,0,0,0.165508250791655,0.0133922235638088,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0.0261228776206069,0,0,0.180016734724249,0,0,0,0,-0.071471206976879,0.10762120169181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202173371074129,0,0.0281968998450944,0,0,0,0.0448151030539412,0,0,0,0,0,0,0,0,0,0,0.0165563695857436,0,0.494478835408209,0,0.0444789693674969,0,0.0282852630725667,0
X2882.TT.EQUITY,-0.129056795229477,0,0,-0.0295537430899846,0,-0.0551965859326697,0,0.0504298667301787,0,0,0,0,0,-0.0329948260738414,0,0,0,0.109457849689259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035268550002232,0,0,0,0,0,0.121056144032636,0.528264202798071,0,0.28633374326433,0,0,0.106566428867949,-0.0870300228960825
X2883.TT.EQUITY,0.0281832844611287,0,0,0,0,0,0.0602433431966572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293285852195792,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.547901840637654,0,0,0.0764707617164506,-0.0569200331432685,0.168101115357803
X2888.TT.EQUITY,0,-0.0432548124975086,0,0,0,0.187876034156506,-0.159992121200227,0,0,0,0,0,0,0,-0.0375561124050141,0,0,0.0884388523978993,0,-0.0586929602895059,0,0.0803225251248999,0,0,0,0,0,0,0.230847033285907,0,0,0,0,0,0,0,0,0,0.129846021532828,0,0,0,0,0,0,0.448727892992376,0,0,0,0,-0.292711531953526,-0.0264529861992926
X267.HK.EQUITY,0,-0.12354946992522,0,0,0,-0.0580761703317029,0,0,0,0.833677730104212,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.134214736684466,0,0,0,0,0,0,0,0,-0.0752436482976715,0,-0.115727485575601,0,0,0,0,0,0,0,0,0.186360867187629,0,0,0,0.194328915363084,0,0,0,0,0,0,0
TED,0,0,0,-0.173629604266025,-0.224004783964195,0,0,0,0.225222067234548,0,0,0.0995700167913901,0,0.0660737208149651,0,0,0.0416944556875295,0,0.026527270649379,0.107081125051432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118363079053052,0,0,0,0,0,0,0,0,0,0,0,0,-0.167583198544672
RealEstateDiff,0,0,0,0,0,0,0,0.111489951921623,0,0,0,0,-0.0194486966754946,0,-0.0441807382726868,0.123891373276804,0,0,-0.142584722519809,0,0,-0.356575633125657,0.190953199974547,0.302494321851117,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0471150065525039,0.0986753067200787,0,0,0,-0.115574777498615,0,0,0,-0.257324946670358,0,0,0,0,0,0,-0.0981478495202032,-0.251043970858213,0
