,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X601328.CH.EQUITY,0,0,0,0,0.166258079361515,0,0,0,0,0.0492893058207373,0,0,0,0.149230070412006,0.321874567510869,0,0,0,0,0.0852218757354942,0,0,0,0.171379945333237,0,0,0,0,0,0,0,0,0,0,0,0,0.0342594536544874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0124511191349181,0,0,0,0,-1.0842021724855e-19,0.00840350146833803,0,0,0.483341731654184,0.43685297697411,0,0,0,0,0,-0.203688598614375,0,0,0,0,0,0.224123549720033,-0.0504049095198445,0,0,0,0,0,0,-0.100543087438476,0,0,0,0,0,0,0,-0.0594439800314654,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.164325926072343,0,0,0,0.149709447503786,0,0,0,0,0,0,0.19085815287485,-0.0272895732493875,0,0,0,-0.0628193514699287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246524274736132
X601939.CH.EQUITY,0,0.0672508042050135,0,0,0,0,0,0,0.0160470651503667,0,0.068464738874029,0.136462306645462,0.405530680622185,0,0,0,0,0,0,0,0,0,0,0,0.0922175028255648,0,0,0,0,0,0,0,0.00887409600396509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122976664772554,0,0,0,0
X601988.CH.EQUITY,-0.0215073856203702,0.0582916047251261,-0.145939515924557,0,0.232517589720062,0,0.160023822585623,0,0,0.373550574708645,0,0.195706679283271,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00803642772980199,0,0,0,0,0,0,0,0.116916458286506,0,0,0,0,0.0261678210574317,0,-0.0573013001285544,0,0,-0.0204707476507985,0,0,0,0.116966846537983,0,0.114304957487815,0,0,-0.0157432620835159,-0.0508980985008786,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0.183268861858583,0.141366728335694,0,0,0,0,0,0,0,0,0,0.118340449210162,0,0,0,0,0,0,0,0,0,0,0.230107417072211,0,0,0,0,0,-0.264109752677115,0,-0.180024189219216,0,0,-0.0957752999363876,0,0,0,0,0,0,0.428635678264402,0,-0.2500548825516,-0.108517646850387
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0834914662580471,0,0,0.282013864938688,-0.231961878622737,0,0,0,0,0.312287424320762,0.19270218530252,0,0,0,0,0.0736671346715223,0,0,0.0777611910232211,0,0,0,0,0,0,0.255317006125139,0,-0.163314455267296,0,0,0,0,0,0,0,-0.0693865208789583,0,0,0,0.0334433849397798,0,0,6.93889390390723e-18
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.024433678560587,0,0,0,0.202796717066425,0,0.512128706843531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214231949958037,0,0,0,0,0,0,0,0,0.104195595437584,0,0,0,-0.0323400922509687,0.309872850521047,0.0554812282005987,0.0977396035211384,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.104286039935467,0,-0.064573919138509,0,0,0,0.236858170484969,0,0.520858877412207,0,-0.0467525950392157,0,0,0,0,-0.040673655842169,0,0,0,-0.0561780848797464,0,0,0,0,0,0,0.14869820601665,0.133641539642944,-0.08058132450177,-0.164912729601529,0,0,0.14982835455178,0,-0.252833205547571,0,0,0,-0.122624203361598,0,0.0444046711543227,0
X000166.CH.EQUITY,0,-0.0373085382823961,0,0,0,0,0,0,0,0,0,0.104461097213432,0,0,0,-1.35525271560688e-20,0,0,0,0,0.432538914655159,0,0.0154113216634893,0.280263747500457,0,0,0.130075033874976,0,0,0.00754741920361917,0.0737846543105929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
