,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,macro_return_add
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0430840949546272,0,0,0,0.217275252989549,0,0,0.235008764773659,0,-0.0588147593324381,0,0,0,0,0,0,0.0195675757664356,0.106129431394232,0.0414558139709127,0,0.232047834321991,0,0,0,0,0,-0.226168569541468,0.205135304669975,0,0,-0.19892124973532,0,0,-0.0159581730599303,0,0,0,0.289241153177807,0,0,0.0174042364138998,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103804086427555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367530811308029,0,4.33680868994202e-19,0,0,0,0.152225374783868,0.181866187174636,0.129646510868283,0,0,0.0537676950886776,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.352072438647473,0,0,0,0.125112396672177,0,0,0,0.164895521691594,0,0,0,0,0,0,0.0930607828598269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128704556025823,0,0,0,0,0,0,0,0,0,0,0,-0.0680008422386031
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0231935902692494,0,0,0.190137342418414,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.13348849540419,0,0,0,0,0,0,0,0,0.0236431694237922,0.154280941190287,0,0,0,0,0.227582923435374,0.108638118043653,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.00124286967372579,-0.175314778178292,0.310629597723475,0,0,0,0,0,0.235413900021488,0,0,0.456751548358701,0,0,0,0,-0.052265074303593,0,-0.167313028772869,0,0,0.287211842740225,0,0,0,0,0,0,0,0,-0.214053662818798,0,0,0.328508728926074,0,0,0,0,0.0786252717737448,0,0,0.01396828166442,0,0,-0.161830897828954,0.112712389236164
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684583315253328,-0.00609635270649515,0.0564218163954999,0,0,0,0,0,0,0,0,0,0,0,-0.0617798240602797,0,0,0,0.42590293625988,0,0,0,0,0,0,0,0,0.0450805827362398,0,0,0,0.184636794670134,0,0,0.259765409618432,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.0776548521558983,0,0,0,0,-0.0113251583798318,0,0,0,0,0,0.222098459624055,0,0,0,0,0,0,0,0,0.0480769546497058,0.449505693739311,-0.0868898647303623,0,0,0,0,0,0,0,-0.0571322533915387,0.366730331922123,0,0,0,0,0,0,0,0,0,0,0,0,0.068343084546964,0.158700237222307
X601229.CH.EQUITY,0,0,0,0,0.14377443088873,0,0,0,0,0.329448021549188,0,0,0.181684342501377,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.0314843176995739,0.00720055925886301,0,0,0.000311935244270409,0,0,0,0,0,0,0,0,0,0.110500450528897,0,0.33057674813294,0,0,-0.117768673023284,0
X2882.TT.EQUITY,0,0,0,0,0,0.193037840002293,0,0,0.134945954851345,0,0.0457787527250761,0,0.0320590076613847,0,0,0,0,0,0,0.0505672175978028,0,0,0,0,0,0,0,0,0.276154959875329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39519545081959,0
X300059.CH.EQUITY,0,0,0,0,0,0.129740810889853,0,0,0,0,0,0,0,0,0.0674206371204914,0.170677459356765,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.118736442428074,0,0,-0.106795361642622,0,0,0.464829942010415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312604524006865,0
X601336.CH.EQUITY,0,0,0.342870019711278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199479210422128,0,0,0,0.0805150401215032,0,0.00523262108869262,0,0,0,0,0,0,0.0349627963273008,-3.46944695195361e-18,0,0,0.00251812302137654,0,0,0.0681645163385549,0,0,0,0,0,0.0324872498294285,0,0,0,0,0.188200198970815,0,0
X600999.CH.EQUITY,0,0,0.0768048944375414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115553466808321,0,0,0,0,0,0.0358480907074248,0,0,0.00761936291787285,0,0.149254892030434,0,0.275036149672117,0,0,0.0722777753973151,0.167832928260026,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0.293421079869603,0,0,0,0,0,0,0,0,0,0,0.0588573345013545,0,0,0,0,0,0,0.344508309124325,0,0,0.0461299506644014,0,0,0,0,0.12241478683135,0,0.0809259785495606,0,0,0,0,0.081126283170302,0,0.0300300309719438
X601169.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.010106376685155,0,0,0.146651516159905,0,0,0,0,0,0,0.0470737136843926,0,0,0.0810079570793995,0,0,0,0,0,0,0,0,0,0,0,0.028254237959302,0.0898891206389285,0,0.103558791370129,0,0.0575887693997391,0,0,0.103977173678652,0.015437902854377,0,0,0.356067631878051,0,0,0,0.0163816107936692
X600015.CH.EQUITY,0,0.174809611572348,0,0,0,-0.0125868838669833,0,0,0.0360431591607148,0,0,0.487450793888126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306797076755094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902835627338548,0,0,0,0.0133173307596918,0,0,0,0,0,0.0895539116900651,0,0,0,0,0,0,0,0,0.00335015625462465,0,0,0.33189031185834,0,0.0170705619774606,0,0.0808521461730337,0,0.229542800063504,0,0,0,0,0.161075055720717,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465021535395813,0,0.101408895874435,0,0,0,0.0812629065312783,0,0,0,0,0,0.223131841793511,0,-1.73472347597681e-18,0,0,0,0.0347763388094827,0.0525059441265353,0.157474533679827,0,0.0346376789775906,0,0,0.0840306813550344,0,0,0.220769404379203,0,0,0
X2886.TT.EQUITY,0,0,0,0,-0.174352580673919,-0.166946727193377,0,0,0,0,0,0,0,0,0.311045761614648,0,0,0,0,0,0,0,0,0,-0.617762261937707,0,0.220064044964372,0.15968886066546,0,0,0,0,0.54582303214583,0,0.066318458665123,0,0,0,0,0,0.378018731161095,0,0,0,0,0,0,0,0,0,0
macro_return_add,0,-1.28924334810988,0,0,0,0,0,0.35056827326945,0,0,0,0,0.15312083511312,-1.06739608008394,0,0,0,0,0,0,0,0,0,0,0,-0.120771560615799,0,0,0,0,0,0,0,0,0,0.333530139175332,0,0.10372174127191,0.157366287001601,0,0,0,0,0,0.908717801436831,0,0,0,0,0.250992365800807,0
