,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.0434770715579605,0,0,0,0.0578215656544792,0.161863667608034,0,0.1845663157825,0,0,0.103876929751785,0.0040016587291317,0,0,0,0,0,0.0524643162366264,0,0.127077718256212,0,0,0,0.0662496183579729,0,0,0,0,0,0,0.0081149553325972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0.176356898498121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208430004202064,0,0.0964914467606595,0,0,0,0,0,0,0,0.111833085286128,0.477457076673021,0,0,0,-0.16084012826584,0,0.0438889066759053,0,0,0,0,0,0,0,0,0.0321833044892119,-0.103267330385419,0.058521858333097,0,0,0,0
X601818.CH.EQUITY,0.242688628660843,0.105102640365311,0,0,0,0,0.0529905195373566,0,0.0965326189985704,0.0576304522798504,0,0,0,0.122812558765644,0,0,0,0,0,0,0.0618744531259199,0,0,0,0,0.141877566174607,0,0,0.0624235255780573,0,0.0224938716180225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,-0.273194282994151,0,0,0,-0.122447440882401,0,0,-0.0502005576559029,0.305193381245058,0.653801519161961,0,0,0,0,0,0,0,0,0,0.0535989778238838,0,0,0,0,0,0,0,0,0,0,0,-0.13279078229378,0,0,0,0,0.0420044426008358,0,0.0523310425671163,0,0.0550811307368378,0,0,0
X1109.HK.EQUITY,0,0,-0.0609925024020967,0,0.0689014465560984,0,0,-0.0510266092448336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106994308164864,0,0,0,0,0.152720087238437,0,-0.0363494476690066,0.094132657673625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657815815077867
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243031326077863,-0.066856474518698,0,0,0,0,0.110755195636576,0,0,0.242442058670099,0,0.310196483914403,-0.258577654847732,0,0,0,-0.155398358455055,0,0.00849114339042605,0,0,0,0,0,0,-0.130437902256524,0.0629211928004484,0.0939977206568642,0,0,0
X001979.CH.EQUITY,0,0,0,0.138287221000857,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.347060479824653,0,0.0493564746196504,-0.0185937993772403,0,0.0843370460875972,0,0,0,0,0,0,0,0.142597368553502,-0.00111208901784404,0,0.0561065986361556,0,0,0,0,0,0.0323062122117317,0,0,0.0783135355655781,0,0,0,0,0,0,0,0,0,0,-0.0150560796583772
X601336.CH.EQUITY,0,0,0,0,0,0,0.0560376216882572,0,0.400781839466027,0,0,0.149280882301995,0,0,0,0,0,0,0,0,0,0,0,0,0.257638941601907,0,0,-0.00920682645679571,0,0,0,0,0.183101402688354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581999248746165,0
X600048.CH.EQUITY,0.261476686669436,0,0,0,0,0,0,0,0,0.0442230569922345,0,0,0,0.69705206070891,0,0,0,0,0,-0.0363444348780353,0,0,0,0,0,0,0,0,0.0370912647875358,0.0288745333608048,0,0,0,0,0,0,0,0.0666695243730971,0,0,0,0,0,0,0.0810315737393548,0,0,0,0,0
X601211.CH.EQUITY,0.0660570584153164,0,0,0,0,0,0,0,0,0,0,0.00157304664988132,0,0,0,0,0,0,0,0,0,0,0,0.098799164241304,0,0,0,0,0,0.110390636087451,0,0,0,0,0,0.0457841847746563,0,0,0.119606095424238,0,0,0,0.0860963652404119,0.0731104393240963,0,0,0,0.439247650681675,0.119949156919719,0
