,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0927463131051188,0,0,0,0,0,0,0,0,0,0.546614438312937,0,0,0,0,-0.0908356026493665,0,0.0399837523113184,0,-0.0191702015751685,0,0.0885062878045791,0,0,0,0,0.0248193772526414,0.0697706430585232,0,0,0,0,0,0,0,0.0516585042057542,0,-0.0451617298641403,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454215903553791,0,0.177395326262187,-0.076893954306447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231530305566995,-0.114711316322104,0,0,0.138224213304214,0,0,0,0,0.0238108272564857,0,0,0.495110897252466,0,0,0,0,0,0.0724328306208334,-0.0540632039938545,0.0394090501863404
X600048.CH.EQUITY,0,0,0,0,0,0,-0.0502224772832419,0,0,0,0.417517784397299,0,0.296131771329711,0,0.354673263881475,0,-0.122178512655871,0,0,0,0,0,0.310454359613633,0,0,-0.0258380084887214,-0.0108137927117123,0,0,0,0,0,0,0,0,0,0,0,-0.0183533020596085,0,0,0,0.0668596147116191,0,0,-0.0644512323459607,0,0,0,0.0259567107478681
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.00937319066377097,0,0,0.047029760722052,0,0,0,0,0,0,0,0,0.036681183461586,0.481106580030513,0,0.030428235790063,0,0,0,0,0.0415004851881159,0.0663372014755084,0,0,0,0,0,0,0,0.00294666369891562,0.0321816178529776,0,0,0,0.0546892087984867,0,0.185265455464105,0,0,0.144430878796714,0,0
X601336.CH.EQUITY,0,0.0557332985384868,0,0,0,0,0.118113944622226,0,0.0351337639528213,0,0,0.170057965853562,0,0,0.0541489812394005,0,0,0.264173423049507,0,0,0,0.147007636582028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135313926000502,0,0,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0.196068076751142,0,0,0,0,0,0.202875818655136,-0.0194403766186975,0,0,0,0,0,0,0.0029492319127807,0,0,0,0,0,0.0764246251722291,0.127537628970245,0,0.09535752458656,0.0604831636072626,-0.145624176095497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332739830041592,0,0,0,-0.163608592914055
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0984671966014839,0,0,0,0,0,0.0122344378735063,0,0,0,0,0,0,0.37411625400449,0,0,0,-0.0541564572119772,0,-0.00908307110837729,0.0186123776307343,0,0,0.24436070135272,0.0867214912748253,0,0,0,0,0,0,0,0,0,0,0,0.0776813625012107,0,0.023232942739626,0,0,0
X601066.CH.EQUITY,-0.274069129048889,0,0,0,-0.0278468648721365,0,0,0,0,-0.138866030660452,0,0,0,0,0,-0.324300820007656,0,0,0,0,-0.161966665733887,0,0,0,0,0,0,0,0.15462153777385,0,0.289184235371718,0.71290966439695,0,0,0,0,0,0,0,0,0,0,0,0,0.163556046419882,0,0,0,0,0
X601229.CH.EQUITY,0.351495479481847,0,0,-0.0170355186016233,0,0,0,0.229268971281918,0,0,0,0,0,0.222627530835607,0,0,0,0,0,0,0,0.0332767832811962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411055391748519,0,0,0,0.0807259243802148,0,0,0,0,0,0,0.175330289764845,0.123928460776717,0
X002142.CH.EQUITY,0,0,0.279758937783517,0,0,0.0766075256042238,0,0,0,0,0,0.2490537762419,0,0,0,0,0,0,0,0,0.115975792723175,0,0,0,0.123529809818646,0,-0.0427466400904762,0,-0.0112571191710823,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0417920755671104,0,0,0,0,0,0.109598046339811,-0.0806046247437227
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0222882575375128,0,0,0.0491428965230373,0,0,0,0,-0.207557135634612,0,0,0,0,0.0591031467841336,0,0,0,0,0,0.266525490826903,0,0,0,0.858390723458339,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.225740404088137,0.404842489164923,0,0,-0.217895133088885,0,0,-0.0989887163669745
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0562589794267781,0,0,0,0,0,0,0,0,0,-0.0617280637504951,0,0,0,0,0,0,0,0,-0.0365380379835314,0,0.0910819421446404,0,0.259686051734137,-0.286310906340418,0,0,0,0,0,0,-0.0745783582061928,0,0.191715576531553,0,0,0,0,0,0,1.03247396664738,0.168237421406772
X600015.CH.EQUITY,0,0,0,0,-0.320064287875806,0,0,0.38242145038523,0,0,0,0,-0.0353248761948139,-0.247560045735142,0,0,0,0,0,0,0,0,0.581542842910199,0,0.0150251780996822,0,0,0,0,0,0,0,0.193429704296434,0,0,0,0,0,-6.93889390390723e-18,0,0,0.103058509557775,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,-0.0979350264207804,0,0.07637163037529,0,0,0,0,0,0,0,0.317964086194024,0.0227066897843318,0,0,0.189936240146447,0,-0.090379775039109,0,0,0,0.00662274326916303,0,0,0,0,0,0,0,0,0,0.0673153968717036,0,0,0.376307790682747,0,0,0,0.0722692762474026,0,0,0,0,0,0,0,0.296231078840746,0,0,0
X17.HK.EQUITY,0,0,0,0,0.00639219163894766,0,0,0,0,0,0,0,0.448719554624548,0,0,0,0,0,0.216801617889861,0.201937685410109,0,0,0,0,0,0,0,0.0903626796869324,0,0.114486859492232,0.235012118679807,0,0,0,0,0,0.169449428647983,0,0.0691455932834285,0,0,0,0,0,0,0,0,0,0,-0.0377840153035205
X002736.CH.EQUITY,0,0,0.0991766061864514,0,0,0.0656648843179797,0.0339008125153977,0,0,-0.0808374852876842,0,0,0,0,0,0,0,0,0,0,0,0.383522533276905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0563435763486458,0,0,0,0,0,0.065790449578628,0.0764062348770466,0.440738054099461,0.0415368347326929,0,0,0.0054262627277807,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246635361713163,0,0,0.195779543975682,0,0,0,0,0,0,0,0,0,0,0,0,0.510347667020538,0.0212183546861514,0,0,0.0557810951242871,0,0,0,0,0,0.00850428243992341,0,0.135820127159603,0,0,0
X2881.TT.EQUITY,0,0,0,0,0.23280220019761,-0.0948007402901735,0,0,0,0,0,0,-0.434723296189163,0,0,0,0,0.171947373383922,0,0,-0.0125151169761062,0,0,0,0,-0.0175445245261617,0,0,0,0,0,0,0,-0.356219291055196,0,0,0,0,0,0.0856034092484269,0.343451088284386,0,0.343331646877949,-0.0277201492558091,0,0,0,0,0,0
macro_return_add,0.176896706263007,0,0,-0.120923656108379,0,-0.00898732010567712,0,0,0,0,-0.325082543372783,0,0,0,0,0,0,0,0,0,0,0.158512631538458,0,0,0,0,0.143938721558253,0,0,0.143502941755816,0,0,0,0,0,0,0,0,0,0,0,0,0.0686254414300687,-0.149068372588731,0,0,0.141364041149765,0,0,0
