,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000799592393830222,0.110715455190304,0.142675084494628,0,0.0136384961294796,0,0.485285585912801,0.065937451662554,0.0278731375237522,0.0565936052963102,0,0,0.16757665412271,0,0,0,0,0,0,0,0,0,0,0,0,-0.113886479703899,0,0,0,0,-0.0268494275891999,-0.109020631988018
X600837.CH.EQUITY,-0.0892378582859283,0,0,0,0,0,0.0380031592431126,0.0302222579338507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171432662124901,0.246344100087989,0,0.0584963014682135,0,0,0.22857169824666,0,0.0244473918431215,0.116222719442091,0,0,0.0687509456105271,0,0,-0.00523243624241198,0,0.00258848065495026,0,0,-0.0664623719585756,0,0,0,0,0,0,0,-0.0629422940077968,0
X600999.CH.EQUITY,0,0,0,0,0,0.0197554402234406,0,0.0364088428139819,0,0,0,0,0,0,0,0,0,0,0,0,0.0787910627108397,0.0926209952349074,0,0.311115070856134,0,0,0,0,0.116826073225582,0.157972485740403,0.154266350808961,0,0,0,0,0.179060227726603,0,-0.0703975790693823,-8.46400012629945e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0.0338935341585777,0.0231059977071914,0,0,0.0155982532228665,0,-0.040070216728357,0,0,0.00539214116259115,0,0,0,1.73472347597681e-18,0,0,0,0,0.151409773612646,0,0.665381148202404,0,0,0,0,0,0,0,0,-0.134883047775194,0,0,0,0,-0.0291361163734444,0,0.09761200726613,0,0,0.0531284023026433,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0894089904787173,0,0.0928195136722977,0,0,0,0,-0.321030032684236,0,0,0.171204619018083,0,0,0,0,0,0.0784224447404473,0,0,0.130860332245436,0.0956380019974673,0.0673494382588046,0,0.187452985652621,0,0,0,0,0.0502270016989792,0,0,0,0,0.107018180175335,-0.0108371690084315,0,0,0,0,0.157673636064993,0,-0.0113401583716951,0
X601688.CH.EQUITY,0,0,0,0.367729084093953,-0.0946374674410345,0,0,0,-0.0631774999326489,0,0,0,0,-0.0522340335678438,0,-0.00567415649314334,0,0,0,0,0,0,0.10527572147048,0,0,0.136954306987477,0,0.302555290528991,0,0.11287034163278,0,0,0,0.19419139261597,0,0,0,0,0,0,0,0,0,0.0799977136933719,0,0,0,-0.00400899528514063,0,0,0.00955746836684518,0
X600918.CH.Equity,0,0,0,0,-0.0293989414439706,0,0,0,0,0,0,-0.165177718588177,0,0,0,0,0,0,0,0,0.0361710544648864,0,0.34102376463046,0.131894290571189,0,0.0214761483433406,0,0.298329237381032,0.0655944419293265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0.00481901041644158,0,0,0,0,0,0,-0.425295641706779,0,0,0,0,0,0,0,0,0.210051689390205,0,0,0,0,0,0.443039626185648,0,0,0.247276744704624,-0.0437354984881727,0,0,0,0,0,0,0,0,0,0.104553764152921,0,0.0537841703000347,0,0,0,0.134061624514067,0,1.73472347597681e-18,-0.157377065853661,0,0.196901185580133,0.207366297178391,-6.93889390390723e-18,0,-0.0483964844318017
X601318.CH.EQUITY,0.150247535090898,0,0.0444085426227912,0,0.0856719834284649,0,0,0,0,0,0,0,0,0,0,0.0339295057561416,0,0.00193369839148896,0.0887109429110809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393444926319266,0,0.00840421403879231,0,0.0996053461586318,0.08298742596844,0,0,0.109900209877552,0,-0.0890102824871791,0,0,0,0.168908093052887,0.0547931122878125,0,0,0,0
X601319.CH.EQUITY,0.225530904131117,0,0,0.0300254348875595,0,0,0,0,0,0.155460885014421,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430037715648333,0,0.0724783728923014,0,-0.106387857236076,0,0,0,0.310266558483522,0,0,-0.030703057580585,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797289885716053,0,0,0,0,0.188532128261377,0,0,0,0,0,0,0,0.226981911170238,0,0.0331743499702519,0.375607867793008,0,0,-0.0586047258331694,0,0.0975249291905566,0,-0.0194793291802436,0,0,0,0,0.0364886809649117,-0.10070642892948,0,0,0
X601601.CH.EQUITY,0.075793182124199,0,-3.46944695195361e-18,0,0,0.207949398647191,0,0,0.170888578010991,0,0,0.0715715257232988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504408164680467,0.270132064054533,0.262628806433623,0,0,0.149523608703483,0,0,0,0,0,0,0,0,0,0,-0.147932553613353,0,0,0,0,0.00836920613650761
X601628.CH.EQUITY,0,-0.096466030983858,0,0,0,0,0,0,0,0,0.0712893499320108,0,0,0,0,0,-0.0318001428738797,0,0,0,0,0,0.150230422734464,0,0.0385570984705886,0.180288545169735,0,0,0,0,0.00986728382791098,0,0,0.565477815683468,0.158713079456233,0,0,0,0.0983354321714095,0,0,0,0,0,-0.0757523046818385,0,0,0,0,0,0,0
X1299.HK.EQUITY,-0.185202569536478,0,0,0,0,0,0,0,-0.0459054557910315,0,0,0,0,-0.00142937773597945,0,0,0.027854790338007,0.22809378980246,0,0.116561188779998,0.0240729465970411,0,0,0,0,0,0,0,0,0,0.125125668656329,0,0,0,0,0,0,0.135453728576702,0,0,0.0670687835229639,0.00267815563017521,0,0.060949130155188,0.141885634216995,0,0,0,0,0.18082873464173,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847106598923125,0,0,0,0.102703464796001,0,0.00104225747601928,0,0,0,0.0122634627060078,0.0436805086152324,0,0,0,0,0,-0.0998447436319698,0,0,0,0,0,0.66360592455293,0,0,0,0,0,0,0,0,0.128443408756635,0.0221058797523315,0,-0.173699046951572,-0.0404024999487059
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108678778408522,0,0,0,0,0,0,0.0357829623079114,0,0,0.128196787410104,0.194422358990115,0,0,0,-0.00018713596810997,0,0,0.736279196541245,0,0,0,0.0827206423843622,0,0,0,-0.105307851131361,0,0,0,0.156625088243898,-0.179590074153694,-0.18299884224664
X000002.CH.EQUITY,0,-0.0567520845973547,0,0,0.186333932742875,0.0898030025148527,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.124253452992988,0,0,0,0,0,0,0,0,-0.162815095717041,0,0,0,0,0,0,0,-0.280521414688176,0,0,0.159194701887741,0,0,0,0,0,0,0,0.0365284170125011,0,0,0.0061401697036949,-0.0770202054635432,-0.0310336121096447
X001979.CH.EQUITY,0,0.0282283517509279,0,0,0,0,0,0,0,0.0750951039745011,0,0,0,0.196145873473783,0,-0.115454724899141,0,0,0,0,0,0,0.147309641383561,0,0,0,0.0942719161872116,0,0,0.0123722421894425,0,0,0,0,0.280030726036297,0,0,-0.197875247006071,0,0,0,0.193208551915751,0,0,0,0,0,0.0185929662628091,0,0,0,0
X600048.CH.EQUITY,0,0.0412054324710162,0.0278734848007247,0,3.46944695195361e-18,0,0.121396954619175,0,0,0,0.164670700871099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138292390247694,0,0.0128306471208187,0,0,0,0,0,0,0,0,0.542034621955032,0.0580246324801151,0,0,0,0,0,0.0219232121487379,0.18678746872963,0,0.225512304242442,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375143415482892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553308721531441,0,0,0,0.0455933372840606,0.161213916397698,0.0638911040546133,0,0,0,0,0,0,0,0.149998855594146,0.19752435237627,0,0.12344837551416,0.161746388078681,0,0.0300225239992995,0.0795460225615026
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127678418768805,0,0,0,0,-0.171525612034133,0,0,0,0,-0.262657058341735,0,0.320545877332362,0,0,0,0,0,0,0,0,0.110053883685567,0.129771140100422,0,0,0,0,0,0.180586079021237,0.151571873169087,0,0.0801953190329535,0.123562646281172,0,-0.124665315135018,0
X12.HK.EQUITY,0,0,0,0,0.0180183029546685,0,0,0,0.109122812357827,0,0,0,-1.73472347597681e-18,0,0,0,0,0.081664755688165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05875382474323,0,0.299041130220908,0,0,0,0,0,0,0,0,0.0696859217825432,0.0606824884185792,0,0,-0.133703508126166,0,0.223924374999462
X16.HK.EQUITY,0,0,0,0.116146478516434,0,-0.086083634660434,0,-0.0667927883772725,0,0,0,0,0,0.176491494439899,0,-0.04319270654752,0,0,0,0,-0.077324498102179,-0.0216468406013802,0,0,0,0,0,0,0,0,-0.0899411028978518,0,0,0,0,0,0,0,0,0,0.268841556604779,-0.396904671219236,0,0.159442671806043,0.279233394250138,0,0,0.00618464226920533,0.259162950386591,0.30825745308029,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.55920242511774,0,0,0,0,0,0,0,0,0,0,0,-0.0172519338296576,0,0,0,-0.0999723599525597,0,0,0,-0.0771415442674438,0,0.306217431640646,0,0,0,0,0,-0.00185493431871237,0,0,0.190880600590445,0.0955374807840613,0,0,0,0,0,0.387937763453045,0.256284673358515,-0.120525224863886,0,2.16840434497101e-19
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.303411185040401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207552103938985,0,0,0,0,0,0,0,0.107738474436873,0,0.0426090417794477,0,0.179525303890621,0.112934840750023,0,0
X688.HK.EQUITY,-0.0895176901300214,0,0,0,0,-0.139796460482743,0,0,0,0,0,0,0,0,0,0.255876360599604,0,0,0,0,-0.281405912409529,0,0,0,0,0,0,0,-0.101243473686728,0,0.213980125261556,0,0,0,0,0,0,0,0,0,0,0,0.136375485786919,-0.00976492137525079,0,0.313894052024774,0.294379088427926,0.083921529934664,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0.289402529255926,0,0,0,0.181846196378911,0,0,0,0,0,0,-5.42101086242752e-20,0,-0.117038544940859,0,0,0,0,0,0,0,0,0,0,-0.235955790222861,0,0.142438344744474,0,0,0,-0.128813096649726,0,0,0,0.159826913699089,0,0,0.0450251712780568,0,0,0.211564184302104,0.275206839783192,0,0.0735146229128117,-0.351201710876785,0,-0.0329516982719147,0
TED,0,0,0,0,0,-0.305588642217681,0,0,0,0,-0.252996307235871,0,0,0,0.259831756382855,0.100663843220028,0,0,-0.0793824255363662,0,0,0,0,0,0,0,0.338910591180526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760684013794552,0,0,0,0,-0.0471798883572119,0,0,0,0.197410415793116
RealEstateDiff,0.186653131797667,0,0,0,-0.114342517745687,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417875134478895,-0.347157232913498,0,0,0.232401008286976,0,0,-0.0740086230733035,0,0,0,0,0.103756849081068,0,0,0,0,0,0.0218853368820651,0,0,0,0,0.235593135212574,0,0,0.358649628247366,0,0,0,0,0,0.1081645387738,0
