,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601077.CH.Equity,0,0,0,0,0.142675979102066,0,0,0,0,0,0,0,0,0,0,0,0,0.363575846817324,0,0,0,0.182252518663358,0.10193934128175,0,0,0.0512397578827622,0,0,0,0,0,0,0,0,0,0,0.260694849868709,0,0,0,0,0,0,0,-0.0241580129976118,0,0,0,0,0,0
X11.HK.EQUITY,0,0,-0.0306143296732668,-0.194782480094938,0,0,0,0,-0.182412362198814,0,0,0,0.405090732137325,0,0,0,0,0,0,0,0,0,-0.178404043390737,0,0,0.175252621645203,0.275696037873507,0,0,0,0,0,-0.0426359247529988,0,0,0,0,0,0.334452811903459,0,0,0,0,0,-0.057697361606722,0,0,0,0,0,-0.0544496499677458
X2388.HK.EQUITY,0.0217597433047074,0,0,0,0.0204847929547872,0.215251865305334,0,-0.125702099453444,0,0.0885238986430802,0,0,0,0.141097771603151,0,0,0,0,0,0,0.0778646108598072,0,0,0.114789860952074,0.340166519209576,0,0.29858166293243,-0.0352474725748586,3.46944695195361e-18,0,0,0,-0.0770833537516231,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.483990600166291,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0555573483998785,0,0,0,0,-0.00875924173469233,0,0,0,0,0.0764892423439052,0,0.145566691793891,0,0,0,0,0,0,0,0,0,0,0,-0.24070468478664,-0.0908812316977619,0,0,0,0,0,-0.0811022472088531,0,0,0.0392914760383597,0.262964130693987,0.0331389518624522,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0.0487275805790493,0,0,0,0,0,0,0,-0.00838662883596521,0,0,0,0,0,0,0.149063105577667,0,-0.00188498660743767,0,-0.0282688280774801,0,0.371525711901207,0.265568611689297,0,0.458415130667711,0,0,0,0.0743271784957906,0,0,0,0,0,0,0,0,0,0,0,0.0630377171828084,0,0,0.0147978497995016
X2884.TT.EQUITY,0,0,0,0,-0.0700214137126886,0,0,0,0,0,0,0,0,0,0,0.290291370980893,0,0,0,0,0,-0.171408711308894,0,0,0,0,0,0.592910937633363,0,0,0,0,0,-0.0379905632896312,0,0,0,-0.0906855111593599,0,0,0,-6.93889390390723e-18,-0.0103472992395928,-0.260969843965906,-0.0448154492405826,0,0.117618054584118,0,0,0,0
X2886.TT.EQUITY,0,0,0.0182475183069072,0,0,0,0,-0.145659116488654,0,0,0,0,0.192023817427225,0.0684870889289581,0.0375074023749441,0,0,0.173953282269144,0,0,0,0,0,0,-0.0829225499182985,0,0,0.15699789216798,0,0,0,0,0.337013535711839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.272234359609964,0
X2891.TT.EQUITY,0,0.607149985716176,0,0,0,0,0,0,0,0,0,0,0.112059137829329,0,0,0.195155253902666,0,0,0,0,-0.430885886733242,0,0,0,0,0,0,0,0.0565006674205534,-0.184642885595563,0,0,0.440494147291193,0,0,0.0402753566372109,0,0,0,0,0,0,0,0,-0.124935997286581,0.441178197832045,0,0.442994652754875,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0.188170277548301,0,0,0.341817717437497,0,-0.0646033755625122,0,0,0,0,-0.00982326963186908,0,-0.407762493288124,0,0,0,0,0,0,0,0.0777673445373141,0,0,0,0.0944108807593124,0,0,0,0,0.0441314522258599,0,0,0,0.193041578516278,0,0,0,0,0,0,0,0,0,0.297571693080987,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400209169743736,0,0,0,0,0,-0.0304665429388033,0,0,0,0,0,0,0,0.00798425229368115,0.0580643922038347,0.232404698284264,0,0,0,0.00368651624844424,0,0.0560963904434791,0,0.658023069719976,-0.0586858489057706,0,0,0,0,0.0456441535237382,-0.201342277243611,0,0,0,0,0.059296327977042
X600030.CH.EQUITY,1.38777878078145e-17,0.030576260469575,0,0,0,0.122349124251589,0,0,0,0,-0.127126282258916,0,0,0,0,0,0,0,0.0151292546317127,0,0,0,0,0.157994047433662,0.0369039934541036,0,0,0,0,0,0,-0.0449237650878813,0,0,0.139835185159852,0.161937574859212,0.294043395533023,0.13047840214155,0,0,0,0,0,0,0.0977474265129531,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0.0252381096733564,0,0,0,0,0,-4.33680868994202e-19,0.0923353553735157,0.0799561369782736,0,0,0,0.063273896328374,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.172874541400444,0,0.147948388319928,0.045575320729802,0.0398997586601677,0,0,0,0,0,0,0,0,0,0,0,0,0
