,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0.149562593505295,0,0,0.171621781179569,0.0383784406115724,0.0689053316909691,0.256251834772844,0,0,0.00162229959640173,0.0314317771973772,0,0,0.252397201133041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000776648286761781,0,0,0,0,0.0395407732498213,0,0,0.0403117972276117,0,0,0,0,0,-0.00883536765721694,0,0,0,0,0
X601398.CH.EQUITY,0,-0.0177119377691501,0,0,0,0,0,0,0.0690036886560606,0,0.0418943227156799,0,0,0.718920034768401,0,0,0.0721847372344663,0,0,0,0,0,0,0,0,0,0,0.0103084984940845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109582781993326
X601818.CH.EQUITY,0,0,0,0,0.231039137087978,0.179937668848719,0,0,0.124840512511564,0,0.0196724834133913,0,0,0.0527337835322033,0,0,0,0,0,0,0,0,-0.0223820844038455,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.130268538536779,0,0.0917037098445448,0,0,0,0,0,0.140468296440789,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.062945002837503,0,0,0.316829432347349,0,0.0922723188860931,0.0106874587528692,0,0.333232235306023,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0529042698360931,0,0,0,0,0,0,0,0,0.0799660896647746,0,0
X601988.CH.EQUITY,0,0,0.126222248973105,0,0.519398913970937,0,0,0,0,0,0,0,0,0.174889934043688,0,0,0.084110378977572,0,0.0451571551070247,0,0,0,0,0,0,0,0,0,0,0,0,0.0587103444410275,0.0735666629607036,0,0,0,0,0,0,0,0,0.030447095010057,0,0,0,0,0,0,0,0.0324426542769272
X601998.CH.EQUITY,0,0,0,0.110382138007862,0.119138069333925,0,0,0,0,0.0042845893541597,0.295592178369193,0,0,0,0.128287624294754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,-0.0277109119114658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0742514093025166,0,-0.00771166065175551,0,0.0790416313127891,0,0.142611471293692,0,0.0841485754408826,0,0,0,0,0.205006780673295,0,0,0,0.298100132259503,0,0.217041449259144,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489355072974907,0,0.0730681394852465,0,0,0,0,0,0,0,0,0.0584117597601025,0,0,0,0,0,0.0203876237294715,0.044732394553329,0,0,0,0,0,0,0,0,0,0,0.175220294590295,1.73472347597681e-18,0,0,0
X5.HK.EQUITY,0,0,0.0504271207478589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261485479559577,0,0,-0.184447518504076,0,0,0,0,0,0,-0.0486838940512002,0,0,0,0,0,0.440849757037323,0.0162048738555041,0,0,0,0,0,0,0,0,-0.768844674213903,0.0198390734477665,0.422405374571615,0.117317803924394,0,0,0.156607669001226
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303701416839468,0,0.0602106669137773,0,0.0318501750150089,0.31707184518209,0.709205652405191,0,-0.0170911713544704,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0193227788286301,0,0,0,0,-0.0253616347608181,-0.0206193514112505,-0.0705419223183186,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164686324079418,0.327389590540491,0,0,0.244777681725219,0,0,0,0.218860939062639,0,0,0,0,-0.0700148304552655,-0.0385952341728701,0,0,0,0,0,0.0130092288564778,0,0,0.0244212314512105,0,0.0405769830356102,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527807865404444,0,0,0.140499447991976,0.00627320736577481,0,0,0,0,0.129794013481506,0.543202895944959,0,0,0.00982994403609706,0,0,0,0,0.0128828377462323,0.0185188984098743,0.0384319895992187,0,0,0,0,0,0,0.0211158574468842,0.0207419597872932,0,0.0397865329591513,0,0,0
X600837.CH.EQUITY,0,0.0656705030773137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110033478582957,0.113786778367534,0.239505591235963,0,0.238973576074578,0,0.0441509776029778,0,0,0,0,0,0.00518768391625149,0,0,0,0,0.00775196321032673,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00866259525178628,0,0,0.195683120311412,0.00685925172619949,0.461303934322718,1.73472347597681e-18,0,-0.0323891213304496,0.345421938661169,0,0,0,-0.0135638937581827,0,0,0,0,0,0,0,0,0,-0.0358672891269703,-0.0284357119332352,0,0,0,0,0,0,0,0.011474880831798,-0.000733944960115745
X601066.CH.EQUITY,0,0,-0.172903483852204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748150950835659,0,0,0,0,0,-0.0242341442402472,0,0,-0.096290603131323,0,0,0,0,0,0,0,0.0659220877048497,-0.0365125740835109,0,0.205226266934294
X601211.CH.EQUITY,0,0.0560439857138743,0,0,0,0,0,0,0,0.0556650280535885,0,0,0,0,0,0,0,0,0,0.221759234508108,0.101562871498877,0.0367283968747763,0.154414555463002,0.378612991835542,0,0,0,0,0,0.00282564124995161,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0526077661640745,0.0293989287882189,0.0259515796189921,0,0.0205796480033644,0,0,0,0.0363068765589922,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00757090832377551,0,0,0,0,0,0.0416274999683056,0.0650462168889126,0,0,0.135369721265427,0,0.584220362356463,0.069000726540244,0,0.0141298340039396,0,0,0.0167421322786391,0,0,0.0735440882248913,0,0,0,0,0,0,0,0,0,0,0,0,0.0194475393182292,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.00474231617150896,0,0,0,0,0,0,0,0,0.124953704210723,0.0427555715402054,0,0,0,0,0,0,-0.0268763880734108,0,0,0,0,-0.0859372130673966,0,8.67361737988404e-19,0.464285362850059,0,0,0,0,0,0,0.133171305698717,0,0.0542436464829326,0,0.092660760997519,0,0.073881244806105,0.0342210599243017,0,0.0624265451091391,0
X601318.CH.EQUITY,0.0465734282588994,0.0860560956463443,0,0,0,0,0,0,0.236985293146126,0.0926358103197262,0,0,0,0.0176351121475321,0,0,0,0,0,0,0,0,0,0,0,0.0168096441435061,0,0.00847570417354843,0,0,0.0445386994357191,0.192183354974361,0,0,0,0,0.00893182722133872,6.93889390390723e-18,0.214466413046173,0,0,0,0,0,0,0.0104227941614493,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.202134026093168,0,0,0,0,0,0,0,0,0.190221877861235,0,0,0.503880429504728,0.112618553115734,0,0,0,0,0,0,0,-0.423724078101138,0.111247850812058,0,0,0,0,0,-0.199339062339538,0.175715575227675,0.0464190310815227,0,0.190604833117134,0,0,0,0,0
X601336.CH.EQUITY,0.285639937397442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196335867464857,0.0795878127758578,6.93889390390723e-18,0,0,0,0,0,0.281571634573725,0,0.037861157187992,0,0,0.0771841848273778,0.0844123470056739,0,0,0.0317776448362819,0,0.0647708880876329,0,0,0,0,0,0,-0.0135990867572725,0,0,-0.0423260601614985,0
X601601.CH.EQUITY,0.0372048256292715,0,0,0,0,0.184629041395327,0,0,0,0,0,0.122719930249492,0,0,0,0,0,0,0,0,0,0,0,0.327155920989043,0,0,0,0.0744668395160695,0,0,0.0253870730182912,0,0,0,0,0.0406676039475635,0,0,0.0892703962418929,0,0,0,-0.0299571369364365,0,0,0.00744209972504282,0,0,0,0.0136290399674711
X601628.CH.EQUITY,0.0626473811222551,0.071256736544059,0,0.207958667595074,0,0,0,0,0,0.0723471583949071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140898927517368,0,0.325131752897539,0,0,0,0,0,0.0306087070231396,0,0,0,0,0,0,-0.0261842209611785,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0632305202801516,0,0,0,0,0,0,0,0,0,0,0,0.207641605881524,0,0,0.0300926831845648,0,0,0,0.0832619543946201,0,0,-0.0915956768979609,0.194675284782392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324803144712927,0,0.214192093935927,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108513064312721,0,0,0,0,0,0,0,0,0,0,0.223766634091507,0,-0.00882947427273015,0,-0.00286228647418411,0,0.719450737249057,0,0,-0.193609808211088,1.73472347597681e-18,0.196627104719993,0,0,-0.0133454010932833,-0.146993471825672,0.0366597256934158,0,0,0,0.0767487655827278
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248695494724117,0.0140673877987997,0.0738972283041793,0,0,0,0,0,0.10222827268145,0,0,0,0,0,0,0.0801699319737653,0,0,0.57107207444062,0,0,0,0,0,-0.167355016355976,0,-0.0608835585220912,-0.0104756259246439,0,0,0.026656768406213,0,-0.295162678958127,-0.173174090147345
