,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601818.CH.EQUITY,0,0,0,0.21821869394761,0,0,0.0326549908600659,0,0,0,0,0,0,0,0.00683254064631367,0.125124539586672,0,0,0,0,0,0,0,0,0,0.171531143811568,0,0,0,0,0,0,0,0.0234815506382196,0,0.174941111681511,0,0,0.190657220779025,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0
X12.HK.EQUITY,0,0,0,-0.19074967356971,0.486678934484956,-0.47092819561238,0,0.0887519784078594,0,0,0,0,0,0,0,0,0,0,0,-0.147734392936636,0,0,-0.0458873133709376,0,0,0,0,0,0,0,0,0,0,0.324483535810303,0.538900236296319,0,0,0,0,0,0,0,0,0,0,0,0,0.26464131465433,-0.277043469149667,0,0,0.0745214529390569
X600048.CH.EQUITY,0,0,0,0,0,0,0,-0.0920101937252751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543046879492209,0,0,0,0,0,0,0,0,0,0,0.142430795006827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978332531093198,-0.110131263935329
X823.HK.EQUITY,0,0,0,0.0370499604486193,-0.00684315611032928,0,0,0,0.0665976603897548,0,0,0,-0.179378387954251,0,0,0,0.0574358843395272,0.022596947174881,0.0349390384354829,0,0,0,0,0,0,0,0,0.184444486882515,0,0,0,0,0,0,0,0,0,0.139552742655007,0,0,-0.0894596519725988,-0.00416483617769348,0,0,0,0,0,0.209554414013111,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0026246671939367,0,0,0,0,0.199477803044257,0,0,0,0,0,0,0,0,0,0,0,-0.079817318770078,-0.0508587799366664,0,0,0,0.107489814974726,0,0,0.723222073728254,0.0846296028227722,0,0,0,0,0,0,0,0,0,0.0140586085756508,-0.080386044605509,0,0,0
X001979.CH.EQUITY,0,0.0930477491802575,0,0,0,0,0,0.00534830158136144,0,0,0,0,0,0,0.229613035468958,-0.16279680553199,0,0,0,-0.081580300871006,0,0,0,0,0,0,0,0,0,0.0409321668981887,0.111252219872842,-0.130775117055262,0,0,0,0,0,0,0,0,0,0.454601894312523,0,0,0,0,0.0359894403789503,0,-0.101334480033959,0,0,-0.0101748736024179
X601336.CH.EQUITY,0,0.0679142854765684,-0.102251753409801,0,0,0,0.0552291020943685,0,0.139700269161073,0,0,0.0689181546229446,0,1.0842021724855e-19,0,0,0,0.0314539575606671,0,0,0,0.173270659546796,0,0,0,0,0.02762910440903,0,0,0.0686789474047485,0,0,0,0,0,0.212663352796995,0,0,0,0,0.164128811422356,0,0,0,0,0,0,0,0,0,0,0.0941945232762355
X601211.CH.EQUITY,0,0.0255260323801934,0,0,0,0,0,0,0,0,0,0.0818844321267405,0,0,0,0,0,0,0,0,0,0.405440749328676,0,0.0229791798594484,0,0,0,0,0.0852227158322049,0,0.0282585917074813,0,0,0,0.00820574281839125,0,0,0,0.0196929201956234,0,0,0,0.0193676521320237,0.0586021958357614,0.0199161887428035,0,0.27068384553279,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.0459878143920435,0,0,0,0,0,0,0,0,0,0,0,0,0.324126422247869,0,0,0,0,0,0,0,0,0,0,0.286530485471061,0,0,0,0,0,0.0399315955050398,0,0,0,0,0.240962522371314,0,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0.000876798742291873,0,0,0,0,0,0,-0.0212838084785142,0,0,0,0.132024220018736,0,0.243030410749819,0,0,0.0124795957757338,0,0,0,0,0,0,0.30562203969076,0,0.221146494339759,0,0.318147384460678,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823485881352335,0,0,0.0464432153382018,0,0,0,0
