,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332430539966182,0,0.108546434353182,0,0,0,0,3.46944695195361e-18,0,0,0,0.0538357090782634,0.529586499186562,0,0,0,0,0,0,0,0,-0.153227803507164,0.149827266842673,0,0,0,0,0,0,0,0,0,0,0,0,0.0861755000929462,0.155002961414102,0,0.0763731842075854
X601229.CH.EQUITY,0,0,0,0,0.143759821557816,0,0,0,0,0.329449243767818,0,0,0.181688744693069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031472696415572,0.00721884296936568,0,0,0.000305807027815169,0,0,0,0,0,0,0,0,0,0.110486437204609,0,0.33059848930775,0,0,-0.117770416147532,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.23644891619407,0,0,0.0887097402415874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182802705518648,0,0,0,0,0,0,0.0330004553246853,0,0,0,0,0,0,0.121758102775756,0,-3.46944695195361e-18,0,0,0,0,0.291090094226037,0.206648927640328,0,-0.017024184895361
X300059.CH.EQUITY,0,0,0,0,0,0.111945705364707,0,0,0,0,0,0,0,0,0.0626937042808447,0.160900378165315,0,0,0,0,0,0,0,0,0,0.108097843274543,0,0,-0.0892540299309595,0,0,0.461685396445633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244360445893814,0,0.041406988394584,0,0,0
X601336.CH.EQUITY,0,0,0.342870019711278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199479210422128,0,0,0,0.0805150401215032,0,0.00523262108869262,0,0,0,0,0,0,0.0349627963273008,-3.46944695195361e-18,0,0,0.00251812302137654,0,0,0.0681645163385549,0,0,0,0,0,0.0324872498294285,0,0,0,0,0.188200198970815,0,0,0,0
X600999.CH.EQUITY,0,0,0.0768048944375414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115553466808321,0,0,0,0,0,0.0358480907074248,0,0,0.00761936291787285,0,0.149254892030434,0,0.275036149672117,0,0,0.0722777753973151,0.167832928260026,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0.293420855268234,0,0,0,0,0,0,0,0,0,0,0.0588509107158643,0,0,0,0,0,0,0.344502210575318,0,0,0.0461376819302635,-6.93889390390723e-18,0,0,0,0.122419214068729,0,0.080925807860599,0,0,0,0,0.081129098739867,0,0,0,0.0300300933962074
X601169.CH.EQUITY,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0101137990512522,0,0,0.146649734349755,0,0,0,0,0,0,0.0470873273880481,0,0,0.0810032295103526,0,0,0,0,0,0,0,0,0,0,0,0.028246444870255,0.0898945661264832,0,0.103555817373948,0,0.057595860597862,0,0,0.103976305914906,0.0154296642506246,0,0,0.356062226661638,0,0,0,0,0,0.0163808947185402
X600015.CH.EQUITY,0,0.183649302041489,0,0,0,0,0,0,0,0,0,0.485506337351735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311826287846639,0,0,0,0,0,0,0,0,3.99893528845591e-06,0,0,0,0,0.0212740810367143,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902940482376735,0,0,0,0.013319776242716,0,0,0,0,0,0.0895526252453933,0,0,0,0,0,0,0,-6.93889390390723e-18,0.00334664795731698,0,0,0.331877366770542,0,0.0170676630702832,0,0.0808531196368962,0,0.229549396863775,0,0,0,0,0.16107485466644,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465042274007107,0,0.101408762088931,0,0,0,0.0812603353863627,0,0,0,0,0,0.223124863023454,0,1.73472347597681e-18,0,0,0,0.0347786205295881,0.0525074067225477,0.157473710679971,0,0.0346401908765952,0,0,0.0840247000226925,0,0,0.220776752373698,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,-0.077548855598857,0.373989202622665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.482554570861189,0,0.396226264796968,0,0,0,0,0,0.273841219358192,0,2.77555756156289e-17,0,0,0,0,0,0.294584869796316,0,0,0,0,0,0,0,0,0,0.253010627360998,0,0
FXI.US.EQUITY,0,0,0,0,0,-0.153458449395477,0,-0.0746118205890496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313031684805131,0,0,0,0.194861080569726,-0.0748280237381434,0,0,0,0,0.0792936943227584,-0.00729326821396228,0,-0.0518381139793978,0,0,0,0,0,0,0,0,0,0,0.068519111647546,0,-0.997798043852974,0
VXFXI.INDEX,0,0,0,0,0,-0.17854532036329,0,-0.0137426471443185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257575839914201,0,-0.0204042591609201,0,0,0,0.167882192362957,-0.149307806550516,0,0,0,0,0.104496939556063,0,0,-0.0587133203198221,0,0,0,0,0,0,0,0,0,0,0.0512906720876769,-0.977290034016749,0,0
CN2YR,0,-1.28924334810988,0,0,0,0,0,0.35056827326945,0,0,0,0,0.15312083511312,-1.06739608008393,0,0,0,0,0,0,0,0,0,0,0,-0.120771560615799,0,0,0,0,0,0,0,0,0,0.333530139175332,0,0.10372174127191,0.157366287001601,0,0,0,0,0,0.908717801436831,0,0,0,0,0.250992365800807,0,0,0
