,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X2007.HK.EQUITY,0,0,0,0,0,0.0424691934569371,0,0.163666065214635,0,0.0611334198168747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175433833781948,0,0,0,0.0813766621215162,0,0,0,0.352791428224507,0,0,0,0,0,0,0,0,0,0.0686408376208874,0.0115594761124023,0.089770457571589,0,0.0342370118055267,0,-0.144643734724588,0,0
X601818.CH.EQUITY,0,0,0,0.175190124992634,0,0,0.0947550127713142,0,0,0,0,0,0,0,0,0,0.0925462244638858,0,0.13905018733566,0,0,0,0,0,0.041302618459321,0,0,0,0,0,0,0,0,0.0798608700426867,0,0,0,0,0,0,0,0.0400277519530663,0,0,0,0,0.0725497999518518,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.240460529860273,0,0,0,0,0,0,0,0,0.0181301178535376,0,0,0,0.155675796264071,0.0265464937320706,0,0,0.00920942869862412,0,0,0,0,0,0,0.222059143750061,0.13757095232062,0,0.0818246959528417,0,0,0,0,0,2.71050543121376e-20,0,0.118662360347323,0,0,0,0,-0.00125321045583795
X267.HK.EQUITY,0,0.089472222043714,0,0,0,0,0,0,0,0.0991379030224026,0,0,0.189949676997314,0,0,0,0,0,0,0,0,0.0604295959140223,0,0,0,0.0196514593988533,0.292328733568786,0.147801602584214,0,0,0,0.183419463634758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290289794675418
X600999.CH.EQUITY,0,-0.035762256496716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461515418794354,0,0,-0.019402518797912,0,0,0,0,0.118122251249421,0,0,0,-0.461796398025996,0,0,0,0,0.097908345299617,0,-3.46944695195361e-18,0,0,0.0245322601934442,0,-0.622548803451124,0,0,0,0,0.0140710112722576,0.497706845441278,-0.235424196232472,0,0,0,0.130804666104153
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0543277566269881,0.231218386142233,0,0,0,0,0,0,0,0.0293150784383272,0.0380304053283261,0,0,0,0.0379930909247395,0,0,0,0,0,0,0,0.477564457085945,0,0.0326866429415081,0,0,0,0,-0.0164868487794965,0,0,0,0,0,0,0,0.0973208947833931,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0.0514762195637751,0.0514132815477149,0,0,0,0,0,0,0,0,0,0,0,0.185033847956393,0,-0.0058795120048117,0,0,0,0.115322831719401,0,0,0,-0.141634978240817,0,0,0,0.29120220789882,0,0,0,0,0,0,0.0649383644110067,0,0.0606137459777273,0,0,0,0,0,0.0687457753195187,0,0,-0.0369177223930777,0
X601336.CH.EQUITY,0,0.139780982246805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332098122074659,0,-0.0706319341306724,0,0,0.0177709881332716,0,0,0,0,0,0,0,0.275459249288524,0.0239466337082174,0,0,0,0,0.0753773842379051,0,0.0534566888065201,0,0,0,0,0,0,0.124587655274508,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.473871058739965,0,0,0,0,0,0,0,0,0,0,0,0.0913602245306625,0.105386146821814,0,0,0,1.38777878078145e-17,0.0560180041235179,-0.102631036959999,0,0,0,0,0,0,0,0,0.287694974199526,0.02533409873145,0,-0.0858420365477206,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,-0.102870273086914,0,0,0.0988283431105814,0.0993269517286096,0,0,0.0911302739227487,0,0.132778911932943,0,0,0,0.0719200523937067,0,0.0760385222082592,0,0,0,0.111729766089669,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.293220235605808,0,0,0,0,0,0.177075650217446,0,0,0,-0.0211053835403491
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0885478226905101,0,0,0,0,0,0.0491273074735983,0.67836813071552,0,0,0,0,-0.0154954528760176,0,0,0,0,-0.042113270779458,-0.0705804909917929,0,0,0,0,0,0,0,0,0,-0.0247541332441628,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.151578658479226,0,0,-0.0387880524413988
X000166.CH.EQUITY,0,0,0.0897022727530671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093806199823473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456418192507188,0,0,0,0.234605375555657,0,0.00147527497773516,0,0,0,0,0,0,0,0.112605959237553,0.148905793026869,0,0,0,0
X12.HK.EQUITY,-0.0116141599806333,0,0,0,0,0,0,0,0.0567041315779893,0,0.540843390550669,0,0,0,0,0,0,0,0,0,0.252591673741539,0,0,0,0,0,0,0,0.519691334593476,0,0,0,0,0,0,0,0,0,0,0,-0.139697342122645,0,0,0,-0.0826182633012431,-0.0661734302731783,0,-0.175316691741136,0,-0.100808981125798,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0745271012436319,0.379750612765819,0,-0.0523374501860632,0,0,0,0,0.0874995108627788,0,0,0,0,0,0,0,0,0.111391416983593,0,0.167174964754202,-0.0830204719192403,-0.226653736044757,-0.188298590935182,0,0,0,0,0.213369953232613,0,0,0,0,0,-0.154529822674642,0,0,0,0,0.768859099511353,-0.0549553799334088,0
X601229.CH.EQUITY,0.893840728297809,0,8.67361737988404e-19,0,0,0,0,0,0.345739557943426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10540221967915,-0.117079498276579,0,0,0,0,0,0,0,0,0,-0.261009228422627,0,0.0453580767832168,0,0,0,0,0.0119947025411583,0
X823.HK.EQUITY,0,0,0,0,0,0.112931674233645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16094617985103,0,0,0,0,0,0.248444315138871,0,0,0,0.00104932417328061,0,0,0.223270771396304,0,0,0,0,0.0728763642967951,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426797514397046,0,0.0148432010690975,0,0.180386242166399,0,0,0,0,0,0,0,0,0,0,0,0,0.234067188641823,0.125293337088373,0,0,0,0,0.134026551766054,0,0,0.0179681910118195,0,0,0,0,0,-0.0321474739454722,0
X600918.CH.Equity,-0.0188748997855455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623600953534213,0,0,-0.157121170235595,0,0,0,0.0105601811659989,0,0,0,0.25691805941564,0,0.0686718633064381,0,0,0,0.0157005560691783,0,0,0,0,0.533984204248068,0,0,0,0.0145280156639368,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.765987441236727,0.0421047649075843,0,0,0,0,0,0,0.108071484952003,0,0,0,0,0,0,0.00539675201939429,0,0.0830760096258256,0,0,0,-0.0393244084464682,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0209234966904662,0,0.0118013085537293,0,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0888184024893639,0,0,0,0,0,0,0,0,0,0,-0.138651187332771,-0.282017802826033,0,0,0,0,0,0,0,0.0411604244793788,0,0,0,0,0,0.0770585632275932,0,0,0,0,0,0.0916259020060605,0,0.214949469414985,0,0.670585903746315,0,-0.0248351633717433,0,0.168762893332937,0,0,0,0
FXI.US.EQUITY,0,-0.196959272618875,0,-0.00986960435765687,0,0,0,0,0,-0.0922463605680305,0,0,-6.93889390390723e-18,0,0,0,-0.0905329108947111,0,0,0,0.0378587388306361,0,0.0797168333686955,0,0,0.080429700455183,0,-0.03143905958842,0,0,0,0,0,0,-0.0911924607142638,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.049604969782713,0.294274457773273,0.026493854354091,0,0.0667700940695781,0,0,0,-0.432310795632732
VXFXI.INDEX,0,0,0,0,0,0,0,0,-0.136530474099064,0,0,0,0.12915780408677,0,0,0,0,0,-0.155364901058356,0,0.104645007474026,-0.0523156034886578,0,0,0,-0.0478080300981064,0,0,-0.0171626165363054,0,0,0,0,0.232745210911071,0.0136585423039301,0,0,-0.097446616736131,0,0,0,-0.0601190053276126,0,0,0,0.0242909728759736,0,0,0,0,-0.0171951764470618,0
