,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601688.CH.EQUITY,0,0,0,-0.163262962365477,0,0,0.2647056568921,0,-0.231860394357048,0,0,0,0,0,0,0,0,0.120476457998152,0,-0.225274466572751,0.560059809432031,0,-0.43835548501747,0,0,0,0,0,0,0.230591783956308,0,0,0,0.118320373057255,0,0.141145317522072,0.171395512298357,0,0,-0.0322463946575611,0,0,0,0,0,0,0,0,0,0.0194465436949628,0,0
X12.HK.EQUITY,0,0,0.108891791141014,0.127148776429248,0,0.0429274997588944,0,0.366265870341442,0,0,0.0758906246639499,0,0,0,-0.200803256160492,0,0.121714271029132,0.178463685963503,0,0.0750006650634012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194661055143714,0.17021801362977,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0.223413466614218,0,0,0,0,0.0510205321947275,0,0,0,0,0,0,0,0.494514658255866,0,0,0,0,0,0,0,-0.131660341028146,0,0,-0.0463172014836144,0,0,0,0,0,0.0780537874898861,0,0,0,-0.0820869461363991,0,0.034135231718281,0,0,0.339714199354032,-0.0699107930772699,0,0,0,-0.0200465386452471,-0.229966167552825,0,0,0,0,0.0804259095603011
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,-0.127135523076511,0,0,0,0,0.415611328518402,0,0,0,0,0.0424381653472155,0,0,0,0.366573854262574,0.0524414186275169,0,0,0,0.0498995026307885,0,0,0,0,0,0,0,0,0,0,0.269622993543534,0,0,0,0,0,0,0,0.000214555606766477,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0.0442142098126985,0.0424804445503484,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289993858678584,0.119994945148238,0,0,0,0,0.269571486148948,0,0,0,0,0,0,0.0458948718515697,0.401373267054104,0,0,0,0,0
X823.HK.EQUITY,0.143753650203497,0,0,0,0,0.0385185016091385,0,0,0,-0.0420282990005362,0,0,0,0,0,0,0,0,0,0,0,0.37989785062639,-0.334672623339435,0,0,0,0,0,-0.0444107430127914,0,0.0330273376659293,0.254685959263125,0,0.066367820810174,0,0,0,0,0,0,0.228961780588345,-0.203122786537596,4.33680868994202e-19,0,-0.0818609248620918,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,-0.0428485138907301,0,0,-0.147757022448597,0.0129481865869849,0,0,0,0,0,0.210864084287097,0,-0.00246086851550517,0,0,0,0,0,-0.224141240724864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953716329852793,-0.0888152504645987,0,0.449627291676477,0,0,0,0,0.0729166716807436,0,0,0,0,0,0,0.196421412001543,0.346586093214258,0,0
X601229.CH.EQUITY,0.104148217645816,0,0.378744917159258,0.124129210187763,0,0,0,0,0,0,0,0,0,0.034036833110348,0,0.0826993630874138,0,0,0,0,0,0,0,0,0,0,0.016299816822718,0,0,0,0.00805681711056008,-0.156974783206111,0,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0827232686009657,0.120862342107035,0,0,0,0,0,0.512368354091571,0,0,-0.0279688162984417
X601336.CH.EQUITY,0,0,0,-0.19992087841785,-0.167171292231252,0,0,0,-0.0298174898794656,0,0,0,0,0,0,0,0,0,0.394452442205862,-0.0525430731319402,0,-0.0086395455349209,0,0,0,0,0,0,0.170379446930463,0,0.0680353823022622,0,0,0,0.037319601403202,0,0,0,0,0,0,0,0,0,0,0.472412388029528,0,0.0681468256871013,0.145917260129534,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0685723400516384,0,0,0.0164450512946297,0,0.0325851293937293,0,0,0,0,0.0663803149697814,0,0.0731415318054442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140681052048266,0,0,-0.023617542460824,0,0,0,0,0,0,0,0,0,0,0,0,0.383274579337302,1.73472347597681e-18,0,0,0
