,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X000166.CH.EQUITY,0,0,0.00728309617363422,0,0.0328930796150846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971913626508472,0,0,0,0,0,0,0,0,0.219808542895142,0,0,0.143423483741928,0.466340478169743,0,0,0,0,0,0.0449055838275907,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.0517742935197539,0.0204586297402187,0.0355728497994326,0.529152331036757,0,0,0,0,-0.0726472968079182,0,0,0,0,0.262841214733041,0.0414521270094149,0,0,-0.00554444718247916,0.330684320861794,0.0340270502934152,0,0,0,0,0,0,-0.105987154827458,0,0,0,0,0,0,-0.0793525606429602,0,0,0,-0.153598634466777,0,0,0,0,0,0,-0.153362832465719
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.365945253283072,0.064267658453937,3.46944695195361e-18,0.532721073243351,0,0,0,0,0.022817786126181,-0.5226608107607,0,0,0.174791530411813,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,-0.400960712816491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672771482632123,0,0,0.457740512432325,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663286463083207,0,0,0.0558859503433177,0,0,0,0,-0.213074998353349,0.0455014189541611,0.145444981066826,0,0,0.248613252745512,0.124611131973652,0,0,0,0,0,0,0,0,0,0.104486588598296,0.039466182286874,0,0,0
X601229.CH.EQUITY,0.899915500330886,-0.265026201142773,0,0,0,0,0,0,0.315207637134376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097744116787648,0,0,0,-0.273873664375371,0,0,-0.127387958758052,0,0,0.0286472906204641,0.385734348984762,0,0,0,0,-0.000989905453089827,0,0,0,0,0,0,0,0,0,-0.168106661563655,-0.0778714483683074,0.123604968072196,0
X002736.CH.EQUITY,0,0,0,0,0.216496571593814,0,0,0,0,0,0,0.112416600807556,0,0.130147895699583,0.251703641314689,0,0,0,-0.0383929720236125,0,0,0,0,0,0,0,0.0775047412781884,0,0,0,0,0,0,0.265860882398052,4.48788096926687e-05,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0309518591397732,0,0,0,0,0,-0.121508100929676,0,-0.146281571515634
X823.HK.EQUITY,-0.0237826687849766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788177025302995,0,0,0,0,0,0,0.413363818696377,0,0,0,-0.0156557428917606,0,0,0,0.221944121055749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37436529848432,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309792526704012,0,0,0,0.00871668353630573,0.305011436542764,0.0235496568032543,0.0384627297910149,0,0,0,0,0,0,-0.0973768591470143,0,0.303598532520171,0.0281075518762545,0,0,0,0.0469107774827192,0,0.0717737681072166,0,0,0,0,0,0,0,0.0845642468046354,0,-0.025720076998631,-0.142220515073637
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0.0698605015710519,0,0,0,0,0.0356571860493499,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.318289137567467,0,0,0,0.000353923511634884,4.33680868994202e-19,0,0.0607028586718428,0,0.430755572788363,0,0,0.10261979422946,0,0,0,0.349418784555402,0,0,0.10881767910061,0
X2886.TT.EQUITY,0,0,0,0,0,0.0438339488582764,0,0.00613098781365714,0,0,0,0,0,0,-0.295939398436657,0,0,0,-0.172966314451253,0,0,0,0,0,0,0,0,0,0.289662948372345,0.23619575230405,0,0,0,0,0,-0.13199416628665,0.104474145255695,0,0,0,0,0,0.430903973874736,0.106550099791889,0,0,0.088116799711306,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,-0.0586418881591308,0,0,0,0,-0.0811181152353658,-0.111092183112138,0,0,0,0,0,0,0.00689037687469971,0,0,0,0,0.0270008303430135,0.0402346802095885,0,0,-0.0145853676834535,0,0,0,0,0.0662004975125149,0,0,0,0,0,0,0,0.235130328468689,-0.0611319886394751,0.0601281453109444,0,0,0,0,-0.423047649212411
VXFXI.INDEX,0,-0.219106319463443,0,0,0.0280669314185412,0,0,0,0,0,0,0,0,0,0.161708531852985,0,0,0,0,0,0,-0.0174382785762307,0,0,0,0,0,0,0,0,0,0.0787354237607431,0,0,0,0,-0.0165560739863949,0,0,0,-0.127136773585215,-0.17409050694764,0,0.0696497357947376,0.119125792370936,0,0,0,0,-0.142411731725803,-0.452622962232574,0
