,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601336.CH.EQUITY,0,0,0,-0.0688227390477287,0,0,0,-0.00277023129079039,-0.076858678303048,0,0,0,0,0,0,0,0,0,0.264563568731177,-0.0991947435394198,-0.144387043900406,0,0,0,0,0,0,0,0.134343639535021,0,0.0389272973661268,0,0,0,0,0,0,0,0,0,0,0,-0.00398552780432059,0,0,0.473681187808796,0.103919325010547,0,0.21454261729386,0,0,0
X1997.HK.EQUITY,0.163379940635928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460929019537244,0,0,0.0818569878120079,0,0,0.0614579648599821,0,0,0.0442659593624724,0,0,0,0,0,0.100123264800974,0.395665507335161,-0.0201098318077237,0,-0.239855737769025,0.0561911333993474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.035138923892599,0.271512023290818,0.254975009853148,0,0,0.000981133282413655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791326399134625,0,0,0,0,0,0,0,0,0.136002830219696,0,0,1.73472347597681e-18,0.298204046354316,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0.0541819007185202,0,0,0,0,0,0,0,0,0,0,0,0,0.0204534316811612,0,0,0,0,-0.0770214583628346,0,0,0,0,0,0,0,0,0.00565755313666733,0,0,0,0.116128425205245,0,0,0,0,0,0.067560868551511,0,0.213039408070359,0,0,0,0,0,0.0713264493606852,0.244300198720247,0.422659567380235,0,0
X600015.CH.EQUITY,0,0,0.0985560114722603,0,0,0,-0.0207216563181633,0,-0.00782870755761673,0.0315756452735056,0,0,0,0,0,0,0,0,0,0,0,0.0322500217956403,0,0,0.0247322932750284,0,0,0,0.252701419869249,0.0850606460134411,0,-0.00399607208797765,0,0,0,0,0,0,0.150805960824258,0,0,0.222941069570932,0,0.0675069798447536,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0.330687788259813,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209026341172812,-0.0398654368778133,0,0,0,0,0.027867483775977,0,0,0,0,-3.46944695195361e-18,0,0,0.11507979338024,0,-0.0275721827550835,-3.46944695195361e-18,0,0,0,0,0.285427739375208,0,0,0,0.442183505985778,0.257548285239274,0,0,-0.0365048057422804,0,0,0,-0.0552767072359562,0,6.93889390390723e-18,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.185271206521278,0,0,0,0,0,0,-0.0524699719525066,0,0,0,0,0,0,0.335326103318376,0,0.130197144853902,-0.0695932326455585,-0.140650435428035,0,0,0,0,0,0,0,0,0.692926519686814,0,0,0,0,0,0,0.0999549244006024,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.34855596695737,0,0,0,0,0,0.101189409310283,0,0,0,0,0,0,0,0,0.269545925749964,0.0695273099787244,-0.186510594778389,0.184009169128963,0,0,0.169410637165494,0,-0.145662102138817,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793473693932974,0,0,0,0,0,0,0,0,0,0.133469424729294,0,0,0,0,0,0,0.0948158132842154,0,0.0268656744304471,0,0,0,0,0,0.271088552194894,-0.0107064588637558,-0.0241497957553968,0,0,0,0.257734378438301,0.143022561719065,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0353701516056379,0,0,-0.140810139582688,-0.013881435869194,0,0,0,0.00633491779881765,0,0,0,0.00761366887041364,0,0,0,0,0,0,-0.0111930325431449,0,0,0,0,0,0,0,0,0,0,0.0158491397317937,0,0,0,0,-0.0105551768581874,0.14089406670004,-0.038171493988664,0,0,0,-0.925570351329776
VXFXI.INDEX,0,0,0,0.0747473292824312,0,0,0.0354540223450563,0,0,-0.00123274807595254,-0.0827619079951975,0,0,-0.179232417098921,-0.0650851334302122,0,0,0,0.01878545569938,0,0,0,0,0,0,0,0,0,0,0,-0.00762250076648127,0,0,0,0,0,-0.00791726532423741,0,0,0,0.00411797313317104,0,0,0,0,0,0.1156854086027,0,0,-0.020589512913468,-1.03507011121809,0
