,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601998.CH.EQUITY,0,0.191165788559465,0,0,0.0712694857952422,0,0,0.0235599327308575,0.0477615880830185,0,0.107302637191029,0,0,0.115045221695071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140136753110873,0,0,0,0,0,0,0,0,-0.0354987646526416,0,0,-0.0213659907002151,0.0432053754959849,0,0,0.441069896652326,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.247597605558777,0,0,0,0,0,0.0827571829589471,0,0,0,0,0,0,0,0,0,0,0,0,0.393919670587507,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.151310579841361,0,0,0,0,0,0.0527890593573128,0,0.0823377124133439,0,0,0,0.0139466953075302,0,0,0,0
X11.HK.EQUITY,0,0,0,0,-0.0710201898073857,-1.38777878078145e-17,0.133175641368474,0.293411511387332,0.0161829207572652,0.0690595355364986,0,0,0,0,0,0,0,0,0,0,0,0.215736779458095,0,0,0.484361665712379,0,0,0,0,0,0,0,-0.049607910242012,0,0,0,-0.138154992915793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27323916866637,0,0,0,0.000213427134246333,0,0.264447215562642,0,-0.0587374609420182,0,0,0,0,0.258752153115207,0,0,0,0,0,0,0,0.0814222565059355,0.203077835167304,0,0,0,0,0,0,0,0,-0.0707395193083069,0,0,0.0963082918829922,0,0,0
X267.HK.EQUITY,0,0,0,0,-0.0168245658390016,0,0,0.229853587617871,0,0,0,-0.145110623308591,0,0,0,0,0,0,0.00336250523146081,0,0,0,0,0,0,0,0.535056390866213,0,0,0,0,0,0,0,0,0,0.112456352280174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538072755494247,-0.0334133521992299
X2007.HK.EQUITY,0,0,0,0,0,0,1.73472347597681e-18,0,0.0385203648588969,0.0298495512032636,0,0,0,0,0,0,0,0.120850571388806,0,0,0,0,0,0,0,0,0.574199234257147,0,0,0,0,0,0,0,0,0,0,0,0.0352176094459727,0,0,0,0,0,0,0,0,0.165645245640465,0,0,0,0
X601818.CH.EQUITY,0.196240283922592,0,0,0.244770193474884,0,0,0,0,0,0,0.0622715823709737,0.280246367325783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133921786472855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0672873855351109,0
X600048.CH.EQUITY,0,0,0,0,0,0.108590588710826,0,0.0754512848842276,0,0,0.100857588469161,0,0,0,0.39791380845461,0,0.124740207971593,0,0,0,-0.0804594849421125,0,0,0.137839589761447,0,0,0,0,0,0,0,0,0,0,0,0,0.0263625617907469,-0.105611223172903,0,0,0,-0.0218596591335674,0,0,0.189945445803156,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.0856748805711522,0,0,0,0,0,0,0,0.23809560165989,0.00726829899732897,0,0,0,0,0,0,0,0,0.0178192008784409,0.0401563878387775,0.108061948402672,0,0,0,0,0,0,0,0.0421682774424461,0,0,0,0,0,0.377787843179414,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0.0304065872429862,0,0,0,0,0,0,0,0,0,0,0,0.0772256231560969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352747749086178,0,0.0767672275294402,0.294575692428709,0,0,0.0479678662428948,0,0.0751374929738701,0,0,0,0,0.45318074066151,0,0
