,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X2007.HK.EQUITY,0,0,0,-0.147211740863294,0,0,0,0,0,0.0511349176994427,0,0,3.46944695195361e-18,0.0897683621033176,0.0936692620386756,0,0,0,0.140358929585169,0.00898397123763395,0,0,0.000653632981590545,0,0,0.475124485728985,0,0,1.38777878078145e-17,0,0,0,0,0.12912274537238,0,0,0,0.003693602158682,0,0,-0.103215996853527,-0.0228056251267272,-0.0425676582887034,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.207987787328749,0,0.0602907109909946,0.463952714049572,0,0,0,0,0,0,0,0,0.115063853241575,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117775149235557,0,0,0,0,0,0,0,0,0.105785406566236,0,0,0,0,0,0,0.0427720797238716,-0.0762097171494989,0,0,0,5.42101086242752e-20
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0769099316269322,0,0,0,0,0,0.153943797215763,0,0,0,0.236046526084517,0,0,0,0.326146021213222,0.0559647318421693,0,-0.0523100813112344,0,0,0.107512192301524,0,0.0163265748092449,0.137267819186801,0,0,0,0.101495711545799,0,0,0,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0.0763231994857029,0,-0.0674901391176404,0,0,0,0,0,-0.0884351660896875,0,0,0,0.0037709844086475,0.126675966903047,0,0.292859268211173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151363887485073,0,0,0,0,0,0.048172804579395,-0.216720911024562,0.310585467758955,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.312146313637815,0.0403707676665732,0,0,0.013043520099356,0.0481800441173123,0.129302002129123,0,0,0,0,0,0,0,0,0.0757292878846859,0,0,0.101624117909217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176115765068869,0,0,-0.210100656238007,0,0.0578783092585482,-0.20480148644627
X601688.CH.EQUITY,1.73472347597681e-18,0,0,-0.245436683928708,0,0,0,0,0,0,0,0,-0.0189576682049419,0,0.0908963724443549,-0.158962559028135,0.174033976172687,0,0,0,0,0,0,-0.129928650764248,0,0,0,-0.00434636226291661,0,0,0,0,0,0.0119497431336724,0,0,0.465013665942018,0,0,0,0.204682942725472,0.079310247574917,0,0,0,0.0615346038719073,0,0.331042136469762,-0.020221661406626,0,0
X12.HK.EQUITY,0,0,0,-0.0892722464697587,0,-0.351566789908751,0,0.406678599149939,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.162366461455027,0,0,0,0.386238115143765,0,0,0,0,0,0,0,0,0.0108069284044875,0,0,0,0.131653534872096,0.244980810601718,0,0,0,0,0.116446044986087,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,-0.255244225427053,0,-0.134811313848817,0,0,-0.0985179665485858,0,0,0,0,0,0,-0.215146406683758,0,0,0,0,-0.155505983045794,0,0,0,0.198106939081707,0,0,0,0,0,-0.0532623041240291,0,0,0.388490870298068,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.148799989029758,0.324532926895814,0.233972842963679,0,0,0,0.144051999745034
X601211.CH.EQUITY,0,0,0,0,0,-0.0134522209237815,0,0,0,0,0,0,0,0.00187637232892503,0,0,0,0,0,0.0615226206252977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400405739670407,0.108058849278808,0,0.125398974816587,0,0,0.302602100416309,0,0,0,0,0.321915071243417,0,0,0.0246644558702296,-0.0181441843937416
X601336.CH.EQUITY,0.00304671613649582,0,-0.210231014602008,0,0,0,0,0,0.225391769024827,0,0,0,0.0737877131206719,0.105178354953392,0,0,0,0.153631051264056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676282700715251,0,0.285571517686031,0,0,0,0,0.258615887733768,0,0,0,0,0,0,0,0,0,0,0
