,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X5.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0404015381489006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533877859408064,0.0639859165570624,0,0,-0.0891237300987296,0,0,0,-0.0465238398649079,0.10837171940056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393628091227713,0.179647435470916,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191006665590202,0,0,0,0.0578382447200673,0,0,0,0,-0.0657265127266466,0.182148093884176,0,0,0,0,0,0.0401023534705834,0,0.0473956479931008,0.391277187737498,0.169475821973446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158955291252691,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.100204554756031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662571984079495,0.172635342410389,0,0.0886324280603659,0,0,0.00624953653696954,0.169388500143038,0,0,0,0.061450828121306,0,0,0,0,0,0,0.02874076872774,0,0,0,0,0,-0.0291269854999799
X2886.TT.EQUITY,0,0.0355935216364452,0,0,0,0,0,0,0.0872521247135159,0,0,0,0.0275984954316394,0,0,-0.0908221934653739,0,0,0,0,0,0,0,0,0,0.0158436573620681,0,0,0.00406480255046646,0.00968632850116363,0,0,0.0969359193636122,0.0790642370220634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201314814291902,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0.0698422288788623,0,0,0,0,0,0,0,0,0,0,0.0254110889824537,0,0,0,0,0,0,0.0422484688530628,0.00581950529737841,0,0.140877591494223,0,0,0.34093504642145,0,0.11238673152193,0,0,0,0,0,0,0,0,0,0,0,0,0.307487233914456,0,0,0,-0.0393480284497205
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.156417358501677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231588833976389,0.0542342408383897,0.161701930452055,0.355746548773603,0,0.152571407976309,0,0,0,0,0,0,0,0,0,0,0.062175261628483,0.049658660747971,0,0,-0.14573031073327,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149361128161846,0,0,0.093675371672967,3.46944695195361e-18,0,0,0,0,0,0.0960318742903117,0,0,-0.0080839194359364,0,0,0,0.160248791661168,0.0214061026032225,0.191123403953935,0,0.129811420099632,0.0528988561463655,0.00255383833262694
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211122643094373,0,0,0,0,0,0,-0.111640324521339,0,0,0,0,0,0,0,0,0,0.347397184139181,0,0.0581311579360351,0,0,0,0,0.0850710108629464,-0.0529460891922694,0.191939204157483,0,0,0.0626056035335406,0,0.230512970040967,0
X600837.CH.EQUITY,0.0976094806498135,0,0,0,0.195370306768867,0,0,0,0,0,0,0,0,0,0,0,0,-0.11628179997906,0,0,0,0,0,0,0.229496610100618,0,0,-0.00334114039813758,0,0,0,0,0,0,0,0,0.321080597740385,0,0,0,0,0.0906129910351236,0,0.156088265561101,0,0,0,0,0,0,0.00503179986699893,-0.12272859854624
X601211.CH.EQUITY,0,0.0125513844590535,0,0,0,-1.73472347597681e-18,0.0376504562197737,0,0,0.0251335532489316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461104019085762,0,0,0.0199828000776567,0,0,0,0,0.497702019993609,0,0.402590764826331,0,0,0,0,0,-0.0360502228420974,0.017062450159764,0,0.0179923924389488,0,0,0,0,0
