,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X388.HK.EQUITY,0.0547663605237713,0.0593985656114142,0,0,0,0.103977232126102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101785171687344,0,0,-6.93889390390723e-18,0,0,0,0,0.481961287668664,0,0.0335855508764655,0.0187196822749476,0,0
X601318.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0.0690246515000686,0,0,0.249900579961651,0,0.278489560066828,0,0,0.0810277640681366,0,0,0,0,0,0,0,0.0371949083818928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211271597946554,0,0
X601319.CH.EQUITY,0.102304632714503,0,1.38777878078145e-17,0,0,0,0,0,0,0.156372540028214,0,0,0.191215257803697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295649606373611,0,0,0,0,0,0,0.0268145365538276,0,0,0,0,0,0,0,0,0,0.385636489744238,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.0939391160826997,0,0,0,0,0.0494443359148071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285479004892411,0,0,0,0,0,0,0.126744512168432,0,0,0.0374253187294787,0,0.230861301216289,0,0,0,0,0.0262220712232774,0,0,0,0.0770998594650344,0,0,0.343543412347008,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.0154923745817288,0,0,0,0,0,0,0,0,0,0,0.196248413501346,0,0,0,0.178643470762084,0,0,0,0,0.0133349951201332,-4.33680868994202e-19,0,0,0.0642195980758459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504657456428484,0.354546784381552,0,0,0.105410433034606,0,0.0304304311728375,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.107721804957003,0,0,0.203371343832909,0,0,0,0,0.000176040235713673,0,0.312375622480311,0,0,0,0,0,0,0.0483576931466688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129065423856071,0,0,0,0,0,0.0544500466556424,0
X1299.HK.EQUITY,0,0.0286951075564841,0,0,0,0.0302579228783306,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913462037584733,0,0.0443209152484584,0,0,0,0,0,0,0,0,0,0,0,-0.0475114279787712,0,0,0,0,0,0,0,0.233904603934475,0,0,-0.0666344697084072,0,0,0,0.468972601857498,0,0.379965298690817,-0.0759900411958925,0.0849040612634903
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271264465149909,0,0,0,0.0680460900821209,0.0673892047922738,0.263981122983974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381889640881338,0.280662330979789,0,0.26441637324419,0,0,0
X2882.TT.EQUITY,0,-0.0914640485605436,0,0,0,0,0,0,0,0,0,0,0.0596808572749719,0,0,0,0,0,0.0218546398232222,0,0,0,0.135508859300734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210481770213897,0.0117919181625144,0.0697212664068903,0,-0.174405202373866,0.715204489074349,0,0,0.098368507179156,0.0758346128429511
X267.HK.EQUITY,-3.46944695195361e-18,0.152610214685714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208215848805601,0,0.0186312868806923,0,0,0.415970733276008,0,0,0,0,0.0479958415235962,0,0,0,0,0,0,0.118010865159747,0,0.0218756055323096,0,0.0289916225088675,0,0,0.00418691188184992,0,0,0,0,0,0,0,0,0,0,0
MKRturn,0,0.541821948176988,0,0,0,0,0,0,0,0,0,-0.597593612084875,0,0,-0.18468626394754,0,0,0,0.236170788466556,0,0,0,0.277404271630299,0,0.137672933709665,0,0,0,0,0,0,0,0,-0.644732684302966,0,0,0,0,-0.176068708963011,0,0,0,0,0,1.1721284136751,0,-0.481760262140844,0,0,0,0,0
TED,0,0,0,0,0,-0.0612634781578355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118519400608382,-0.118968311510854,-0.0168390571955839,0.125230889916852,0,0,0,0,0,0,0.113723802280583,0,0,0,0.0344468943339969,0,0,0,0,0,0,0,0,0,0,0,-0.00821199238323144,0,0,0,0
