,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601319.CH.EQUITY,0,0,0,0,0.0142530173507817,0,0,0,0,0,0,0,0,0,0.0355521366011612,0,0,0,0,0,0,0,0,0,0.0379093231481762,0,0.0309338855874144,0.15110208333422,0,0,0,0,0,0.19718675215198,0,0.113711211316347,0.249271005547287,0,0,0,0,0.0847943328466344,0.0833002042409933,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0
X601601.CH.EQUITY,0.0294016245886414,0,0.702220225329848,0,0,0,0,0,0,-0.0952278769895894,0,0.000292578238599429,-6.93889390390723e-18,0,0,0,0.124503899108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273211559842803,0,0,0,0,0,0,0,0,0,0,0,-0.0308841478748941
X2388.HK.EQUITY,0,0,0,0,0,0,0.213484329948603,8.67361737988404e-19,0,0,0,0.0829522864473228,0,0,0,0,0,0,0,0,0,0,0,0.438189674433355,0,0,0,0,0,0,0,0,0,0,0.165705212964899,0,0,0,0.0556180962426515,0,0,0,0,0,0.0799950762791038,0,0,0.019329691361727,0,0,0,0,-0.00689719553215251
X11.HK.EQUITY,0,0,0,0,-0.0156034873778318,0,0.131747132915552,0.290927012928015,0,0,-0.0590686513822642,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.126526100116358,0.508812341089448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881156128074452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0805834896767616,0,0,0,0,0.107234167077045,0,0.608812424633214,0.103316037517994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129777221971167,0,-0.094064750611199,0,0,0,0,0,0,0,0,0,0,0,0.132819113542898,0,-0.15193675660202,0.0253694621744309
X601998.CH.EQUITY,0,0.269223352527741,0,0,0.0851913352202951,0,0,0.0296319543829596,0,0,0.0540292625540238,0,0,0.174263232040745,0,0,0,0,0,0,0,0,0,0,0.0212906819397031,0,0,0,0,0.0969714448643004,0.06094705870744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297348303651909,0.0972017856387101,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.234962920292913,0,0,0,0,-0.129349418778042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531974184037016,0,0,0,0,0,0,0,0,0,0.110086654481373,0,0,0,0,0,0,0,0,0,0,0,0,0.0718842595751306,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243091731557543,0,0,0,0.122235429175779,0.0881367084096328,0.283515469961558,0,0,0,-0.0802220817114851,0,0.233446712404206,0,0,0,0,0,0,0,0.117095753336099,0,0,0.207656381989147,0,-0.0312090853078919,0,0,0,0,0,0,-0.121561842746152,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.00314266687963502,0,0,0,0,0,0,0.0358149014432862,0,0,0,0,0,0.121653823713019,0.00218710199729244,0,0,0,0.545521256230141,0,0,0,0,0,0,0,0,0,0,0,0.0420798031071892,0,0,0,0,0,0,-1.38777878078145e-17,0.258569868366141,0,0,0,0,0.0323169498996325
X601818.CH.EQUITY,0.144000049661937,0,0,0.28815116474978,0,0,0,0,0,0,0,0,0.307561934194498,0,0,0,0,0.0318480493385927,0,0,0,0,0,0,0,0.035992481768383,0,0,0,0,0.105863375773551,0,0,0,0,0,0.00430479480978207,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392891685875275,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.0904705022368081,0,0,0,0,0.351154435153829,0,0,0,0.253945311004612,0,0,0.116295587324953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117692354910763,0,0,0,-0.0954218890561367,0.123156355129673,0,0,0,0,0,0,0,0.100678511465025,0,0,0,0,0,0,-0.0747029830812689
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253469621801394,0,0,0.377622451524449,0,0,0,0,0.148155091852986,0,0,0,0.00768978478897161,0,0,0,0,0,0,0,0.00226417775822803,0,0,0,0.0078662193593842,0,0,0,0.314190736892467,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0534447132566948
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00140150320831071,0,0,0,0,0,0,0.0307552913103905,0,0,0,0.0962459682188295,0,0.0986495633959049,0,0,0,0.202809683320576,0,0,0,0,0,0.334201334429774,0,0.0278575254634622,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.113565375908656,0.0956706176523604,-0.0651654660696768,0,-0.0910393636675834
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0571566142028683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588972975698107,0.285806424344289,0.0429396451760152,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0.036774737759493,0,0,0,0,0,0,0,0.250945322707998,0,0.392607971716526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152558801052824,-0.0891049665362317,0.29375890453021,0,0,0,0,0,-0.121293842383074,0.170178587297066,0,0,-3.46944695195361e-18,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.126952541216651,0,0,0,0.0828273810455192,0.259897210509935,0,0,0,0,0.100241136983783,0,0,0,0.0332886620785848,0.0147839978439567,0.104287285874775,0,0,0,0,0,0,0.253862976474684,0,0,0,0,0,0,0,0.0382619847185711,0,0,0,0,0.150031435054553,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0469029454612266,0,0,0,0,0.0983608816707539,0,0,-0.0242059308668973,0.00985780237214306,0,0.0916807359485988,0,0,0,0,0,0,-0.159053591522783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564321575406396,0,0,0,0.115515635631487,0,0.114715592502971,0,0,-0.110383355167159
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.144352759471249,0,0,-0.165238684943293,0.397943736625514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479340246548436,0,0.0598619003865287,0,0,0,0,0,-0.0114713069575163,0,0,0,0.0597747490980582,0,-0.0302738238691002,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0.0958956094892945,0,0,0,0.0763534881521669,0,0,0,0,0,0,0,0,0,0.750804629617859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.016924214342339,0,0.0216248229773758,0,0,0,0,0.178956262567817,-0.230760158847799,0,0,0,0,0,0,0,0.148556140690108,0,-0.0409488267342731
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381068663967848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255914625705972,0,0,0,-0.0395553780236272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.331562240729579,0,0,0,0.0150963232784218,0,0,0.0658036491838155,0,0,0.19333868861229,0,0.0797688976807269,0,0,0,0.213474102455718,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0022988572125329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0523298143618808,0,0,0,0,0,0,0,0,0.12833640983519,0,0,0,0.305774549166022,0,0,0,0,0,0,0,0,0.294257599007889,0,0.00600253296754743,0,0.0239495032710156,0.0220077988530588,0,0.281845808145319,0,-0.0408783500182599,0,0.0223272970792491,0,0,0,0,-0.134829849071221,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0712585793226309,0,0,0,0,0,0.0471495319401344,0,0,0,0.292075567537154,0,0,0,0,0,0.0898744819206735,0,0,0,0,0,0,0.294187538269145,0,0,0,0.186106030959183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10347720428008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309571501864459,0,-0.0595374417028185,0,0,0.0223379449743563,0,0.50330140849328,0,0,0,0,0,-0.0170499723463383,0,0,0,0,0.297945545580172,0,0,0.133088722069002,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.169067235991184,0,0,0,0,0,0,0,0,0,0,0.0517798329005718,0,0,0,0,0,0.0899289718424653,-0.191687590964614,0,0,0,0,0,0,0,0,0,0,0,0.627604687542038,0,0,0,0.0871690116368788,0,0.0412013676856907,0,0,0,0,-0.0501248385855177
X600999.CH.EQUITY,0,-0.0357299805774981,0,0,0.124968897490611,0,0,0,0,0,0,0,0,0,0.0439402344544412,0,0.136696077121334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704397259613972,0,0.0868249395640707,0.492042803196619,0.0167168067389252,0.106574237885795,0,0,0,0,0,0,0,0,0.115458769526339,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.150203449809055,0,0,0.140808382895477,0,0,0,0,0,0,0.0605010103736626,0,0,0,0,0,0,0,0,0,0,0,0.149485096714539,0,0,-0.0249513918477973,0,0,0,0,0,0,0.160438815279897,0,0,0,0,0,0.0326154495629605,0.472393555981496,-0.0576699340380268,0,0,0.0435515457155721
X2886.TT.EQUITY,0,0,0,-0.0317932119133371,0,0,0,0.0127101246796601,0,0.0523989973918304,0,0.081319034626862,0.175499168438348,0,-0.0207147153708574,-0.228970794158901,0,0,0,0,0,0,0,0,0,0,0,0,0.147673571818045,0,0,0.143986375164352,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.478168479432037,-0.0131209279557914,0,0.131469868383703,0,0,0.0482176360488169,0.133974363113416,0,0
X600015.CH.EQUITY,0,0.277103278092439,0,0,0,0,0,-0.052264984134692,0,0,0,0,0.189968565547167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137459337400142,0,0,0.259935904362958,0,0,0,0,0,0,0,0,0,0,0,0.108981784687718,0,0,0,0,0,0
X2891.TT.EQUITY,0.091116208912835,0,0,0,0,0,0,0,0,-0.0517487314407102,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0168198631269835,0,0,0,0,0.0579898398576015,0,0,0,0,0.063127496423499,0,0.082305733152145,0,0,0,0.0826136352160649,-0.0436291696877257,0,0,0,0,0,0,0,0.517187297406383,0.0965570830638137,0,0.188186787266727,0,0
FXI.US.EQUITY,0,0,0,-0.166455664830784,0,0,0,-0.159465543731184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169293678958532,-0.100971905772401,0,0,0,0,0,0,0.0489401947697584,0,0,0,0,0,0,0,-0.113038426789512,0,0,0.167370714997769,0,0.00674178871639594,0,-0.826165940525107,0
VXFXI.INDEX,-0.12342517432754,0,0,0.121307786469146,0,-0.0219385372692399,-0.0155698096265662,-0.0324260497391139,0,0,0,0,0,0,0,0,0,-0.188596538345268,-0.10880101985617,0,0,0,0,0,0,0,0,0,0.0813439598485361,0,0,0.0558272586342043,0,0,-0.132512759726642,-5.42101086242752e-20,0,0.227032769888344,0,0,0,0,0,0,0,0,0,0,0,0,-0.693932574924023,0,0.0672470705342714
CN2YR,0,0,0,0,0.183795408930431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0447594984428424,0,0,0,0,0,0,0,-0.215006378903691,0.167337181774026,0,0,0,-0.0454174712099919,-0.0498545979171724,0,0,0,0,0,0,0,0,0,0,0,-0.162772257063119,0,0,0.0838581548638995,0
