,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601319.CH.EQUITY,0,0,0.0739494251572455,0,0,0,0,0,0,0,0,0,0,0,0,0.0124441571356479,0,0.0377725065272938,0,0,0,0,0.0926021576826687,-3.46944695195361e-18,0.270707607228405,0,0,0,0,0,0,0,-0.0376578459118209,0,0,0.0347307508439943,0,0,0.187022888817233,0.281365837339394,0,0,0,0,0,0,0,0,0,0.140581736397369,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158622173246164,0.0766002818098351,0,0,0,0,0.0827516647822216,0,0,0,0,0,0,-0.0502251441224384,0,0,0,0.0710016822112041,0,0,0,0.508874385119373,0.425963403329857,0.0321294364244402,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.0835201096860071,0,0,0,0,0,0,0.206725874237953,0,0,-0.0598565060411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016149286859633,0,0.0656945848872261,0,0,0,0,0,0,0.0516035559945795,0.0531701459581647,0.129767608978937,0.373967780696874,0,0.203954320279776,0.0266186723369045,0.0792301184705555,0,2.16840434497101e-19,-0.0456299966058772,0,0,0
X601628.CH.EQUITY,0,0.0438850582228107,0.0298386702744621,-0.0680141603775091,0,0,0.0850507406284745,0,0,0,0,0,0,0,0,0,0,0,0.0937012011071937,0,0,0,0,-0.0456838596985126,0,0,-0.0610724189827247,-0.136026902377702,0,0.0264601834994984,0,0,0,-0.237891048211264,0,0,0,0,0,0.289576182448101,0,0.477582889924642,0,0,0.0312626551889072,0,0,0.122085851904324,0,0,-0.0882388658272672,0
X1299.HK.EQUITY,0,-0.0909846754837507,0,0,0,0.302084705444473,0,-0.608404085280321,-0.166272327953517,0,0,0.0397039707720979,0,0.339983486594199,0,0,0.0865407702863468,0,0,0,0,0,0,0,0,0,0.0274003481431619,0,0,0,0,0,0,0,0,0,0,0.105670385613375,0,0.265782059744055,0,0.0867817639717982,0,-8.67361737988404e-19,0,0,0,0,0.172584971853469,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115770185828056,0,-0.138328106513652,0,0.137849345371659,-0.159521319587404,0.118737548347054,0,0,0,-0.138965969449263,0,-0.0178681373395962,0,0,0,0.167110842506958,0,0,0,0,0,0.42481854867924,0,0.217134794464502,0,0,0
X2882.TT.EQUITY,0,0,-0.0899029060009146,0,0,0,0,0.0153374790205267,0,0,0,0,-0.0853407743311213,0,0,0.182984843265257,0,0,0,0,-0.00519792915589245,0,0,0,0,0,0.084260499708519,0,0.0573264976297103,0.223888569136954,0.0225974087907645,0,0,0,0,0,0,0,-0.0267090735240125,0,0,0,0,0,0,0.18651354019646,0,0.21259655839587,0.252390392101543,0,0,0
X2883.TT.EQUITY,0,0,0,0,0,0,0.0808874044384484,0.0243559635587442,0,0,0,0,-0.0493909169865116,0,0,0,0,0.0304461321186979,0,0.0729850140427915,0,0,0,0,0,0,0.165473406010524,0,0,0,0,0,0,-0.0941617339452542,0,0,0,0,0,0,0,0,0,0,0,-0.076588110003916,0.341341397817283,0,0,0,0,0
X2888.TT.EQUITY,0,0.0852096562686704,0,0,0,0,0,0,0,0,0,0,0.107423048600999,0,0,0,0,0,0,0.0565239979925908,0,0,0,0,0,0,-6.93889390390723e-18,0.29525058524573,0,-0.0485088498074684,0,0,0,0,0,0.131140491356805,0,0,0,0,-0.0814216141943895,0,0,0,0,0,0.445382610077068,0.199542904377826,0,-0.0240631033029785,0,0
X267.HK.EQUITY,0.0752272899311673,0,0,0,0,0,0,-0.299706745567233,0,0,0.20179754213504,0,0,0,0.569618668047633,0,0,0,0.192153628076235,0,0,0,-0.318652298411938,0.147902029540823,0,0.0577872074927104,0,0,-0.108883108057747,0.288990631433333,-0.1909744630874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166905640151858,0.236290955179162
TED,0,0.104109939904835,-0.00894855856576469,0,0,0,0.0707193957330006,0,0,0.0733604699056681,0,0,0,-0.0573463815841155,0,0,0,-0.079363238606042,0,0,-0.0884440236441808,0,0.033669905004701,0,0,0,0,0,0,0,0,0,0.00779749225570045,0,0,0,0,0,0,0,0,0,0,0,-0.029348292220511,0,0,0,0,-0.0664377824025706,0,-0.0242847868895632
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316824846306818,0,0,0,0,0,0,0,0,0,0,-0.237650130852105,0,0,0,0,0,0,0,0,0.0506510060965657,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0279894254040241,-0.00614884260548917,0
