,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X2886.TT.EQUITY,0,-0.226934457939056,0,0,0,0,-0.0653501077722676,-0.289752282307038,0,0,0,0,0,0,0,0,0,0,0,0.335466034777626,0,0,0.0597088766751541,0.420401286970069,0,0.172853306619505,0,0,0,0,0,0,0,0,-0.350027215719742,0,0,0,0,0,0,0,0,0,0,0,0,0.386438308267591,0,0.166981614181633,0,-0.140491750668553
X2891.TT.EQUITY,0,0.107330983803046,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.232564259591684,0,0,0,0,0,0.0418979297419519,0,0.0790839816707065,0.0235102547657221,0,0.0057867531067277,0.384565564177482,0,0,0,0,0,0,0,0,0,0,-0.118039482639706,0,0,0,0,0,0,0,0,0,0,0,0.0249462086206982,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904813104230197,0,0,0,0.500714435555033,0,0.0401946847841898,0,0,0,0.168080553967725,0,0.0306417295018452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168039343617485,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0214694767675482,0,0,0,0.61047614792502,0,0,0.0754320090378216,0,0,0,0,0,0,0,0,-0.0380588396896373,0,0,0,0,0.181716358495798,0,0,0,0,0,0,0,0,0.0570675957364028,0,-0.0141224612540849
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.10541266390017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713166009241163,0,0.0569396117894451,0,0.457499549826378,0.208719389245421,0,0,0.052423733424548,0.0862137979508228,0,0,0,0,0,0,0,0,0,0,0,-0.0315758458500798,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.2293678666016,0.0519688688898518,0,0.15915294371768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18969654939321,0,0,-6.93889390390723e-18,0,0.173037047874354,0.0301362982317658,0.130248993605229,8.67361737988404e-19,0,0,0.0225705041774146,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.0349621225388365,0,0,0,0.0244175050393551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429645292499274,0,0,0,0,0,0,0.0015916002237401,0,0.341471087642305,0,0,0.00437060699632033,0,0,0.187487749203345,0,0.125325178064983,0.15815185463022,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268909372510111
X300059.CH.EQUITY,0,0.0678639709696399,0,0,0,0,0,0,0,0,0,0,0,0,0.0176053346738303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807732723522557,0,0.0447310247467057,0,0,0.0240076831994812,0,0,0,0,0,0,0,0,-0.0326220564919149,-0.0147482775256668,0,0.0160299421070224,0
X600030.CH.EQUITY,0,0,0,0,0.0442277582169832,0,0.0036481277739652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109975726265118,0.0460955859923226,0,0,0,0,0,0,0.538556098278531,0.077370717974504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.0173282202121821,0,0,0,0,0,0,0,0,0,0.0491329421814963,0.0545096596473601,0,0,0,0,0,0,0,0,0,0,0,0.134384270125424,0.134247921502645,0,0,0,0,0,0,0.219296997039352,0.249820711139133,0.118857233772021,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,-0.0216216467613509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102411847723007,0,0,0.0012737555582425,0,0,0,0,0,0,0,0,0.0594476548656987,0,0.297374567022799,0,0,0,0,0,0.478669353628298,0,0,0,0,0,0,0,0,0,0,0,0.0518856328616501,0,0,0.0812675109741828
X601066.CH.EQUITY,0,0.00782147208526686,0,0,0,0.0732120877843721,0,0,0,0,0,0,0,0,0,0,0,0,-0.170621001908327,0,0,0,0,0,0,0,-0.238841844215403,0,0,0.688810601342664,0,0,0,0,0.180566880261736,0,0,0,0.00586922219164443,0.262411555493284,0,0,0,0,0,0.148386597419165,0,0,0,0,-0.0302284769597818,0
X601211.CH.EQUITY,0,0,0,0,0.351316454185121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602857075641742,0,0.0337752456147536,0,0,0,0,0,0,0,0,0.13120715630806,0.0709125456115461,0,0,0.172329592474251,0,0,0.182302069472369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,-3.46944695195361e-18,0,0.0650017474083938,0,0,0.22471749482805,0,0,0.0592390879619311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120076830987695,0.173759096517798,-1.38777878078145e-17,0,0.186246558392101,0,0.093250460234477,0,0.00554532595655607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0.448101590849066,0,0,0,0,0,0,0,0,0,0,0,0.0324281510342174,0,0.0254286185886586,0,0,-0.0367137576998068,0,0,0,0,0,-3.46944695195361e-18,0.197889159205968,0,0,0,0,0,0,0.0122047576072275,0,0,0,0,0,0,0,-0.0435308507627935,0,0,-0.332333771788156,-0.0296729769924867
X601901.CH.EQUITY,0,0,0,-0.148254012222987,0,-0.0456976761745732,0,-0.029376007511489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344669791728,6.93889390390723e-18,0,0,0.135308742357762,0.687940086722532,0,0,0.154603040030945,0,0,0,0,0,0,-0.0624702195618995,0,0,0,0,0,0,0,-0.147912349684882,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0606089383569804,0,0,0.351097213512958,0.277207766350485,0.0391288057032178,0,0.0578874545187604,0,0.102746293302618,0,0.0785888722168254,0,0.0472695519523373,0,0,0,0,0,0,0,0.0112279336483662,0,0,0,0,0,0,0.11253137786077,0,0,0,-0.0787105883737013,0
X601318.CH.EQUITY,0.228255479185909,0.102630180662071,0,0,0,0,0,0,0,0,0,0,0,0.29929443734052,0,0,0,0,0,0.0115253789400202,0,0,0,0,0,0.166226555130627,0,0,0,0,0,0,0,0,0,0,0,0.0829935939325924,0,0.0710759679128919,0,0,0,0,0,0.0988081923397812,0,0.00933224394044387,0,0,0.0823949284290494,0
