,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601998.CH.EQUITY,0,0.0189918793515883,0,0,0,0,0,0,6.93889390390723e-18,1.73472347597681e-18,0.105750746300817,0,0,0,0,0,0,0,0,0,0,0.162813689291112,0,0,0,0.0520411552998286,0,0,0,0.0608223342381469,0,0,0,0,0.62698260202061,-0.0521108335648179,0,0,-0.288766195358388,-0.0992175131439768,0,0,0,0.0309977959828415,0,0,0,0,0,0,-0.0622554180101453,0
X601658.CH.Equity,0.372399628885171,0.0446701165867226,0,0,0,0,0.377268022770657,0,0,0,0,0,0,0,0,0.308463246391943,0.0316125840572256,0.172652747288902,0,0.0722183513575765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125710267593891,-0.204798864075148,0,0,0,0,0.0503600823349206,-0.170875517871828,0,0.227638188214295,0
X601916.CH.Equity,0,0,0,0,0,0.356033248807015,0,0,0,0.0968991079598858,0,0,0,0,0,-0.0646310546275822,0,0,0,0,0,0,0,0,0,0,0,0.054898643407966,0,0.139517550106759,0,0.379452406271262,0,0,0,0,0,0,0,0,0,0,0,0.112539764360983,0,0,0.177674922414476,0,0,0,0.285948889205256,0
X601077.CH.Equity,0,0,0,0,0.158508800952168,0,0.0520756959234335,0,0,0.173771618038277,0.0324041123798389,0,0,0,0,0,0,0.0977495526055108,0.0990754383272837,0,0,0,0.132263730159085,0,0,0,0,0,0,0,0,0,0.149043442364795,0,0,0,0,0.0242528112017115,0,0,0,0,0.0132892729737007,0,0.015059986125023,0,0,0,0,0,0,0
X11.HK.EQUITY,0.143037039182037,0,0,0,0.234657588194234,0.0151335745456634,0,0,-0.0993699827448132,0.106505616301895,0.080699850950941,0.0463798202253504,0,0,0,0,0,0.206098538393475,0,0,0,0,0,0.0248578752206061,0,0,0,0,0.505742325104022,0.117316561423344,0,0,0,-0.0566460231862587,0,0,0,0.0640213221902721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.21900842650278,-0.196804747101634,0,0,0,0,0.15351257611213,0,-0.0796750694498816,0,0,0,0,0,0.0246199176832009,0,0,0,0,0,0,0,0,-0.266609724020603,-0.213304404037166,0,0.629566832495499,0,0,0,0,0,0,0,0,0,0,0,0,-0.256687142876493,0,0.662683795392862,0,0,0,0,0,0.109983224755818,0,-0.0221190907336712,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120128513719377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462876411286016,0.0344510406654378,0,0.196777864958391,0.0352766409082803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138996215719607,0,0.551468396083338,0.0294186464704252,-0.0467006750944273
X000166.CH.EQUITY,0,0,0.13816919089453,0,0.0246950728921158,0,0,0,0,0.0672737878098563,0.0172752912088435,0,0,0,0,0,0,0,0,0,0,0.0509696432216778,0,0,0,0,0,0.00301921605319382,0,0.0536301443522599,0,0,0,0,0,0,0,0,0.181966270497044,0.408877892441199,0,3.46944695195361e-18,0.00191790083364016,0,0,0,0,0,0,0,0.0366833629865187,0
X000776.CH.EQUITY,0,0,0,0,0,0.305165914553719,0,0,0.149553076562273,0,0,0,0,0,-0.0378882533354464,0,0,0,0,0,-0.0880490878259151,0,0.0425504218382178,0,0,0.161846699800194,0,0,0,0,0,0,0,0.269105410835358,0,0.0812401505270072,0.0531790176137175,0.209978416277236,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0.08959388380024,0,0,0,0,0,0,0,0,0.00487104842650222,0,0,0,0,0,0,0,0,0,0,0,0,0.0735336785430573,0,0.14792732883739,0,0,0,-0.169902506698434,0,0.302098421043532,0,0,0,0.250739287532297,0,0.0186032533537182,0,0,0.242033959328339,0,0,0,0,0,0,0,0,0,0,0,0.021142285126084
