,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X688.HK.EQUITY,0.139787681415086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104580706935624,0,0,0.0254159932860244,0.0210718980119185,0,0.586245991793211,0,0,0,0,0,0,0,0,0,0,0,0.0184182195936061,0.0907800558318187,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0.222945218180316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352484720302977,0.17235035643125,0.0924191320128466,0,0,0,0.0368799240201876,0,0,0,-0.0199858927871101,0,0,0,0,0,0,0,0,0,0.0195695580409486,0,0,0,0,0,0,0,0,0.325353142790618,0,0,-0.105552809795138,0,-0.126593346696905,0
X1109.HK.EQUITY,0.214007912447471,0,0,0,0,0.0568322910293795,0.0311275483589467,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.100671934413775,0,0,0,0,0,0,0,0,0,0.33761226712566,0,0,0,0.447404543272194,0,0,0,0.0893510875002969,0,0,0.0353669932539203,0,0,0,0.0472266802095772,0,0,-0.138089375327692
X11.HK.EQUITY,-0.104459899880216,0,0,0,0,0.0304423698735252,0,0.0261461864264743,0.371399832903084,-0.107860335676457,0,0,0,0,-0.0627523534983111,0,0,0,0,0,0,0.184748159179649,0,0,0,0,0.171942295665202,0,0,0,0,0,0,0.0468905713702915,0,0,0,0.0462618104087448,0,0.167590501787924,0,0,0,0,0,0,0,0,0,0,0.0307536524223306,0
X2388.HK.EQUITY,0,0,0,0,0,0,0.0238063116490404,0.108486346134998,0,0,0,0,0,0.0410865665033969,0,0,0,0,0,0,0,0.0443557658444523,0,0,0,0.141625596378807,0,0,0,0,0,0,0,0,0,0,0,0.0873197318229251,0,0,0.0467572796684645,0.0566738357834806,0,0.0638283198521037,0,0,0,0.369501384855132,-0.0720229960893976,0,0,0
X2007.HK.EQUITY,0.0708985217500677,0,0,0,0,0,0.0948516858170981,0.188963549025646,0.147356171861416,0,0,0,0,0,0.0217255125223808,0,0,0,0,0,0,0.00635984399701793,0,0,0.107966516869559,0,0.0388262463419454,0,0,0.0905077868766306,0,0,0,0,0,0,0,0.0428713141252397,0,0,0,0,0,0,0,0,0,0.120844827433424,0,0,0,0.104788644092406
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.424679229928181,0,0,0.0276051527677253,0.189828637995681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124217678839158,0,0,0,0,0,0,-0.059148207531808,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0381651328133147,0,0,0,0,0,0,-0.0204763269573654,0,0,0,0,0,0,0,0,0,0,0.152753142889709,0,0,0,0,0,0,0,0,-0.0183104328004421,0,0,0,0,0.0490620392198593,0,0,0,0.398334224811563,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0.12348376583251,0,0,0.268836799691431,0.157204406410886,0,0,0,0,0,0.0706027741522409,0,0,0,0,0,0,0.132582313954272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194940371223513,0,0,0,0,0,0,0.0177523449365697,0,0,0
X601818.CH.EQUITY,0,0,0,0.368642752052464,0,0,0,0,0,0,0.011879052252627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354186453545489,0.0487743291837532,0,0,0,0,0,-0.0298359883336175,0,0,0,0.083818384865826,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0.0706907021815244,0,-0.0400727390227126,0,0,0,0,0,0,0.0585510182626232,0.0454302174610944,-0.00517742188499166,0,0,0,-3.46944695195361e-18,0,0,0,0,2.16840434497101e-19,0,0,-0.00376039926001218,0,0,0,-0.0494491572390648,0.210968802962307,0,0,0.447301017092284,0,0,0,0,0,0.0352220827006112,0.279318137706222,0,0,-0.0255752260465113,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.64650378693032,0,0,0.0812494775751899,0,0,0,0,0,0,0.0446574417511368,0,0,0,0,0,0,0,0,0.0531051433918521,0,-0.00575277209074494,0,0,0,0,0,0,0,0,0,0,0,0.058342190403014,0,-0.0437144132826122,-0.0757429106007355,0,0,0,0,0,0,0,0,0.105465203204166
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290514292104953,0,0,0,0,0,0,0,0,0,0,0,0,0.0259150295981066,0,0,0,0,0,0,0,0,0,-0.0745427852034715,0,0.143004430852624,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0299762605869886,-0.0609844556994788
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.223019508162017,0,0,0.0747023352891289,0,0.0285746092857733,0,0,0,0,0,0.0658829671656691,0,0,0,0,0,0,0,0,0,0.413591070025798,0,0.102786722276627,0,0,0.0273529559567768,0,0,0,0,0,0,0,0,0.149039557683444,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137662271848531,0,0,0,0,0,0,0,0,0,0.092681134895713,0,0.283382331900979,0,0,0,0,-0.0508757263450118,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0522142773462756,0.031195103317964,0,0,0,0,-0.0569300759104825,0
X1113.HK.EQUITY,-0.0407298830803293,0,0,0,0,0,0,0,0,-0.0541109845230227,0,0,0,0,0,0,0,0,0,0,0,0.410837481435995,0,0,0,0.0205006807677656,0.13136762858619,0.339668652667647,0,0,0,-0.0235075909658518,0,0,0,0,0,0,0,0,0,0.059537780646167,0,0,0,0,0,0.0927103531301447,0,0,0,-0.0981234836582801
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0555845682423423,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0846963390416838,0,0,0,0,0,0,0.548158505673824,0,0,0,0,0.0147954622955863,0,0.0924905275397479,0,0,0,0,0,0.0910888408075524,0,0,0,0.0898563509702606,0,0
X601336.CH.EQUITY,0,0.0918054173148751,0,0,0,0.312893247048176,0,-3.46944695195361e-18,0,0,0,0,0.135242138634834,0,0,0,0,0,0.104329847345565,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0425127822937944,0,0,0,0,0,0,0,0,0.00296373929184957,0,0,0,0,0.103160725176055,0,0.086578846955902,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0460777827535477,0,0,0,0,0,0,0.106617487061081,0,0.164390253358429,0,0,0,0,0,0,0,0,0.0825030065614672,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.245058287644787,0.0841629525733597,0,0.0450873615751525,0,0,0,0,0.0918039439747695,0.0190026614709509,0,0.114346546308684,0,-0.0719352205642575
X600918.CH.Equity,0,0.00274361067298515,0,0,0,0,0,0,0,-0.0206100255442025,0,0,0,0,0,-0.0280907144564577,0,0,0,0,0,-0.0200363330415303,0,-0.375500728478897,0,0,0,0,0,0,0,0.151956365346137,0,0,0,0,0.0153757549939058,0,0.30152435900925,0.0842220093377546,0,0,0,-0.0149461494009828,0,0,0,0,0,0,0,0
X12.HK.EQUITY,-0.186947039847201,0,-0.21068952584023,0,0,0,0,0.15434805611322,0,-0.0996066364876398,0.473028995458937,0,0,0,0,0,0,-0.0101882184707963,0,0,-0.00124090607662975,0.528886749591497,0.207166833927116,0,0,0.0474580266376718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188397518769901,1.73472347597681e-18,0,0,0,0,0,0.0178586657639097,0.0474894368515345
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.533307327366083,0.423439190297088,0.0284676296376055,0,0,0,0,0,0,0,0,0,0.0505230754366825,0,0,0,0,0,0,0,0,-0.185652662802051,0,0,-0.334480405619349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04001595540366
X601229.CH.EQUITY,0,0,0.465569912233705,0,0,-0.534233008155674,0,0,0.0972269364695718,-0.0862484060294728,0,0,0,0,0,0,0.0980411780504755,0,0,0,0,0,0,0,0,0,0.114022279764689,0,0,0,-0.015804492432388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180346823812204,-0.10672348652254,0,0,0.027180565286146
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00576545387715884,0,0,0,0,0.00235070635577217,0,0.0536656427537067,0,0,0,0,0,0.0474951800918488,0,0,-3.46944695195361e-18,0.0354474775063456,0,0,0,0,0.467573565743446,0,0.0104854646678451,0,0,0,0.252598114054292,0,0.157497097543177,0,0.028700024184828,0,0,0,0,0,0,0,-0.037769631536119,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0.0744127101132848,0,0,0,0,0,0,0.11211414288635,0,0,-0.0379415492756502,0,0,0.0900675434406787,0,0,0,0,0,0,0,0,0.037151072989499,0,0.123468928112074,0,0,0,0,0,0,0,0,-0.0188005797006837,0,-0.0751437484937846,0,0.261173563107025,0,0,0.050900915398338,0,0,0
X823.HK.EQUITY,0,0.145853213408066,0,-0.124603534595662,0,0,0,0.211197230322267,0,0,0,0,0,0,0,0,0,0,0.157090730233855,0,0,0.599395752343303,0,0,0,0,0,0,0,0,0,-0.036266896602302,0,0,0,0,0.0525799491947501,0,0,0,0.061751597411841,0.156173849577582,0,0,-0.097896776430629,0,0,0,0,0,0.137320873244093,-0.145780743417181
X601788.CH.EQUITY,0,0,0.0194330074007755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123851713555704,0.147438885225158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124725517121852,0,0,0,0,0,0,0,0,0,0,0,0.176822771506996,0,0,0,0.198909225680718,0,0
X601881.CH.EQUITY,0.0971811996046969,0.0937853325706574,0,0.0304190666200275,0,0,0,0,-0.0412773105513971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629241176343606,-0.0214288475379276,0,0,-0.0135172063894675,0.0829299362806933,0.0580733749779639,0,0.588150300592039,-0.0155598696155624,0,0,0,0,0,3.46944695195361e-18,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0.210115246041339,-0.0229634409295519,0,0,0,0,-0.609199406886878,0,0,0,0.445671959973332,0,0,0,0.0762915037544226,0,0,0,0,0,0,-0.0111902165468566,0,0,0,0.0299043441253343,0,0,0.0953232552790196,-0.376254864275977,0,0,0,-0.149680037002679,0,0.165359232562957,0.187153993806773,0,0,0.361194593843726,0,0,0,0.244762785525182
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171154315574356,-0.157132771125928,0,0,-0.077093856709789,0,-0.108658172308913,0,0.0481544823830262,0,0,0.350382294935568,0,0,0,0,0,0.11380809346441,0,0.290862329897552,0,-0.0398421701624271,0,0,0,0,0.00243349513783648,0,-0.159673048534472,0
