,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X688.HK.EQUITY,0.115637032674693,0.0948159145425496,0,0,0,0,0.0866998168793573,0,0,0,0,0,0.130279061037097,0,0.0976150450467581,0.0185114230462784,0,0,0,0,0,0,0,0,0,0,0,0.0649180098837471,0.222402744069264,0,0,0,0,0,0,0,0,0,0,0,0.315904066095356,-0.126525414899732,0.0759562776601439,0,0,0,0,0.0526965470062991,0,0,0
X600016.CH.EQUITY,0,0,0,0.0959520459557963,0.175694113252028,0,0,0,0.00593171741642358,0.0153144156328899,0,0.230078244923029,0,0,0.018684501501704,0,0,0,0,0.368432845583268,0,0,0,0.130655082039526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013812819067835,0,0,0,0,0,0,0,0,-0.0203596316160348
X601998.CH.EQUITY,0.248178993643619,0.0299633538229107,0,0,0.0732335999701484,0,0,0,0.00797453253249796,0,0,0.0799498559970027,0,0,0.0583399117127698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163474318661498,0,0,0,0.0671870238491834,0,0,0,0,0,-0.0142820536364921,0,0,0,0,0,0,0,0.143684800406111,0,0,0
X11.HK.EQUITY,-0.00230470562775328,0,0,-0.0119542566668788,0,0,0,0,0.371501963108169,0,-0.132156533044672,0,0,0,0,0,0,0,0,0.120326425030947,-2.16840434497101e-19,0,0,-0.0300810818866915,0,0.278338593918367,0,0,0,0,0,0,0,0.0114259690603499,0,0,0,0,0,0,0,0.178377949535524,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0.019065829278068,-0.025283986495421,0.0167464555700856,0,0.242254897394448,0,0,0,0.019014177510173,0,0,0,-0.0235068533929464,0,0,0.0741696031290174,0,0,0,0,0,0,0.160341625729311,0,0,0,0,-0.0542965113587317,0,0,0,0.0474563092440037,0,0,0.111787619452906,0,0,0,0,0,0,0,0.318845275968523,0,0,0,0,0,0.0086598024484267
X1109.HK.EQUITY,0.0856083018342302,0,0,0.126241035306524,0,2.16840434497101e-19,0,0,0.10913039752595,0,0,0,-0.135687937649444,0,0,0,0,0.00277558946935475,0,0,0,0,0,-0.0750282206062365,0,0.0916202470098956,0,0,0.561414617280641,0,0,0,0,0.186543122640977,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.200489255719672,0,0,0,0,0,0,-0.180579934952093
X2007.HK.EQUITY,0.11254188473873,0,0,0,0,0,0.17300117122109,0,0.0908174456701907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157103605073503,0.0784813479876989,0,0.238652641337773,0,0,-0.114070047915103,0.129111809690418,0,0,0,0.06882065772782,0,0,0,0,0.134902395876235,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.123503734224472
X267.HK.EQUITY,0,0,0.0868839438125283,0,0,0,0,0,0.181606940445432,0,0.220654218693769,0,-0.202681332188816,0,0,0,0.0111994141593,0.0634333058151308,0,0,0.0865007536027911,0.16239188700388,0,0,0,0,0.218148806803493,0,0,0,0,0,0,0.071725169847265,0,0.0630838072160317,0,0,0,0,0,0,0,0,0,0,0.153035767506057,0,0,0,0
X601818.CH.EQUITY,0,0.0725372521406158,0,0.219383241849943,0,0,0,0,0,0,0,0.120892083851241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894751623230051,0,0,0,-0.0167815835283731,0,0,0,0,0,0.046411102862098,0,0,0,0,0,0,0,-0.0327207289477819
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108177827305918,0,0,0,0.407582897394544,0,0,0,0,0,0,0.0740892970567347,0.0528324288075397,0,0,-0.0241158120178089,0,0,0,0,0,0,0,0,0,0,0,0,0.114426936755042,0,0,-0.0455170283863173,-0.0129896799295136,0,0,0,0,0,-0.03727623644862,0
X601688.CH.EQUITY,0.0438130087301327,0,0,0,0,0,0,0.121400358285425,0,0,-0.0217447072168204,0,0,0.107989483192547,0,0,0,0,0,0,0,0,0,-0.0597856406917499,0,0,0,0,0,0,0,0,0,0,0.189677938595777,0,0,0.246098407611149,0,0,0,0,0,0.0464548906964928,0,0.380119473425355,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283973428688775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112589738237907,0,0.0521770588559758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.275763496484419,0,0,0,0,0.142998751618597,-0.172309891461517,0,0,0,0.224654780012671,0,0,0,0,0,0,0,0,0,0,0,0.0536673905984905,0,0,0,0,0,0,0,0,0,0,0,0.0820730880345941,0,0.293785992687064,0,0.129807341655862,0,0,0,0,0,0,-0.0265904106173746
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.126740829909489,0,0.291034941183026,0,2.24233558046461e-05,0,0,0,0,0,0.113363388197796,0.019211201085128,0,0,0,0.110580976887106,0,0,0,0,0.417952487126285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576005883854048,0,0.0638391303540602,0
X600999.CH.EQUITY,0,0.0217409206588025,0,0.00596363199506224,0,0,1.73472347597681e-18,0,0,0,0,0.101289131157836,0,0,0,0,0,0,0,0.00193380243709048,0,0,0.0898141403753989,0.0346112842943872,0,0,0,0,0.0557958870321095,0,0.0225166478886426,0,0,0,0,0,0,0,0,-0.12619213527202,0,0,0,0,0,0.100199319274296,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.105379390568677,0,0,0,0,0,0,0,0,0.375472532208141,0,0.00699074883440744,0,0,0,0.20355453547651,0,0.273181802079602,0,0,0,0,0,-0.120985955182546,0.0986446670657228,0,0,0,0,0,0,0,0,0,0.146434955578538,0,0.0736671492189711,0,0,0,-0.178475536183815
X600837.CH.EQUITY,0,0,0,0,0,0,1.38777878078145e-17,0.00566483603385698,0,0,-0.0880657682615281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136306493599924,0,0,0,0,0,0,0.407529779675771,0,0,0.100609915825028,0,0.00181571444094092,0,0,0,0,0,0,0,0,0.219477830298848,0,0,0.210261963764335,0,0
X000166.CH.EQUITY,-0.00451583025237863,0,0,0,0,0,0,0,-0.00926365108537855,0.0191352301462792,0,0,0,0,0,0,0.0950826816168347,0.00686131855656962,0,0,0,0,0,0,0,0.00668349180685982,0,0,0,0,0,0.247466066187308,0,0,0,0,0,0.132602525619934,0,0,0,0,0,0,0.11470455937973,0,1.0842021724855e-19,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00851987464004143,-0.0170959889535522,0,0,-0.0255789260457725,0.313326461038118,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0578203522611764,0,0,4.33680868994202e-19,0.0776700567613544,0,0,0,0,0,0,0.106795480335973,-0.0829158195912726,0,0,0,0.0895593999819171,0,0,0,0.134256832460074
X12.HK.EQUITY,0,0,0,0,0,0,0,0.0188465504360651,0,0.321162672026687,0,0,0,0,0,0,0,0,0,0.213199457256439,0,0.134431615746165,0,0,0.427405604169441,0,0,0,0.134865625062119,0,0,0,0,0,0,0,0,0,0,0.00330835151744712,0,0,0,0,-1.38777878078145e-17,0,0,-0.145698193888135,-0.0144614912416588,0,0.0623409730414387
X601336.CH.EQUITY,0,0.215753507333332,0,0,0,0.306483777617,0,0.128852294629328,0,0,0,0,0,0,0,0,0,0.0123502210902354,0,0,0.104351546794396,0,0,0,0,0,0.0263717071968463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172543742502378,0,0,0,0.115532499682674,0,0
X2882.TT.EQUITY,0,0.49422145489995,0,0,0,0,0,0,0.133017769372423,0,0.260696230396935,0,0,0,0,0,0,0,-0.0433060801219115,0,0.339046956460961,0.170377290719569,0,0,0,0,0,0,0,-0.293751566671589,-0.0549790110271244,0,0,-0.322057052638649,0,0,0,0,0,-0.176971592646104,0,0,0,0,0.160355878436375,0,0,0,0,0,0.0454837543093116
X601229.CH.EQUITY,0,0,0,0,0,0,0,0.0889192280958884,-0.0469527337648642,0,0,0,0,0,0,0,0,0.217739887362035,0,0.127442207022414,0,0,0,0.103954901706906,0,0,-0.0110296013652103,0,-0.162364191279553,0,0,0,0,0.0849040800029835,0,0,-0.107323986741156,0,0,0,0,0,0,0,0.221867832354018,0,0,0,0,0,0.0800475756143649
X823.HK.EQUITY,0,0,0.331050025458553,-0.268410471680148,0,0,0.195685040321775,0,0,0,0,0,0,0,0,0,0,0,0.0797031460325337,0.153319285339384,0,0,0,0.134913725484858,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0347884310296421,0.391104976033264,0,0.161055713592946,0,0,0,0.104520340710214,-0.172927516196286,0,0,0,0,0,0,0.0287547885550098
X000776.CH.EQUITY,0,0,0,0,0,0,0.0319666311644048,0,0,0.00867953594388568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17384956767244,0.015214451055141,0.0416556061781588,0,0.0103293812003159,0,0.329994870996415,0,0,0,0,0,0,0,0,0,0,0,0.269951055843218,0
X600918.CH.Equity,0,0.021970488912938,0.0320862009998339,0,0,0,0,0.0618603484644715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266882833407954,0,0,-0.0435490123113244,0,0.0180139656534358,0.0903950697900986,0,0,0,0,0,-0.0995289330997133,0,0.188589886346873,0,0.038947660226637,0,0,-0.0108022904705365,0,0,0,0,0,0,0,-0.0122177720111465
X601169.CH.EQUITY,0,0.155210407821384,-0.0147231305276279,0,0,0,0,0,0,0,0,0,0,0,0.290452943215562,0,0,0,0,0,0,0,0.256596449117822,0.0598878564250068,0,0,0,-0.033103449278207,0,0,0,0.10663806576457,0,0.130872385387016,0.048773362329045,0,-0.0225909974318821,0,0,0,0,0,-0.199512410869945,0,0,0,0,0,0,0,8.67361737988404e-19
X601881.CH.EQUITY,0,0,0.00439520414746341,0,0.0437346881389883,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0998274396002534,-3.46944695195361e-18,0,0,0.0331192049366584,0,0,0,0,0,0,0,0,0,0,0.070066288554559,0,0,0,0,0,0.0644455558231216,0.225115750988432,0,0,0,0,0,0,0,-0.0232546459267394,0,0,0.211415034127835,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0.152091613264194,-0.0296093496181986,0.00539583100676671,0.0225107134610845,0,0,0,0,0,0,-0.0656679488307572,0.0726199575629318,0,0,-0.164689698680049,0.0713350205856113,0,0,0,0,0,0,0,0,0,0,0.120517319773102,0,0,0.280024062918205,0,0,0,0,0,0,0,0.15954839301984,-0.0509861138476229,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,0,-0.061730206265672,-0.261619124447033,0,0,-0.330151061180182,0,0,0,0.458445100520253,0,0,0.137401330818797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480091739962597,0,0,0.151867086835155,0,0,0.190794955758725,0.162422872937157,0.461058142565887,0,0,0,0,0.156555945478955,0
