,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X2007.HK.EQUITY,0,0,0,0.195620348524839,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09305202460545,0,0,0,0,0,0,0,0,0.0427741992296529,0,0.184066706942622,0,0,0,0,-0.0230241552028677,0,0,0.333239155671307,0,0,0,5.42101086242752e-20,-0.075984406794633,0,0,0.267227622166445,0,0.0506738360048074,0,0,0
X000001.CH.EQUITY,0,0,0.133655511667688,0,0,0.0454036973621445,0,0.0182601607882305,0,0,0,0,0,0,0,0,0,0,0.171082634908848,0,0.0642431829036321,0,0.0722008807581481,0,0,0,0,0,0,0,0,0,0,0,0,0.211315687970979,0,0,0,0,0,0,0.0744449112612851,0,0,0.184162085170763,0,0,-3.46944695195361e-18,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.140245971885976,0,-0.386922999447136,0.234669595452764,0.268013049763938,0,0,0,0,0.122585090259499,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0285355906435536,0.0374480043713017,-0.0271134600048322,0,0,0,0,0,0,0,0,0.0687945525330442,0,0,0,0.261185161418746,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0,0,0.17641225010668,0,0.240438888264904,0,0,0,0,0,0.208023050167363,0,0,0,-0.01375243197553,0,0,0.256270902165892,0,-1.73472347597681e-18,0,0,0,0.0156721998903091,0,0,0,0,0,0,0,0,0,0,0.0451640700965498,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,-0.114489193192318,0,0.0627251395513728,0,0,0,0,0,0,0.0107391791923983,0,0,0,0,0.0966941649513474,0,0,0.0766668067169079,0,0,0,0,0,0,0.091629817027492,0,0,-0.0553325419544657,0,0.119168380869646,0,0,0,-0.0349405296972343,0,0,0,-0.0312099959794515,0,0,0,0,0.0224433460822642,0,0.141542266723659,0,0,0
X12.HK.EQUITY,-0.284089609638498,0,0,0,0,0,0,0.259927135681501,0,0,0,0,0,0,0,0,0,0.162445929178841,0,0,-0.273025536188488,0,0,0,0.24447525652096,0,0.2044375210235,0,0,0,-0.0908527428782822,0.271465681289819,0,0,0,0,0,0,0,0,0,0,0,0,0.150163748755939,0,-0.195149356510418,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0.243329205979578,0,0,0,-0.0737799255435431,0.259093771573201,-0.121032269387748,0,0,0,0,0,0,0.0896611537655738,0,0,0,0.0771825738252116,0,0,0,0.118386000414209,0,0,0,0.0478962510706405,0,0,0,0,0.200726470484218,0,0,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0.14683832872831,0,0,0,0,0,0,0,0,0,0,0,0.425633798416814,0,0,0,0,0,0,0,0,0,0.122652550691333,0,0,0,0.0457245824786859,-0.00812388694476901,0,0,0,0.0809596188459983,0,0,0,0,0,0,0,0,0,0,0.0728961963947135,0,0,0,0
X1997.HK.EQUITY,0,0,0,0.420132966872333,0,0,0,-0.0124995699126187,0,0,-0.211608082606978,0.0932050144299542,0.334143316128743,0,0,0,0,0.0396652489489034,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0912078416612326,0.085272557402947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102615900151479,0,0,0
X600048.CH.EQUITY,0.154931749590837,0,0,0,0,0,0,0,0,0.248549796464199,0,0.0405644217029751,0,0,0,0.533825298664522,0,0,0,0,0,0,0,0,0.153753702453105,0,0,0,0.0454128102436814,0,0,0,0.00479448231119787,0,0,0,0,0,0,0,0,0,0,0,-0.0135308834287189,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0.0765836492094936,0,0,0,0,0,0,0,0,0.00846236868235587,0,0,0,0,0,0,0,0,0.118246267337013,0,0,-0.0361707052999472,0,0,0,0.0693848724494188,0,0,0,0,0,0,0,0,0,0.197310882568393,-0.0484825382156155,0,0.282867701593852,0,0,0,0.394144413966655,3.46944695195361e-18,0.00786571959997859
X601336.CH.EQUITY,0,0,0,0,0,0,0.123461003669928,0,0.0194328895073616,0,0,0,0,0,0.0557423274190604,0.0885259871880483,0,0,0,0,0,0.120219049876765,0,0,0,0.277604061623954,0,0,0,0,-0.0769951904767554,0,0,0,0,0,0.304522640820867,0,0,0,0,0.136780423116666,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0.0774875514454273,0,0,0.0126741615002095,0,0,0,0,0.0338231142062651,0,0,0,0,0,0,0,0,0,0,0,0.534079531104534,0,0,0.020429601029779,0,0,0,0,0,0,0,0,0.0635610249241103,0,0,0,0,0.142728752428853,0,0.0042518284362049,0.174073835910484,0,0,0,0,0,0
